THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.56     % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    126.85      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      170909 3600 000000-010000   00     130.41  996.3    122.03    -3.80    -9999
THULE      170909 3600 010000-020000   00     130.92  995.7    121.92    -3.88    -9999
THULE      170909 3600 020000-030000   00     132.91  994.5    122.72    -3.26    -9999
THULE      170909 3600 030000-040000   00     133.29  993.6    122.28    -3.60    -9999
THULE      170909 3600 040000-050000   00     135.98  992.7    123.88    -2.34    -9999
THULE      170909 3600 050000-060000   00     136.32  991.4    123.01    -3.03    -9999
THULE      170909 3600 060000-070000   00     136.10  990.7    122.18    -3.68    -9999
THULE      170909 3600 070000-080000   00     137.46  990.1    122.83    -3.17    -9999
THULE      170909 3600 080000-090000   00     138.96  989.6    123.71    -2.48    -9999
THULE      170909 3600 090000-100000   00     139.46  989.4    123.95    -2.28    -9999
THULE      170909 3600 100000-110000   00     140.00  988.6    123.71    -2.48    -9999
THULE      170909 3600 110000-120000   00     140.73  988.3    124.05    -2.21    -9999
THULE      170909 3600 120000-130000   00     140.29  987.9    123.37    -2.74    -9999
THULE      170909 3600 130000-140000   00     141.61  987.4    124.00    -2.25    -9999
THULE      170909 3600 140000-150000   00     143.07  986.9    124.80    -1.62    -9999
THULE      170909 3600 150000-160000   00     143.95  986.1    124.87    -1.56    -9999
THULE      170909 3600 160000-170000   00     144.74  985.5    125.03    -1.43    -9999
THULE      170909 3600 170000-180000   00     144.77  985.1    124.64    -1.74    -9999
THULE      170909 3600 180000-190000   00     145.84  984.4    124.93    -1.51    -9999
THULE      170909 3600 190000-200000   00     146.60  983.7    124.88    -1.55    -9999
THULE      170909 3600 200000-210000   00     146.96  982.8    124.39    -1.94    -9999
THULE      170909 3600 210000-220000   00     148.58  981.5    124.55    -1.81    -9999
THULE      170909 3600 220000-230000   00     149.62  981.3    125.26    -1.26    -9999
THULE      170909 3600 230000-240000   00     149.12  980.9    124.48    -1.87    -9999
THULE      170910 3600 000000-010000   00     150.07  980.1    124.54    -1.82    -9999
THULE      170910 3600 010000-020000   00     151.71  979.6    125.39    -1.15    -9999
THULE      170910 3600 020000-030000   00     151.56  979.3    124.98    -1.47    -9999
THULE      170910 3600 030000-040000   00     152.30  978.8    125.18    -1.32    -9999
THULE      170910 3600 040000-050000   00     153.47  978.3    125.67    -0.93    -9999
THULE      170910 3600 050000-060000   00     153.22  978.4    125.48    -1.08    -9999
THULE      170910 3600 060000-070000   00     152.81  978.5    125.29    -1.23    -9999
THULE      170910 3600 070000-080000   00     152.76  978.9    125.64    -0.95    -9999
THULE      170910 3600 080000-090000   00     152.49  979.5    125.91    -0.74    -9999
THULE      170910 3600 090000-100000   00     151.95  980.0    125.98    -0.68    -9999
THULE      170910 3600 100000-110000   00     151.33  980.5    125.94    -0.72    -9999
THULE      170910 3600 110000-120000   00     151.05  980.8    125.95    -0.71    -9999
THULE      170910 300  120000-120500   00     151.64  980.9    126.54    -0.24    -9999
THULE      170910 300  120500-121000   00     154.21  981.0    128.81     1.55    -9999
THULE      170910 300  121000-121500   00     151.71  981.0    126.73    -0.09    -9999
THULE      170910 300  121500-122000   00     151.97  981.1    126.98     0.10    -9999
THULE      170910 300  122000-122500   00     152.48  981.0    127.39     0.42    -9999
THULE      170910 300  122500-123000   00     151.91  981.1    126.94     0.07    -9999
THULE      170910 300  123000-123500   00     151.08  981.2    126.39    -0.36    -9999
THULE      170910 300  123500-124000   00     150.87  981.3    126.25    -0.47    -9999
THULE      170910 300  124000-124500   00     150.38  981.4    125.98    -0.68    -9999
THULE      170910 300  124500-125000   00     149.83  981.5    125.62    -0.97    -9999
THULE      170910 300  125000-125500   00     151.24  981.6    126.84    -0.01    -9999
THULE      170910 300  125500-130000   00     152.48  981.6    127.90     0.83    -9999
THULE      170910 300  130000-130500   00     149.73  981.6    125.62    -0.97    -9999
THULE      170910 300  130500-131000   00     148.38  981.6    124.52    -1.84    -9999
THULE      170910 300  131000-131500   00     152.73  981.6    128.12     1.00    -9999
THULE      170910 300  131500-132000   00     150.69  981.6    126.45    -0.31    -9999
THULE      170910 300  132000-132500   00     150.94  981.7    126.69    -0.13    -9999
THULE      170910 300  132500-133000   00     151.67  981.7    127.32     0.37    -9999
THULE      170910 300  133000-133500   00     150.94  981.7    126.71    -0.11    -9999
THULE      170910 300  133500-134000   00     149.72  981.7    125.69    -0.92    -9999
THULE      170910 300  134000-134500   00     153.40  981.7    128.78     1.52    -9999
THULE      170910 300  134500-135000   00     149.85  981.8    125.88    -0.77    -9999
THULE      170910 300  135000-135500   00     151.24  981.9    127.13     0.22    -9999
THULE      170910 300  135500-140000   00     149.70  981.9    125.86    -0.78    -9999
THULE      170910 300  140000-140500   00     154.96  982.0    130.36     2.76    -9999
THULE      170910 300  140500-141000   00     148.65  982.1    125.15    -1.34    -9999
THULE      170910 300  141000-141500   00     148.68  982.0    125.15    -1.34    -9999
THULE      170910 300  141500-142000   00     151.82  982.0    127.76     0.71    -9999
THULE      170910 300  142000-142500   00     151.95  982.1    127.92     0.85    -9999
THULE      170910 300  142500-143000   00     149.39  982.1    125.77    -0.85    -9999
THULE      170910 300  143000-143500   00     150.81  982.1    126.97     0.10    -9999
THULE      170910 300  143500-144000   00     150.22  982.1    126.49    -0.28    -9999
THULE      170910 300  144000-144500   00     149.88  982.1    126.23    -0.49    -9999
THULE      170910 300  144500-145000   00     151.42  982.1    127.51     0.52    -9999
THULE      170910 300  145000-145500   00     149.74  982.1    126.11    -0.58    -9999
THULE      170910 300  145500-150000   00     152.29  982.2    128.31     1.15    -9999
THULE      170910 300  150000-150500   00     150.47  982.3    126.85     0.00    -9999
THULE      170910 300  150500-151000   00     151.96  982.3    128.12     1.00    -9999
THULE      170910 300  151000-151500   00     151.14  982.3    127.47     0.49    -9999
THULE      170910 300  151500-152000   00     150.34  982.3    126.81    -0.03    -9999
THULE      170910 300  152000-152500   00     147.66  982.4    124.58    -1.79    -9999
THULE      170910 300  152500-153000   00     148.41  982.4    125.26    -1.26    -9999
THULE      170910 300  153000-153500   00     150.21  982.4    126.79    -0.05    -9999
THULE      170910 300  153500-154000   00     149.78  982.5    126.50    -0.27    -9999
THULE      170910 300  154000-154500   00     151.06  982.6    127.65     0.63    -9999
THULE      170910 300  154500-155000   00     149.00  982.6    125.93    -0.72    -9999
THULE      170910 300  155000-155500   00     150.82  982.6    127.51     0.52    -9999
THULE      170910 300  155500-160000   00     150.38  982.7    127.18     0.26    -9999
THULE      170910 300  160000-160500   00     151.18  982.7    127.84     0.78     0.75
THULE      170910 300  160500-161000   00     149.01  982.8    126.12    -0.58    -0.62
THULE      170910 300  161000-161500   00     148.60  982.9    125.86    -0.78    -0.82
THULE      170910 300  161500-162000   00     148.82  982.9    126.06    -0.62    -0.67
THULE      170910 300  162000-162500   00     149.33  983.0    126.56    -0.23    -0.28
THULE      170910 300  162500-163000   00     150.59  983.0    127.69     0.67     0.61
THULE      170910 300  163000-163500   00     151.04  983.1    128.16     1.03     0.97
THULE      170910 300  163500-164000   00     150.36  983.2    127.66     0.64     0.57
THULE      170910 300  164000-164500   00     152.24  983.3    129.33     1.96     1.89
THULE      170910 300  164500-165000   00     152.31  983.3    129.38     1.99     1.91
THULE      170910 300  165000-165500   00     154.45  983.3    131.21     3.44     3.36
THULE      170910 300  165500-170000   00     153.01  983.3    130.03     2.51     2.42
THULE      170910 300  170000-170500   00     154.49  983.4    131.32     3.53     3.43
THULE      170910 300  170500-171000   00     151.69  983.4    128.99     1.68     1.58
THULE      170910 300  171000-171500   00     156.55  983.4    133.13     4.95     4.84
THULE      170910 300  171500-172000   00     157.68  983.4    134.11     5.72     5.61
THULE      170910 300  172000-172500   00     152.68  983.4    129.84     2.36     2.24
THULE      170910 300  172500-173000   00     152.57  983.4    129.73     2.27     2.15
THULE      170910 300  173000-173500   00     156.46  983.4    133.04     4.88     4.75
THULE      170910 300  173500-174000   00     155.63  983.5    132.41     4.38     4.25
THULE      170910 300  174000-174500   00     157.07  983.5    133.65     5.36     5.22
THULE      170910 300  174500-175000   00     158.43  983.5    134.80     6.27     6.13
