TIXIE-BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE-BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE-BAY  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
TIXIE-BAY  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
TIXIE-BAY  PRE-INCREASE AVERAGE COUNTING RATE    101.33      COUNTS PER SECOND
TIXIE-BAY  TIME INTERVALS    300         3600     
TIXIE-BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE-BAY  170909 3600 000000-010000   00      97.67 1015.1    100.50    -0.83    -9999
TIXIE-BAY  170909 3600 010000-020000   00      96.76 1015.4     99.78    -1.53    -9999
TIXIE-BAY  170909 3600 020000-030000   00      97.30 1015.7    100.59    -0.74    -9999
TIXIE-BAY  170909 3600 030000-040000   00      97.05 1016.0    100.51    -0.82    -9999
TIXIE-BAY  170909 3600 040000-050000   00      96.46 1016.3    100.14    -1.18    -9999
TIXIE-BAY  170909 3600 050000-060000   00      95.78 1016.7     99.70    -1.62    -9999
TIXIE-BAY  170909 3600 060000-070000   00      95.34 1016.9     99.45    -1.86    -9999
TIXIE-BAY  170909 3600 070000-080000   00      94.18 1017.2     98.44    -2.85    -9999
TIXIE-BAY  170909 3600 080000-090000   00      94.49 1017.5     98.94    -2.37    -9999
TIXIE-BAY  170909 3600 090000-100000   00      94.39 1017.9     99.11    -2.20    -9999
TIXIE-BAY  170909 3600 100000-110000   00      94.77 1018.2     99.76    -1.56    -9999
TIXIE-BAY  170909 3600 110000-120000   00      94.92 1018.6    100.17    -1.15    -9999
TIXIE-BAY  170909 3600 120000-130000   00      94.21 1019.0     99.73    -1.58    -9999
TIXIE-BAY  170909 3600 130000-140000   00      94.18 1019.3     99.89    -1.43    -9999
TIXIE-BAY  170909 3600 140000-150000   00      93.66 1019.7     99.64    -1.68    -9999
TIXIE-BAY  170909 3600 150000-160000   00      93.62 1020.0     99.84    -1.47    -9999
TIXIE-BAY  170909 3600 160000-170000   00      93.75 1020.1    100.05    -1.27    -9999
TIXIE-BAY  170909 3600 170000-180000   00      93.65 1020.3    100.07    -1.25    -9999
TIXIE-BAY  170909 3600 180000-190000   00      94.13 1020.4    100.64    -0.68    -9999
TIXIE-BAY  170909 3600 190000-200000   00      94.05 1020.5    100.67    -0.66    -9999
TIXIE-BAY  170909 3600 200000-210000   00      94.24 1020.8    101.08    -0.25    -9999
TIXIE-BAY  170909 3600 210000-220000   00      94.04 1021.0    101.01    -0.32    -9999
TIXIE-BAY  170909 3600 220000-230000   00      94.22 1021.2    101.34     0.01    -9999
TIXIE-BAY  170909 3600 230000-240000   00      94.19 1021.3    101.41     0.07    -9999
TIXIE-BAY  170910 3600 000000-010000   00      94.29 1021.4    101.56     0.22    -9999
TIXIE-BAY  170910 3600 010000-020000   00      94.19 1021.5    101.53     0.19    -9999
TIXIE-BAY  170910 3600 020000-030000   00      94.60 1021.5    101.98     0.63    -9999
TIXIE-BAY  170910 3600 030000-040000   00      94.07 1021.6    101.45     0.11    -9999
TIXIE-BAY  170910 3600 040000-050000   00      94.09 1021.7    101.55     0.21    -9999
TIXIE-BAY  170910 3600 050000-060000   00      93.70 1021.6    101.10    -0.23    -9999
TIXIE-BAY  170910 3600 060000-070000   00      93.66 1021.6    101.03    -0.30    -9999
TIXIE-BAY  170910 3600 070000-080000   00      93.89 1021.6    101.23    -0.10    -9999
TIXIE-BAY  170910 3600 080000-090000   00      94.01 1021.5    101.32    -0.02    -9999
TIXIE-BAY  170910 3600 090000-100000   00      93.80 1021.4    101.05    -0.28    -9999
TIXIE-BAY  170910 3600 100000-110000   00      93.97 1021.5    101.27    -0.06    -9999
TIXIE-BAY  170910 3600 110000-120000   00      93.98 1021.4    101.19    -0.15    -9999
TIXIE-BAY  170910 300  120000-120500   00      93.36 1021.2    100.45    -0.87    -9999
TIXIE-BAY  170910 300  120500-121000   00      93.44 1021.3    100.61    -0.71    -9999
TIXIE-BAY  170910 300  121000-121500   00      93.41 1021.4    100.59    -0.74    -9999
TIXIE-BAY  170910 300  121500-122000   00      94.08 1021.4    101.31    -0.03    -9999
TIXIE-BAY  170910 300  122000-122500   00      93.97 1021.3    101.20    -0.13    -9999
TIXIE-BAY  170910 300  122500-123000   00      93.55 1021.3    100.69    -0.63    -9999
TIXIE-BAY  170910 300  123000-123500   00      93.55 1021.3    100.67    -0.66    -9999
TIXIE-BAY  170910 300  123500-124000   00      92.85 1021.3     99.92    -1.40    -9999
