BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     MB     COEFFICIENT   -0.73     % / MB
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    108.66      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
BAKSAN     240510 3600 000000-010000   00     111.05  834.5    116.36     7.08    -9999
BAKSAN     240510 3600 010000-020000   00     110.75  834.5    116.09     6.83    -9999
BAKSAN     240510 3600 020000-030000   00     109.92  835.0    115.58     6.37    -9999
BAKSAN     240510 3600 030000-040000   00     110.55  835.2    116.43     7.15    -9999
BAKSAN     240510 3600 040000-050000   00     110.56  835.3    116.50     7.22    -9999
BAKSAN     240510 3600 050000-060000   00     110.34  835.3    116.30     7.03    -9999
BAKSAN     240510 3600 060000-070000   00     111.06  835.2    116.98     7.65    -9999
BAKSAN     240510 3600 070000-080000   00     111.78  835.0    117.59     8.22    -9999
BAKSAN     240510 3600 080000-090000   00     111.55  835.0    117.34     7.99    -9999
BAKSAN     240510 3600 090000-100000   00     111.68  835.0    117.48     8.12    -9999
BAKSAN     240510 3600 100000-110000   00     111.23  835.2    117.17     7.83    -9999
BAKSAN     240510 3600 110000-120000   00     111.05  835.5    117.23     7.89    -9999
BAKSAN     240510 3600 120000-130000   00     110.71  835.9    117.19     7.85    -9999
BAKSAN     240510 3600 130000-140000   00     110.93  836.0    117.52     8.16    -9999
BAKSAN     240510 3600 140000-150000   00     110.30  836.3    117.06     7.73    -9999
BAKSAN     240510 3600 150000-160000   00     109.47  836.4    116.29     7.02    -9999
BAKSAN     240510 3600 160000-170000   00     109.90  836.3    116.69     7.39    -9999
BAKSAN     240510 3600 170000-180000   00     109.72  836.2    116.42     7.14    -9999
BAKSAN     240510 3600 180000-190000   00     110.87  836.0    117.49     8.12    -9999
BAKSAN     240510 3600 190000-200000   00     111.39  835.9    117.87     8.47    -9999
BAKSAN     240510 3600 200000-210000   00     111.10  835.4    117.20     7.86    -9999
BAKSAN     240510 300  210000-210500   00     110.11  835.2    115.98     6.74    -9999
BAKSAN     240510 300  210500-211000   00     110.87  835.0    116.61     7.31    -9999
BAKSAN     240510 300  211000-211500   00     112.35  835.2    118.30     8.87    -9999
BAKSAN     240510 300  211500-212000   00     110.44  835.0    116.12     6.86    -9999
BAKSAN     240510 300  212000-212500   00     110.89  835.0    116.62     7.33    -9999
BAKSAN     240510 300  212500-213000   00     110.67  835.1    116.43     7.15    -9999
BAKSAN     240510 300  213000-213500   00     110.24  835.0    115.90     6.66    -9999
BAKSAN     240510 300  213500-214000   00     109.05  834.9    114.63     5.49    -9999
BAKSAN     240510 300  214000-214500   00     111.25  834.9    116.92     7.60    -9999
BAKSAN     240510 300  214500-215000   00     109.26  835.0    114.90     5.74    -9999
BAKSAN     240510 300  215000-215500   00     108.49  835.0    114.12     5.02    -9999
BAKSAN     240510 300  215500-220000   00     108.17  834.8    113.57     4.52    -9999
BAKSAN     240510 300  220000-220500   00     109.95  834.8    115.50     6.30    -9999
BAKSAN     240510 300  220500-221000   00     109.30  835.0    114.99     5.82    -9999
BAKSAN     240510 300  221000-221500   00     107.98  835.0    113.52     4.47    -9999
BAKSAN     240510 300  221500-222000   00     109.07  834.8    114.54     5.41    -9999
BAKSAN     240510 300  222000-222500   00     106.19  834.6    111.38     2.50    -9999
BAKSAN     240510 300  222500-223000   00     108.00  834.7    113.35     4.32    -9999
BAKSAN     240510 300  223000-223500   00     105.60  834.8    110.87     2.03    -9999
BAKSAN     240510 300  223500-224000   00     103.64  834.7    108.79     0.12    -9999
BAKSAN     240510 300  224000-224500   00     104.03  834.8    109.23     0.53    -9999
BAKSAN     240510 300  224500-225000   00     103.85  834.5    108.81     0.14    -9999
BAKSAN     240510 300  225000-225500   00     104.23  834.6    109.30     0.58    -9999
BAKSAN     240510 300  225500-230000   00     103.25  834.5    108.21    -0.41    -9999
BAKSAN     240510 300  230000-230500   00     103.29  834.7    108.40    -0.24    -9999
BAKSAN     240510 300  230500-231000   00     103.99  834.5    108.96     0.28    -9999
BAKSAN     240510 300  231000-231500   00     104.25  834.8    109.46     0.74    -9999
BAKSAN     240510 300  231500-232000   00     103.09  834.5    108.04    -0.58    -9999
BAKSAN     240510 300  232000-232500   00     102.63  834.5    107.58    -0.99    -9999
BAKSAN     240510 300  232500-233000   00     103.56  834.3    108.38    -0.26    -9999
BAKSAN     240510 300  233000-233500   00     104.47  834.5    109.48     0.76    -9999
BAKSAN     240510 300  233500-234000   00     102.52  834.4    107.32    -1.23    -9999
BAKSAN     240510 300  234000-234500   00     104.38  834.4    109.34     0.62    -9999
BAKSAN     240510 300  234500-235000   00     102.30  834.3    107.06    -1.48    -9999
BAKSAN     240510 300  235000-235500   00     103.72  834.2    108.48    -0.17    -9999
BAKSAN     240510 300  235500-240000   00     103.92  834.3    108.74     0.07    -9999
BAKSAN     240511 300  000000-000500   00     103.69  834.3    108.53    -0.12    -9999
BAKSAN     240511 300  000500-001000   00     104.18  834.2    108.91     0.23    -9999
BAKSAN     240511 300  001000-001500   00     102.72  834.2    107.40    -1.16    -9999
BAKSAN     240511 300  001500-002000   00     104.57  834.2    109.36     0.64    -9999
BAKSAN     240511 300  002000-002500   00     105.42  834.2    110.22     1.43    -9999
BAKSAN     240511 300  002500-003000   00     102.58  834.0    107.13    -1.41    -9999
BAKSAN     240511 300  003000-003500   00     103.35  834.0    107.94    -0.67    -9999
BAKSAN     240511 300  003500-004000   00     104.61  834.0    109.20     0.49    -9999
BAKSAN     240511 300  004000-004500   00     105.37  834.0    110.05     1.28    -9999
BAKSAN     240511 300  004500-005000   00     102.90  834.1    107.53    -1.04    -9999
BAKSAN     240511 300  005000-005500   00     104.78  834.1    109.49     0.77    -9999
BAKSAN     240511 300  005500-010000   00     106.26  833.9    110.88     2.04    -9999
BAKSAN     240511 300  010000-010500   00     106.40  834.1    111.18     2.32    -9999
BAKSAN     240511 300  010500-011000   00     104.47  833.8    108.96     0.27    -9999
BAKSAN     240511 300  011000-011500   00     105.65  833.9    110.23     1.44    -9999
