BARENSBURG LATITUDE    78.12     LONGITUDE     14.42     ALTITUDE    0 M
BARENSBURG INSTRUMENT   6NM64    NEUTRON MONITOR     	
BARENSBURG STANDARD PRESSURE    -9999   MB     COEFFICIENT   -9999     % / MB
BARENSBURG PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
BARENSBURG PRE-INCREASE AVERAGE COUNTING RATE  8,149.50      COUNTS PER SECOND
BARENSBURG TIME INTERVALS    3600     
BARENSBURG SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
BARENSBURG 240510 3600 000000-010000   00    8720.00 1005.0   9079.00    11.41    -9999
BARENSBURG 240510 3600 010000-020000   00    8656.00 1005.0   9036.00    10.88    -9999
BARENSBURG 240510 3600 020000-030000   00    8692.00 1006.0   9080.00    11.42    -9999
BARENSBURG 240510 3600 030000-040000   00    8685.00 1006.0   9076.00    11.37    -9999
BARENSBURG 240510 3600 040000-050000   00    8697.00 1006.0   9095.00    11.60    -9999
BARENSBURG 240510 3600 050000-060000   00    8674.00 1006.0   9080.00    11.42    -9999
BARENSBURG 240510 3600 060000-070000   00    8708.00 1006.0   9121.00    11.92    -9999
BARENSBURG 240510 3600 070000-080000   00    8683.00 1006.0   9106.00    11.74    -9999
BARENSBURG 240510 3600 080000-090000   00    8651.00 1006.0   9094.00    11.59    -9999
BARENSBURG 240510 3600 090000-100000   00    8668.00 1007.0   9133.00    12.07    -9999
BARENSBURG 240510 3600 100000-110000   00    8653.00 1007.0   9135.00    12.09    -9999
BARENSBURG 240510 3600 110000-120000   00    8653.00 1007.0   9146.00    12.23    -9999
BARENSBURG 240510 3600 120000-130000   00    8598.00 1007.0   9095.00    11.60    -9999
BARENSBURG 240510 3600 130000-140000   00    8685.00 1007.0   9183.00    12.68    -9999
BARENSBURG 240510 3600 140000-150000   00    8717.00 1007.0   9208.00    12.99    -9999
BARENSBURG 240510 3600 150000-160000   00    8776.00 1007.0   9256.00    13.58    -9999
BARENSBURG 240510 3600 160000-170000   00    8691.00 1007.0   9159.00    12.39    -9999
BARENSBURG 240510 3600 170000-180000   00    8722.00 1007.0   9178.00    12.62    -9999
BARENSBURG 240510 3600 180000-190000   00    8687.00 1006.0   9116.00    11.86    -9999
BARENSBURG 240510 3600 190000-200000   00    8634.00 1006.0   9037.00    10.89    -9999
