CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    884     MB     COEFFICIENT   -999      % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    245.81      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    240510 3600 000000-010000   00     279.94  895.8    276.91    12.65    -9999
CALGARY    240510 3600 010000-020000   00     279.86  895.5    276.04    12.30    -9999
CALGARY    240510 3600 020000-030000   00     278.85  895.5    275.07    11.90    -9999
CALGARY    240510 3600 030000-040000   00     278.85  895.8    275.71    12.17    -9999
CALGARY    240510 3600 040000-050000   00     278.97  895.8    275.97    12.27    -9999
CALGARY    240510 3600 050000-060000   00     278.97  895.8    275.84    12.22    -9999
CALGARY    240510 3600 060000-070000   00     279.82  895.7    276.52    12.49    -9999
CALGARY    240510 3600 070000-080000   00     279.73  895.7    276.43    12.46    -9999
CALGARY    240510 3600 080000-090000   00     280.34  895.6    276.83    12.62    -9999
CALGARY    240510 3600 090000-100000   00     280.08  895.6    276.53    12.50    -9999
CALGARY    240510 3600 100000-110000   00     280.73  895.4    276.74    12.58    -9999
CALGARY    240510 3600 110000-120000   00     280.88  895.2    276.61    12.53    -9999
CALGARY    240510 3600 120000-130000   00     282.04  895.2    277.73    12.98    -9999
CALGARY    240510 3600 130000-140000   00     283.71  894.8    278.37    13.24    -9999
CALGARY    240510 3600 140000-150000   00     282.57  894.4    276.47    12.47    -9999
CALGARY    240510 3600 150000-160000   00     286.85  893.8    279.38    13.66    -9999
CALGARY    240510 3600 160000-170000   00     289.55  892.9    280.05    13.93    -9999
CALGARY    240510 3600 170000-180000   00     293.08  891.8    281.09    14.35    -9999
CALGARY    240510 3600 180000-190000   00     293.37  890.5    278.53    13.31    -9999
CALGARY    240510 3600 190000-200000   00     290.68  889.4    273.63    11.32    -9999
CALGARY    240510 3600 200000-210000   00     287.82  888.3    268.69     9.31    -9999
CALGARY    240510 300  210000-210500   00     287.41  888.0    267.52     8.83    -9999
CALGARY    240510 300  210500-211000   00     285.90  887.9    265.91     8.18    -9999
CALGARY    240510 300  211000-211500   00     285.24  887.8    265.15     7.87    -9999
CALGARY    240510 300  211500-212000   00     280.01  887.8    260.26     5.88    -9999
CALGARY    240510 300  212000-212500   00     279.50  887.7    259.67     5.64    -9999
CALGARY    240510 300  212500-213000   00     280.01  887.7    260.06     5.80    -9999
CALGARY    240510 300  213000-213500   00     281.56  887.6    261.40     6.34    -9999
CALGARY    240510 300  213500-214000   00     280.38  887.5    260.14     5.83    -9999
CALGARY    240510 300  214000-214500   00     278.92  887.5    258.61     5.21    -9999
CALGARY    240510 300  214500-215000   00     277.56  887.4    257.21     4.64    -9999
CALGARY    240510 300  215000-215500   00     276.55  887.3    256.06     4.17    -9999
CALGARY    240510 300  215500-220000   00     273.46  887.2    253.10     2.97    -9999
