DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     14.51      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       240510 3600 000000-010000   00      18.38  642.2     16.75    15.43    -9999
DOMC       240510 3600 010000-020000   00      18.45  642.6     16.85    16.12    -9999
DOMC       240510 3600 020000-030000   00      18.55  642.6     16.95    16.81    -9999
DOMC       240510 3600 030000-040000   00      18.42  642.9     16.85    16.12    -9999
DOMC       240510 3600 040000-050000   00      18.45  643.0     16.90    16.47    -9999
DOMC       240510 3600 050000-060000   00      18.47  643.0     16.92    16.58    -9999
DOMC       240510 3600 060000-070000   00      18.33  643.0     16.80    15.78    -9999
DOMC       240510 3600 070000-080000   00      18.48  642.9     16.92    16.58    -9999
DOMC       240510 3600 080000-090000   00      18.38  642.9     16.83    16.01    -9999
DOMC       240510 3600 090000-100000   00      18.38  643.2     16.87    16.24    -9999
DOMC       240510 3600 100000-110000   00      18.35  643.1     16.82    15.89    -9999
DOMC       240510 3600 110000-120000   00      18.45  642.9     16.90    16.47    -9999
DOMC       240510 3600 120000-130000   00      18.42  643.0     16.87    16.24    -9999
DOMC       240510 3600 130000-140000   00      18.50  642.8     16.92    16.58    -9999
DOMC       240510 3600 140000-150000   00      18.57  642.7     16.98    17.04    -9999
DOMC       240510 3600 150000-160000   00      18.68  642.7     17.08    17.73    -9999
DOMC       240510 3600 160000-170000   00      18.57  642.7     16.97    16.93    -9999
DOMC       240510 3600 170000-180000   00      18.62  642.8     17.03    17.39    -9999
DOMC       240510 3600 180000-190000   00      17.90  643.0     16.40    13.02    -9999
DOMC       240510 3600 190000-200000   00      17.62  642.8     16.12    11.07    -9999
DOMC       240510 3600 200000-210000   00      17.65  642.6     16.13    11.18    -9999
DOMC       240510 300  210000-210500   00      17.28  642.6     15.78     8.77    -9999
DOMC       240510 300  210500-211000   00      17.05  642.6     15.57     7.28    -9999
DOMC       240510 300  211000-211500   00      16.92  642.6     15.45     6.48    -9999
DOMC       240510 300  211500-212000   00      16.97  642.6     15.50     6.82    -9999
DOMC       240510 300  212000-212500   00      16.82  642.6     15.37     5.90    -9999
DOMC       240510 300  212500-213000   00      16.40  642.6     14.98     3.26    -9999
DOMC       240510 300  213000-213500   00      16.17  642.7     14.78     1.88    -9999
DOMC       240510 300  213500-214000   00      16.52  642.7     15.10     4.06    -9999
DOMC       240510 300  214000-214500   00      16.53  642.7     15.12     4.18    -9999
DOMC       240510 300  214500-215000   00      16.83  642.7     15.38     6.02    -9999
DOMC       240510 300  215000-215500   00      16.97  642.7     15.50     6.82    -9999
DOMC       240510 300  215500-220000   00      17.03  642.6     15.57     7.28    -9999
DOMC       240510 300  220000-220500   00      16.45  642.7     15.03     3.60    -9999
DOMC       240510 300  220500-221000   00      16.83  642.6     15.38     6.02    -9999
DOMC       240510 300  221000-221500   00      16.88  642.7     15.43     6.36    -9999
DOMC       240510 300  221500-222000   00      16.52  642.7     15.10     4.06    -9999
DOMC       240510 300  222000-222500   00      16.32  642.7     14.90     2.68    -9999
DOMC       240510 300  222500-223000   00      16.28  642.7     14.88     2.57    -9999
DOMC       240510 300  223000-223500   00      16.22  642.7     14.82     2.11    -9999
DOMC       240510 300  223500-224000   00      15.87  642.7     14.50    -0.07    -9999
DOMC       240510 300  224000-224500   00      16.12  642.7     14.73     1.54    -9999
DOMC       240510 300  224500-225000   00      16.45  642.7     15.03     3.60    -9999
DOMC       240510 300  225000-225500   00      16.28  642.7     14.88     2.57    -9999
DOMC       240510 300  225500-230000   00      16.37  642.7     14.97     3.14    -9999
DOMC       240510 300  230000-230500   00      16.13  642.7     14.75     1.65    -9999
