DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    -999    MB     COEFFICIENT   -999      % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE     92.99      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    240510 3600 000000-010000   00      93.87  998.0    102.17     9.86    -9999
DOURBES    240510 3600 010000-020000   00      94.02  997.6    102.00     9.69    -9999
DOURBES    240510 3600 020000-030000   00      93.62  997.3    101.37     9.01    -9999
DOURBES    240510 3600 030000-040000   00      94.81  997.1    102.52    10.24    -9999
DOURBES    240510 3600 040000-050000   00      94.71  997.2    102.46    10.18    -9999
DOURBES    240510 3600 050000-060000   00      94.52  997.5    102.45    10.17    -9999
DOURBES    240510 3600 060000-070000   00      94.43  997.7    102.51    10.23    -9999
DOURBES    240510 3600 070000-080000   00      93.89  997.6    101.89     9.57    -9999
DOURBES    240510 3600 080000-090000   00      94.91  997.6    102.98    10.73    -9999
DOURBES    240510 3600 090000-100000   00      95.38  997.5    103.39    11.18    -9999
DOURBES    240510 3600 100000-110000   00      96.25  997.3    104.19    12.04    -9999
DOURBES    240510 3600 110000-120000   00      96.55  997.0    104.25    12.10    -9999
DOURBES    240510 3600 120000-130000   00      96.90  996.5    104.24    12.09    -9999
DOURBES    240510 3600 130000-140000   00      96.42  996.1    103.42    11.21    -9999
DOURBES    240510 3600 140000-150000   00      96.72  995.6    103.38    11.17    -9999
DOURBES    240510 3600 150000-160000   00      96.28  995.3    102.67    10.40    -9999
DOURBES    240510 3600 160000-170000   00      97.06  995.0    103.29    11.08    -9999
DOURBES    240510 3600 170000-180000   00      96.47  995.0    102.65    10.39    -9999
DOURBES    240510 3600 180000-190000   00      96.61  995.1    102.86    10.61    -9999
DOURBES    240510 3600 190000-200000   00      95.52  995.4    101.92     9.60    -9999
DOURBES    240510 3600 200000-210000   00      94.82  995.6    101.36     8.99    -9999
DOURBES    240510 300  210000-210500   00      94.32  995.7    100.93     8.53    -9999
DOURBES    240510 300  210500-211000   00      94.08  995.7    100.64     8.22    -9999
DOURBES    240510 300  211000-211500   00      95.03  995.7    101.67     9.33    -9999
DOURBES    240510 300  211500-212000   00      93.52  995.8    100.09     7.63    -9999
DOURBES    240510 300  212000-212500   00      95.39  995.7    102.06     9.75    -9999
DOURBES    240510 300  212500-213000   00      94.17  995.7    100.72     8.31    -9999
DOURBES    240510 300  213000-213500   00      93.47  995.7     99.96     7.49    -9999
DOURBES    240510 300  213500-214000   00      92.68  995.7     99.12     6.59    -9999
DOURBES    240510 300  214000-214500   00      90.70  995.6     96.96     4.27    -9999
DOURBES    240510 300  214500-215000   00      91.53  995.6     97.84     5.22    -9999
DOURBES    240510 300  215000-215500   00      91.83  995.6     98.16     5.56    -9999
DOURBES    240510 300  215500-220000   00      90.25  995.6     96.48     3.75    -9999
DOURBES    240510 300  220000-220500   00      91.81  995.6     98.17     5.57    -9999
DOURBES    240510 300  220500-221000   00      92.57  995.6     98.96     6.41    -9999
DOURBES    240510 300  221000-221500   00      91.10  995.6     97.38     4.72    -9999
DOURBES    240510 300  221500-222000   00      91.39  995.6     97.67     5.03    -9999
DOURBES    240510 300  222000-222500   00      89.47  995.6     95.65     2.85    -9999
DOURBES    240510 300  222500-223000   00      89.37  995.6     95.53     2.73    -9999
DOURBES    240510 300  223000-223500   00      90.60  995.6     96.82     4.12    -9999
DOURBES    240510 300  223500-224000   00      88.79  995.5     94.88     2.03    -9999
DOURBES    240510 300  224000-224500   00      88.68  995.4     94.68     1.82    -9999
DOURBES    240510 300  224500-225000   00      89.50  995.4     95.56     2.76    -9999
DOURBES    240510 300  225000-225500   00      88.32  995.4     94.27     1.37    -9999
DOURBES    240510 300  225500-230000   00      87.52  995.4     93.43     0.47    -9999
DOURBES    240510 300  230000-230500   00      87.22  995.4     93.12     0.13    -9999
DOURBES    240510 300  230500-231000   00      87.34  995.4     93.24     0.26    -9999
DOURBES    240510 300  231000-231500   00      85.37  995.4     91.14    -1.99    -9999
DOURBES    240510 300  231500-232000   00      86.39  995.4     92.22    -0.83    -9999
DOURBES    240510 300  232000-232500   00      85.19  995.4     90.94    -2.21    -9999
DOURBES    240510 300  232500-233000   00      88.28  995.4     94.22     1.32    -9999
DOURBES    240510 300  233000-233500   00      87.34  995.4     93.22     0.24    -9999
DOURBES    240510 300  233500-234000   00      86.62  995.4     92.45    -0.59    -9999
DOURBES    240510 300  234000-234500   00      85.75  995.4     91.53    -1.57    -9999
DOURBES    240510 300  234500-235000   00      87.77  995.4     93.69     0.74    -9999
DOURBES    240510 300  235000-235500   00      87.38  995.4     93.27     0.29    -9999
DOURBES    240510 300  235500-240000   00      86.09  995.4     91.90    -1.17    -9999
DOURBES    240511 300  000000-000500   00      86.93  995.4     92.78    -0.23    -9999
DOURBES    240511 300  000500-001000   00      87.36  995.4     93.22     0.25    -9999
DOURBES    240511 300  001000-001500   00      87.00  995.3     92.82    -0.19    -9999
DOURBES    240511 300  001500-002000   00      87.57  995.3     93.42     0.46    -9999
DOURBES    240511 300  002000-002500   00      88.60  995.3     94.51     1.63    -9999
DOURBES    240511 300  002500-003000   00      87.36  995.3     93.18     0.20    -9999
DOURBES    240511 300  003000-003500   00      87.28  995.3     93.09     0.11    -9999
DOURBES    240511 300  003500-004000   00      86.25  995.3     91.97    -1.10    -9999
DOURBES    240511 300  004000-004500   00      85.81  995.3     91.49    -1.61    -9999
DOURBES    240511 300  004500-005000   00      87.54  995.2     93.33     0.37    -9999
DOURBES    240511 300  005000-005500   00      87.89  995.2     93.69     0.74    -9999
DOURBES    240511 300  005500-010000   00      87.70  995.2     93.45     0.49    -9999
DOURBES    240511 300  010000-010500   00      86.70  995.1     92.35    -0.69    -9999
DOURBES    240511 300  010500-011000   00      87.87  995.1     93.57     0.62    -9999
DOURBES    240511 300  011000-011500   00      86.41  995.1     92.00    -1.07    -9999
DOURBES    240511 300  011500-012000   00      88.36  995.0     94.03     1.12    -9999
DOURBES    240511 300  012000-012500   00      87.98  994.9     93.59     0.64    -9999
DOURBES    240511 300  012500-013000   00      87.72  994.9     93.31     0.34    -9999
DOURBES    240511 300  013000-013500   00      88.96  994.9     94.64     1.77    -9999
DOURBES    240511 300  013500-014000   00      89.53  994.9     95.23     2.40    -9999
