IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    800     MB     COEFFICIENT   -0.713    % / MB
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE  4,715.65      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK2   240510 3600 000000-010000   00    5139.00  802.0   5211.00    10.50    -9999
IRKUTSK2   240510 3600 010000-020000   00    5126.00  802.3   5209.00    10.46    -9999
IRKUTSK2   240510 3600 020000-030000   00    5115.00  802.3   5199.00    10.25    -9999
IRKUTSK2   240510 3600 030000-040000   00    5105.00  802.5   5196.00    10.19    -9999
IRKUTSK2   240510 3600 040000-050000   00    5146.00  802.6   5243.00    11.18    -9999
IRKUTSK2   240510 3600 050000-060000   00    5159.00  802.2   5241.00    11.14    -9999
IRKUTSK2   240510 3600 060000-070000   00    5184.00  801.9   5255.00    11.44    -9999
IRKUTSK2   240510 3600 070000-080000   00    5197.00  801.8   5263.00    11.61    -9999
IRKUTSK2   240510 3600 080000-090000   00    5157.00  802.0   5230.00    10.91    -9999
IRKUTSK2   240510 3600 090000-100000   00    5153.00  802.3   5238.00    11.08    -9999
IRKUTSK2   240510 3600 100000-110000   00    5160.00  802.5   5252.00    11.37    -9999
IRKUTSK2   240510 3600 110000-120000   00    5144.00  802.8   5246.00    11.25    -9999
IRKUTSK2   240510 3600 120000-130000   00    5126.00  803.1   5240.00    11.12    -9999
IRKUTSK2   240510 3600 130000-140000   00    5111.00  803.3   5232.00    10.95    -9999
IRKUTSK2   240510 3600 140000-150000   00    5127.00  803.4   5252.00    11.37    -9999
IRKUTSK2   240510 3600 150000-160000   00    5136.00  803.1   5250.00    11.33    -9999
IRKUTSK2   240510 3600 160000-170000   00    5129.00  803.2   5248.00    11.29    -9999
IRKUTSK2   240510 3600 170000-180000   00    5125.00  803.1   5240.00    11.12    -9999
IRKUTSK2   240510 3600 180000-190000   00    5158.00  802.9   5267.00    11.69    -9999
IRKUTSK2   240510 3600 190000-200000   00    5144.00  802.7   5244.00    11.20    -9999
IRKUTSK2   240510 3600 200000-210000   00    5113.00  802.3   5199.00    10.25    -9999
IRKUTSK2   240510 3600 210000-220000   00    4979.00  802.2   5057.00     7.24    -9999
IRKUTSK2   240510 300  220000-220500   00    -999.00  802.1   4932.23     4.59    -9999
IRKUTSK2   240510 300  220500-221000   00    -999.00  802.1   4942.83     4.82    -9999
IRKUTSK2   240510 300  221000-221500   00    -999.00  802.1   4954.47     5.06    -9999
IRKUTSK2   240510 300  221500-222000   00    -999.00  802.1   4913.35     4.19    -9999
IRKUTSK2   240510 300  222000-222500   00    -999.00  802.2   4902.48     3.96    -9999
IRKUTSK2   240510 300  222500-223000   00    -999.00  802.3   4864.20     3.15    -9999
IRKUTSK2   240510 300  223000-223500   00    -999.00  802.4   4801.09     1.81    -9999
IRKUTSK2   240510 300  223500-224000   00    -999.00  802.4   4787.12     1.52    -9999
IRKUTSK2   240510 300  224000-224500   00    -999.00  802.4   4710.04    -0.12    -9999
IRKUTSK2   240510 300  224500-225000   00    -999.00  802.4   4708.74    -0.15    -9999
IRKUTSK2   240510 300  225000-225500   00    -999.00  802.4   4687.27    -0.60    -9999
IRKUTSK2   240510 300  225500-230000   00    -999.00  802.5   4730.21     0.31    -9999
IRKUTSK2   240510 300  230000-230500   00    -999.00  802.5   4656.49    -1.25    -9999
IRKUTSK2   240510 300  230500-231000   00    -999.00  802.4   4705.90    -0.21    -9999
IRKUTSK2   240510 300  231000-231500   00    -999.00  802.4   4729.95     0.30    -9999
IRKUTSK2   240510 300  231500-232000   00    -999.00  802.4   4688.57    -0.57    -9999
IRKUTSK2   240510 300  232000-232500   00    -999.00  802.4   4709.00    -0.14    -9999
IRKUTSK2   240510 300  232500-233000   00    -999.00  802.3   4712.11    -0.08    -9999
IRKUTSK2   240510 300  233000-233500   00    -999.00  802.3   4698.14    -0.37    -9999
IRKUTSK2   240510 300  233500-234000   00    -999.00  802.3   4708.48    -0.15    -9999
IRKUTSK2   240510 300  234000-234500   00    -999.00  802.3   4685.46    -0.64    -9999
IRKUTSK2   240510 300  234500-235000   00    -999.00  802.3   4667.36    -1.02    -9999
IRKUTSK2   240510 300  235000-235500   00    -999.00  802.4   4711.59    -0.09    -9999
IRKUTSK2   240510 300  235500-240000   00    -999.00  802.5   4711.59    -0.09    -9999
IRKUTSK2   240511 300  000000-000500   00    -999.00  802.5   4722.97     0.16    -9999
IRKUTSK2   240511 300  000500-001000   00    -999.00  802.5   4703.57    -0.26    -9999
IRKUTSK2   240511 300  001000-001500   00    -999.00  802.5   4733.83     0.39    -9999
IRKUTSK2   240511 300  001500-002000   00    -999.00  802.5   4683.65    -0.68    -9999
IRKUTSK2   240511 300  002000-002500   00    -999.00  802.5   4705.12    -0.22    -9999
IRKUTSK2   240511 300  002500-003000   00    -999.00  802.5   4744.18     0.61    -9999
IRKUTSK2   240511 300  003000-003500   00    -999.00  802.5   4745.99     0.64    -9999
IRKUTSK2   240511 300  003500-004000   00    -999.00  802.5   4722.45     0.14    -9999
IRKUTSK2   240511 300  004000-004500   00    -999.00  802.5   4732.28     0.35    -9999
IRKUTSK2   240511 300  004500-005000   00    -999.00  802.6   4766.94     1.09    -9999
IRKUTSK2   240511 300  005000-005500   00    -999.00  802.6   4777.29     1.31    -9999
IRKUTSK2   240511 300  005500-010000   00    -999.00  802.6   4752.72     0.79    -9999
IRKUTSK2   240511 300  010000-010500   00    -999.00  802.6   4747.03     0.67    -9999
IRKUTSK2   240511 300  010500-011000   00    -999.00  802.7   4788.15     1.54    -9999
IRKUTSK2   240511 300  011000-011500   00    -999.00  802.7   4737.45     0.46    -9999
IRKUTSK2   240511 300  011500-012000   00    -999.00  802.7   4777.29     1.31    -9999
IRKUTSK2   240511 300  012000-012500   00    -999.00  802.6   4768.24     1.12    -9999
IRKUTSK2   240511 300  012500-013000   00    -999.00  802.6   4844.54     2.73    -9999
IRKUTSK2   240511 300  013000-013500   00    -999.00  802.5   4809.36     1.99    -9999
IRKUTSK2   240511 300  013500-014000   00    -999.00  802.6   4832.38     2.48    -9999
IRKUTSK2   240511 300  014000-014500   00    -999.00  802.6   4813.50     2.08    -9999
IRKUTSK2   240511 300  014500-015000   00    -999.00  802.5   4804.19     1.88    -9999
IRKUTSK2   240511 300  015000-015500   00    -999.00  802.5   4798.24     1.75    -9999
IRKUTSK2   240511 300  015500-020000   00    -999.00  802.5   4876.36     3.41    -9999
IRKUTSK2   240511 300  020000-020500   00    -999.00  802.5   4846.87     2.78    -9999
IRKUTSK2   240511 300  020500-021000   00    -999.00  802.5   4847.39     2.79    -9999
IRKUTSK2   240511 300  021000-021500   00    -999.00  802.5   4880.24     3.49    -9999
IRKUTSK2   240511 300  021500-022000   00    -999.00  802.5   4897.57     3.86    -9999
IRKUTSK2   240511 300  022000-022500   00    -999.00  802.5   4923.18     4.40    -9999
IRKUTSK2   240511 300  022500-023000   00    -999.00  802.5   4927.57     4.49    -9999
IRKUTSK2   240511 300  023000-023500   00    -999.00  802.6   4898.86     3.89    -9999
IRKUTSK2   240511 300  023500-024000   00    -999.00  802.5   4899.12     3.89    -9999
IRKUTSK2   240511 300  024000-024500   00    -999.00  802.5   4897.83     3.86    -9999
IRKUTSK2   240511 300  024500-025000   00    -999.00  802.5   4911.02     4.14    -9999
IRKUTSK2   240511 300  025000-025500   00    -999.00  802.5   4950.08     4.97    -9999
