JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    139.99      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   240510 3600 000000-010000   00     152.58  661.1    150.44     7.46    -9999
JUNGFRAU   240510 3600 010000-020000   00     152.59  660.9    150.28     7.35    -9999
JUNGFRAU   240510 3600 020000-030000   00     152.82  660.7    150.22     7.30    -9999
JUNGFRAU   240510 3600 030000-040000   00     153.83  660.6    151.14     7.96    -9999
JUNGFRAU   240510 3600 040000-050000   00     153.11  660.6    150.44     7.46    -9999
JUNGFRAU   240510 3600 050000-060000   00     153.49  660.7    150.94     7.82    -9999
JUNGFRAU   240510 3600 060000-070000   00     153.15  660.9    150.75     7.68    -9999
JUNGFRAU   240510 3600 070000-080000   00     152.79  661.0    150.57     7.55    -9999
JUNGFRAU   240510 3600 080000-090000   00     153.54  661.2    151.64     8.32    -9999
JUNGFRAU   240510 3600 090000-100000   00     154.62  661.4    152.78     9.13    -9999
JUNGFRAU   240510 3600 100000-110000   00     154.88  661.6    153.23     9.45    -9999
JUNGFRAU   240510 3600 110000-120000   00     154.75  661.8    153.36     9.54    -9999
JUNGFRAU   240510 3600 120000-130000   00     154.26  661.8    152.93     9.24    -9999
JUNGFRAU   240510 3600 130000-140000   00     154.46  661.8    153.10     9.36    -9999
JUNGFRAU   240510 3600 140000-150000   00     153.02  661.8    151.64     8.32    -9999
JUNGFRAU   240510 3600 150000-160000   00     153.39  661.7    151.94     8.53    -9999
JUNGFRAU   240510 3600 160000-170000   00     153.04  661.7    151.57     8.27    -9999
JUNGFRAU   240510 3600 170000-180000   00     152.63  661.7    151.15     7.97    -9999
JUNGFRAU   240510 3600 180000-190000   00     154.78  661.7    153.31     9.51    -9999
JUNGFRAU   240510 3600 190000-200000   00     155.70  661.9    154.42    10.30    -9999
JUNGFRAU   240510 3600 200000-210000   00     156.12  662.0    154.96    10.69    -9999
JUNGFRAU   240510 300  210000-210500   00     154.75  662.0    153.53     9.67    -9999
JUNGFRAU   240510 300  210500-211000   00     155.81  662.1    154.78    10.56    -9999
JUNGFRAU   240510 300  211000-211500   00     153.87  662.0    152.70     9.07    -9999
JUNGFRAU   240510 300  211500-212000   00     154.02  662.0    152.95     9.26    -9999
JUNGFRAU   240510 300  212000-212500   00     153.05  662.0    151.94     8.53    -9999
JUNGFRAU   240510 300  212500-213000   00     152.32  662.0    151.30     8.08    -9999
JUNGFRAU   240510 300  213000-213500   00     152.16  662.0    151.01     7.87    -9999
JUNGFRAU   240510 300  213500-214000   00     151.24  662.0    150.02     7.16    -9999
JUNGFRAU   240510 300  214000-214500   00     150.53  662.0    149.34     6.68    -9999
JUNGFRAU   240510 300  214500-215000   00     150.75  661.9    149.54     6.82    -9999
JUNGFRAU   240510 300  215000-215500   00     150.22  661.9    148.97     6.41    -9999
JUNGFRAU   240510 300  215500-220000   00     151.67  661.9    150.46     7.47    -9999
JUNGFRAU   240510 300  220000-220500   00     149.35  661.9    148.12     5.80    -9999
JUNGFRAU   240510 300  220500-221000   00     151.10  661.9    149.87     7.05    -9999
JUNGFRAU   240510 300  221000-221500   00     150.46  661.8    149.17     6.55    -9999
JUNGFRAU   240510 300  221500-222000   00     149.77  661.8    148.38     5.99    -9999
JUNGFRAU   240510 300  222000-222500   00     149.54  661.8    148.13     5.81    -9999
JUNGFRAU   240510 300  222500-223000   00     146.01  661.8    144.68     3.35    -9999
JUNGFRAU   240510 300  223000-223500   00     149.33  661.8    147.96     5.69    -9999
JUNGFRAU   240510 300  223500-224000   00     145.93  661.8    144.70     3.36    -9999
JUNGFRAU   240510 300  224000-224500   00     145.34  661.8    144.02     2.88    -9999
JUNGFRAU   240510 300  224500-225000   00     145.28  661.7    143.87     2.77    -9999
