KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.7  MB     COEFFICIENT   -0.721    % / MB
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    146.39      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KIEL       240510 3600 000000-010000   00     151.57 1016.6    162.78    11.20    -9999
KIEL       240510 3600 010000-020000   00     151.37 1016.3    162.18    10.79    -9999
KIEL       240510 3600 020000-030000   00     151.17 1016.1    161.81    10.54    -9999
KIEL       240510 3600 030000-040000   00     152.07 1016.1    162.71    11.15    -9999
KIEL       240510 3600 040000-050000   00     151.94 1016.1    162.65    11.11    -9999
KIEL       240510 3600 050000-060000   00     151.61 1016.4    162.62    11.09    -9999
KIEL       240510 3600 060000-070000   00     151.92 1016.6    163.18    11.47    -9999
KIEL       240510 3600 070000-080000   00     152.00 1016.9    163.57    11.74    -9999
KIEL       240510 3600 080000-090000   00     152.07 1017.1    163.94    11.99    -9999
KIEL       240510 3600 090000-100000   00     152.16 1017.2    164.18    12.15    -9999
KIEL       240510 3600 100000-110000   00     153.88 1017.2    166.04    13.42    -9999
KIEL       240510 3600 110000-120000   00     154.51 1017.3    166.84    13.97    -9999
KIEL       240510 3600 120000-130000   00     155.15 1017.3    167.50    14.42    -9999
KIEL       240510 3600 130000-140000   00     155.17 1017.0    167.16    14.19    -9999
KIEL       240510 3600 140000-150000   00     155.05 1016.7    166.64    13.83    -9999
KIEL       240510 3600 150000-160000   00     155.42 1016.5    166.75    13.91    -9999
KIEL       240510 3600 160000-170000   00     155.27 1016.2    166.30    13.60    -9999
KIEL       240510 3600 170000-180000   00     154.32 1016.1    165.09    12.78    -9999
KIEL       240510 3600 180000-190000   00     153.24 1016.2    164.07    12.08    -9999
KIEL       240510 3600 190000-200000   00     150.46 1016.5    161.46    10.30    -9999
KIEL       240510 3600 200000-210000   00     148.82 1016.7    159.96     9.27    -9999
KIEL       240510 3600 210000-220000   00     144.95 1016.9    155.96     6.54    -9999
KIEL       240510 300  220000-220500   00     143.64 1016.9    154.55     5.58    -9999
KIEL       240510 300  220500-221000   00     143.45 1016.9    154.40     5.48    -9999
KIEL       240510 300  221000-221500   00     143.48 1016.9    154.48     5.53    -9999
KIEL       240510 300  221500-222000   00     141.32 1016.9    152.13     3.92    -9999
KIEL       240510 300  222000-222500   00     143.78 1016.9    154.78     5.74    -9999
KIEL       240510 300  222500-223000   00     138.04 1016.9    148.61     1.52    -9999
KIEL       240510 300  223000-223500   00     140.92 1017.0    151.76     3.67    -9999
KIEL       240510 300  223500-224000   00     139.95 1017.1    150.81     3.02    -9999
KIEL       240510 300  224000-224500   00     137.41 1017.1    148.13     1.19    -9999
KIEL       240510 300  224500-225000   00     135.68 1017.1    146.24    -0.10    -9999
KIEL       240510 300  225000-225500   00     135.59 1017.1    146.15    -0.16    -9999
KIEL       240510 300  225500-230000   00     134.20 1017.1    144.63    -1.20    -9999
KIEL       240510 300  230000-230500   00     135.81 1017.0    146.33    -0.04    -9999
KIEL       240510 300  230500-231000   00     136.06 1017.0    146.58     0.13    -9999
KIEL       240510 300  231000-231500   00     136.03 1017.0    146.57     0.12    -9999
KIEL       240510 300  231500-232000   00     139.38 1017.0    150.15     2.57    -9999
KIEL       240510 300  232000-232500   00     138.89 1017.0    149.57     2.18    -9999
KIEL       240510 300  232500-233000   00     132.33 1016.9    142.44    -2.70    -9999
KIEL       240510 300  233000-233500   00     137.64 1016.9    148.17     1.22    -9999
KIEL       240510 300  233500-234000   00     135.80 1016.8    146.10    -0.19    -9999
KIEL       240510 300  234000-234500   00     134.21 1016.8    144.38    -1.37    -9999
KIEL       240510 300  234500-235000   00     135.72 1016.8    146.00    -0.27    -9999
