LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     MB     COEFFICIENT   -0.72     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    383.91      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   240510 3600 000000-010000   00     396.12  742.2    422.21     9.98    -9999
LOMNICKY   240510 3600 010000-020000   00     397.31  741.8    422.38    10.02    -9999
LOMNICKY   240510 3600 020000-030000   00     398.81  741.5    422.98    10.18    -9999
LOMNICKY   240510 3600 030000-040000   00     398.42  741.5    422.59    10.08    -9999
LOMNICKY   240510 3600 040000-050000   00     399.54  741.7    424.21    10.50    -9999
LOMNICKY   240510 3600 050000-060000   00     397.84  741.9    423.06    10.20    -9999
LOMNICKY   240510 3600 060000-070000   00     396.86  742.0    422.40    10.03    -9999
LOMNICKY   240510 3600 070000-080000   00     397.23  742.2    423.39    10.28    -9999
LOMNICKY   240510 3600 080000-090000   00     400.36  742.6    427.86    11.45    -9999
LOMNICKY   240510 3600 090000-100000   00     401.23  742.7    429.02    11.75    -9999
LOMNICKY   240510 3600 100000-110000   00     400.90  742.8    429.15    11.79    -9999
LOMNICKY   240510 3600 110000-120000   00     401.24  742.9    429.89    11.98    -9999
LOMNICKY   240510 3600 120000-130000   00     400.73  742.9    429.18    11.79    -9999
LOMNICKY   240510 3600 130000-140000   00     400.98  742.7    429.02    11.75    -9999
LOMNICKY   240510 3600 140000-150000   00     399.16  742.6    426.70    11.15    -9999
LOMNICKY   240510 3600 150000-160000   00     400.42  742.4    427.29    11.30    -9999
LOMNICKY   240510 3600 160000-170000   00     399.86  742.2    426.17    11.01    -9999
LOMNICKY   240510 3600 170000-180000   00     398.87  742.1    424.79    10.65    -9999
LOMNICKY   240510 3600 180000-190000   00     404.02  742.2    430.56    12.15    -9999
LOMNICKY   240510 3600 190000-200000   00     400.14  742.4    427.05    11.24    -9999
LOMNICKY   240510 3600 200000-210000   00     398.14  742.4    424.88    10.67    -9999
LOMNICKY   240510 300  210000-210500   00     397.09  742.4    423.84    10.40    -9999
