MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE  7,636.73      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     240510 3600 000000-010000   00    9031.00  992.5   8558.00    12.06    -9999
MOSCOW     240510 3600 010000-020000   00    9035.00  992.2   8544.00    11.88    -9999
MOSCOW     240510 3600 020000-030000   00    9107.00  992.0   8599.00    12.60    -9999
MOSCOW     240510 3600 030000-040000   00    9094.00  991.8   8571.00    12.23    -9999
MOSCOW     240510 3600 040000-050000   00    9153.00  991.3   8599.00    12.60    -9999
MOSCOW     240510 3600 050000-060000   00    9166.00  991.0   8590.00    12.48    -9999
MOSCOW     240510 3600 060000-070000   00    9200.00  990.4   8585.00    12.42    -9999
MOSCOW     240510 3600 070000-080000   00    9276.00  989.7   8612.00    12.77    -9999
MOSCOW     240510 3600 080000-090000   00    9371.00  988.9   8651.00    13.28    -9999
MOSCOW     240510 3600 090000-100000   00    9397.00  988.4   8643.00    13.18    -9999
MOSCOW     240510 3600 100000-110000   00    9494.00  987.8   8693.00    13.83    -9999
MOSCOW     240510 3600 110000-120000   00    9525.00  987.2   8688.00    13.77    -9999
MOSCOW     240510 3600 120000-130000   00    9524.00  986.8   8661.00    13.41    -9999
MOSCOW     240510 3600 130000-140000   00    9511.00  986.3   8620.00    12.88    -9999
MOSCOW     240510 3600 140000-150000   00    9565.00  986.1   8652.00    13.29    -9999
MOSCOW     240510 3600 150000-160000   00    9560.00  985.9   8638.00    13.11    -9999
MOSCOW     240510 3600 160000-170000   00    9603.00  985.6   8660.00    13.40    -9999
MOSCOW     240510 3600 170000-180000   00    9560.00  985.4   8604.00    12.67    -9999
MOSCOW     240510 3600 180000-190000   00    9538.00  985.0   8563.00    12.13    -9999
MOSCOW     240510 3600 190000-200000   00    9413.00  984.5   8418.00    10.23    -9999
MOSCOW     240510 3600 200000-210000   00    9339.00  984.1   8331.00     9.09    -9999
MOSCOW     240510 3600 210000-220000   00    9090.00  983.8   8091.00     5.95    -9999
MOSCOW     240510 300  220000-220500   00    8990.30  983.7   7994.92     4.69    -9999
MOSCOW     240510 300  220500-221000   00    8914.38  983.6   7922.75     3.75    -9999
MOSCOW     240510 300  221000-221500   00    8877.83  983.6   7889.01     3.30    -9999
MOSCOW     240510 300  221500-222000   00    8841.28  983.6   7856.21     2.87    -9999
MOSCOW     240510 300  222000-222500   00    8861.90  983.5   7870.26     3.06    -9999
MOSCOW     240510 300  222500-223000   00    8834.72  983.5   7844.96     2.73    -9999
MOSCOW     240510 300  223000-223500   00    8732.55  983.4   7752.17     1.51    -9999
MOSCOW     240510 300  223500-224000   00    8606.02  983.4   7636.88     0.00    -9999
MOSCOW     240510 300  224000-224500   00    8631.33  983.4   7659.38     0.30    -9999
MOSCOW     240510 300  224500-225000   00    8614.46  983.3   7643.45     0.09    -9999
MOSCOW     240510 300  225000-225500   00    8605.09  983.3   7632.20    -0.06    -9999
MOSCOW     240510 300  225500-230000   00    8572.28  983.4   7606.89    -0.39    -9999
MOSCOW     240510 300  230000-230500   00    8618.21  983.3   7641.57     0.06    -9999
MOSCOW     240510 300  230500-231000   00    8578.84  983.3   7606.89    -0.39    -9999
MOSCOW     240510 300  231000-231500   00    8624.77  983.3   7647.19     0.14    -9999
MOSCOW     240510 300  231500-232000   00    8640.70  983.2   7660.32     0.31    -9999
MOSCOW     240510 300  232000-232500   00    8673.51  983.2   7685.62     0.64    -9999
MOSCOW     240510 300  232500-233000   00    8630.39  983.1   7644.38     0.10    -9999
MOSCOW     240510 300  233000-233500   00    8736.30  983.1   7735.30     1.29    -9999
MOSCOW     240510 300  233500-234000   00    8567.59  983.0   7583.46    -0.70    -9999
MOSCOW     240510 300  234000-234500   00    8565.72  983.0   7578.77    -0.76    -9999
MOSCOW     240510 300  234500-235000   00    8552.60  983.0   7567.53    -0.91    -9999
MOSCOW     240510 300  235000-235500   00    8674.44  982.9   7674.38     0.49    -9999
MOSCOW     240510 300  235500-240000   00    8664.13  982.9   7660.32     0.31    -9999
MOSCOW     240511 300  000000-000500   00    8531.98  982.9   7543.16    -1.23    -9999
MOSCOW     240511 300  000500-001000   00    8637.89  982.9   7640.63     0.05    -9999
MOSCOW     240511 300  001000-001500   00    8513.23  982.9   7530.04    -1.40    -9999
MOSCOW     240511 300  001500-002000   00    8586.34  982.9   7591.90    -0.59    -9999
MOSCOW     240511 300  002000-002500   00    8752.24  982.8   7735.30     1.29    -9999
MOSCOW     240511 300  002500-003000   00    8640.70  982.8   7634.07    -0.03    -9999
MOSCOW     240511 300  003000-003500   00    8621.02  982.8   7616.26    -0.27    -9999
MOSCOW     240511 300  003500-004000   00    8744.74  982.8   7725.93     1.17    -9999
MOSCOW     240511 300  004000-004500   00    8631.33  982.7   7621.89    -0.19    -9999
MOSCOW     240511 300  004500-005000   00    8671.63  982.7   7656.57     0.26    -9999
MOSCOW     240511 300  005000-005500   00    8710.06  982.7   7690.31     0.70    -9999
MOSCOW     240511 300  005500-010000   00    8619.14  982.7   7609.70    -0.35    -9999
MOSCOW     240511 300  010000-010500   00    8763.48  982.7   7737.17     1.32    -9999
MOSCOW     240511 300  010500-011000   00    8659.45  982.6   7640.63     0.05    -9999
MOSCOW     240511 300  011000-011500   00    8790.67  982.6   7755.92     1.56    -9999
MOSCOW     240511 300  011500-012000   00    8732.55  982.6   7704.37     0.89    -9999
MOSCOW     240511 300  012000-012500   00    8763.48  982.6   7732.49     1.25    -9999
MOSCOW     240511 300  012500-013000   00    8598.52  982.6   7586.27    -0.66    -9999
MOSCOW     240511 300  013000-013500   00    8712.87  982.6   7689.37     0.69    -9999
MOSCOW     240511 300  013500-014000   00    8684.75  982.7   7667.81     0.41    -9999
MOSCOW     240511 300  014000-014500   00    8758.80  982.7   7733.42     1.27    -9999
MOSCOW     240511 300  014500-015000   00    8824.41  982.6   7789.66     2.00    -9999
MOSCOW     240511 300  015000-015500   00    8875.96  982.7   7837.46     2.63    -9999
MOSCOW     240511 300  015500-020000   00    8811.28  982.7   7781.22     1.89    -9999
MOSCOW     240511 300  020000-020500   00    8841.28  982.8   7811.22     2.28    -9999
MOSCOW     240511 300  020500-021000   00    8856.27  982.8   7826.21     2.48    -9999
MOSCOW     240511 300  021000-021500   00    8978.12  982.8   7934.94     3.90    -9999
MOSCOW     240511 300  021500-022000   00    8816.91  982.8   7794.35     2.06    -9999
MOSCOW     240511 300  022000-022500   00    8885.33  982.8   7851.52     2.81    -9999
MOSCOW     240511 300  022500-023000   00    8920.01  982.9   7886.20     3.27    -9999
MOSCOW     240511 300  023000-023500   00    9044.67  982.9   7996.80     4.71    -9999
MOSCOW     240511 300  023500-024000   00    9128.08  982.9   8070.84     5.68    -9999
MOSCOW     240511 300  024000-024500   00    9076.53  982.9   8027.73     5.12    -9999
