MIRNY      LATITUDE    -66.55    LONGITUDE     93.02     ALTITUDE    30 M
MIRNY      INSTRUMENT   12NM64    NEUTRON MONITOR
MIRNY      STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.73     % / MB
MIRNY      PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MIRNY      PRE-INCREASE AVERAGE COUNTING RATE  5,842.42      COUNTS PER SECOND
MIRNY      TIME INTERVALS    300         3600     
MIRNY      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MIRNY      240510 3600 000000-010000   00    7852.00  976.2   6585.00    12.71    -9999
MIRNY      240510 3600 010000-020000   00    7858.00  976.3   6617.00    13.26    -9999
MIRNY      240510 3600 020000-030000   00    7810.00  976.4   6560.00    12.28    -9999
MIRNY      240510 3600 030000-040000   00    7847.00  976.5   6597.00    12.92    -9999
MIRNY      240510 3600 040000-050000   00    7832.00  976.7   6606.00    13.07    -9999
MIRNY      240510 3600 050000-060000   00    7803.00  976.7   6569.00    12.44    -9999
MIRNY      240510 3600 060000-070000   00    7837.00  976.5   6584.00    12.69    -9999
MIRNY      240510 3600 070000-080000   00    7842.00  976.6   6593.00    12.85    -9999
MIRNY      240510 3600 080000-090000   00    7850.00  977.0   6622.00    13.34    -9999
MIRNY      240510 3600 090000-100000   00    7820.00  977.1   6600.00    12.97    -9999
MIRNY      240510 3600 100000-110000   00    7887.00  976.8   6659.00    13.98    -9999
MIRNY      240510 3600 110000-120000   00    7865.00  976.8   6651.00    13.84    -9999
MIRNY      240510 3600 120000-130000   00    7883.00  976.6   6659.00    13.98    -9999
MIRNY      240510 3600 130000-140000   00    7886.00  976.2   6611.00    13.16    -9999
MIRNY      240510 3600 140000-150000   00    7901.00  976.3   6676.00    14.27    -9999
MIRNY      240510 3600 150000-160000   00    7920.00  976.4   6651.00    13.84    -9999
MIRNY      240510 3600 160000-170000   00    7917.00  976.0   6642.00    13.69    -9999
