MAWSONB    LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSONB    INSTRUMENT   6NM64B    NEUTRON MONITOR
MAWSONB    STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSONB    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MAWSONB    PRE-INCREASE AVERAGE COUNTING RATE     23.01      COUNTS PER SECOND
MAWSONB    TIME INTERVALS    300         3600     
MAWSONB    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSONB    240510 3600 000000-010000   00      28.73  977.1     26.23    13.98    -9999
MAWSONB    240510 3600 010000-020000   00      28.71  976.6     26.10    13.43    -9999
MAWSONB    240510 3600 020000-030000   00      28.76  976.4     26.12    13.53    -9999
MAWSONB    240510 3600 030000-040000   00      28.56  976.6     25.97    12.88    -9999
MAWSONB    240510 3600 040000-050000   00      28.57  977.0     26.06    13.25    -9999
MAWSONB    240510 3600 050000-060000   00      28.48  976.8     25.94    12.72    -9999
MAWSONB    240510 3600 060000-070000   00      28.70  976.5     26.08    13.35    -9999
MAWSONB    240510 3600 070000-080000   00      28.65  976.7     26.08    13.32    -9999
MAWSONB    240510 3600 080000-090000   00      28.65  977.0     26.14    13.60    -9999
MAWSONB    240510 3600 090000-100000   00      28.53  977.5     26.12    13.52    -9999
MAWSONB    240510 3600 100000-110000   00      28.64  977.7     26.25    14.09    -9999
MAWSONB    240510 3600 110000-120000   00      28.61  978.0     26.28    14.22    -9999
MAWSONB    240510 3600 120000-130000   00      28.39  978.3     26.13    13.58    -9999
MAWSONB    240510 3600 130000-140000   00      28.61  978.6     26.39    14.71    -9999
MAWSONB    240510 3600 140000-150000   00      28.41  979.2     26.31    14.35    -9999
MAWSONB    240510 3600 150000-160000   00      28.36  979.4     26.32    14.38    -9999
MAWSONB    240510 3600 160000-170000   00      28.34  979.9     26.38    14.65    -9999
MAWSONB    240510 3600 170000-180000   00      28.10  980.3     26.23    13.99    -9999
