MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE    201.68      COUNTS PER SECOND
MAWSON     TIME INTERVALS    300         3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     240510 3600 000000-010000   00     238.24  977.1    228.37    13.24    -9999
MAWSON     240510 3600 010000-020000   00     238.33  976.6    227.53    12.82    -9999
MAWSON     240510 3600 020000-030000   00     238.76  976.4    227.73    12.92    -9999
MAWSON     240510 3600 030000-040000   00     237.20  976.6    226.51    12.32    -9999
MAWSON     240510 3600 040000-050000   00     236.26  977.0    226.28    12.20    -9999
MAWSON     240510 3600 050000-060000   00     237.35  976.8    226.97    12.54    -9999
MAWSON     240510 3600 060000-070000   00     238.09  976.5    227.20    12.66    -9999
MAWSON     240510 3600 070000-080000   00     238.41  976.7    227.86    12.98    -9999
MAWSON     240510 3600 080000-090000   00     237.54  977.0    227.55    12.83    -9999
MAWSON     240510 3600 090000-100000   00     237.41  977.5    228.20    13.15    -9999
MAWSON     240510 3600 100000-110000   00     237.52  977.7    228.63    13.36    -9999
MAWSON     240510 3600 110000-120000   00     237.65  978.0    229.22    13.66    -9999
MAWSON     240510 3600 120000-130000   00     237.03  978.3    229.10    13.60    -9999
MAWSON     240510 3600 130000-140000   00     235.88  978.6    228.53    13.32    -9999
MAWSON     240510 3600 140000-150000   00     235.84  979.2    229.33    13.71    -9999
MAWSON     240510 3600 150000-160000   00     235.33  979.4    229.27    13.68    -9999
MAWSON     240510 3600 160000-170000   00     233.68  979.9    228.43    13.27    -9999
MAWSON     240510 3600 170000-180000   00     233.16  980.3    228.52    13.31    -9999
MAWSON     240510 3600 180000-190000   00     226.38  980.6    222.37    10.26    -9999
MAWSON     240510 3600 190000-200000   00     224.82  980.7    220.98     9.57    -9999
MAWSON     240510 3600 200000-210000   00     223.52  981.1    220.29     9.23    -9999
MAWSON     240510 3600 210000-220000   00     217.12  981.4    214.52     6.37    -9999
MAWSON     240510 300  220000-220500   00     211.99  981.9    210.17     4.21    -9999
MAWSON     240510 300  220500-221000   00     211.04  981.9    209.19     3.73    -9999
MAWSON     240510 300  221000-221500   00     211.73  981.9    210.00     4.13    -9999
MAWSON     240510 300  221500-222000   00     209.62  982.0    207.94     3.11    -9999
MAWSON     240510 300  222000-222500   00     207.01  982.0    205.39     1.84    -9999
