NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.72     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    174.35      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       240510 3600 000000-010000   00     193.88 1013.8    195.98    12.41    -9999
NAIN       240510 3600 010000-020000   00     194.29 1013.6    196.14    12.50    -9999
NAIN       240510 3600 020000-030000   00     194.84 1013.3    196.26    12.57    -9999
NAIN       240510 3600 030000-040000   00     194.76 1013.1    195.91    12.37    -9999
NAIN       240510 3600 040000-050000   00     196.16 1012.8    196.84    12.90    -9999
NAIN       240510 3600 050000-060000   00     196.35 1012.4    196.47    12.69    -9999
NAIN       240510 3600 060000-070000   00     195.11 1012.5    195.25    11.99    -9999
NAIN       240510 3600 070000-080000   00     196.49 1012.4    196.58    12.75    -9999
NAIN       240510 3600 080000-090000   00     197.07 1012.3    196.92    12.95    -9999
NAIN       240510 3600 090000-100000   00     197.01 1012.2    196.85    12.90    -9999
NAIN       240510 3600 100000-110000   00     197.38 1012.1    196.99    12.99    -9999
NAIN       240510 3600 110000-120000   00     198.60 1011.8    197.74    13.42    -9999
NAIN       240510 3600 120000-130000   00     199.85 1011.4    198.43    13.81    -9999
NAIN       240510 3600 130000-140000   00     201.70 1010.9    199.56    14.46    -9999
NAIN       240510 3600 140000-150000   00     202.68 1010.6    199.99    14.71    -9999
NAIN       240510 3600 150000-160000   00     202.99 1010.4    200.07    14.75    -9999
NAIN       240510 3600 160000-170000   00     203.15 1010.2    199.88    14.64    -9999
NAIN       240510 3600 170000-180000   00     202.36 1010.1    198.91    14.09    -9999
NAIN       240510 3600 180000-190000   00     200.28 1009.9    196.57    12.75    -9999
NAIN       240510 3600 190000-200000   00     198.77 1009.6    194.75    11.70    -9999
NAIN       240510 3600 200000-210000   00     195.85 1009.5    191.66     9.93    -9999
NAIN       240510 300  210000-210500   00     194.83 1009.4    190.55     9.29    -9999
NAIN       240510 300  210500-211000   00     190.08 1009.4    185.93     6.64    -9999
NAIN       240510 300  211000-211500   00     192.27 1009.5    188.15     7.92    -9999
NAIN       240510 300  211500-212000   00     194.31 1009.5    190.19     9.09    -9999
NAIN       240510 300  212000-212500   00     192.43 1009.5    188.32     8.02    -9999
NAIN       240510 300  212500-213000   00     193.23 1009.5    189.14     8.48    -9999
NAIN       240510 300  213000-213500   00     190.33 1009.5    186.30     6.86    -9999
NAIN       240510 300  213500-214000   00     187.37 1009.5    183.43     5.21    -9999
NAIN       240510 300  214000-214500   00     187.63 1009.5    183.66     5.34    -9999
NAIN       240510 300  214500-215000   00     187.65 1009.5    183.71     5.37    -9999
NAIN       240510 300  215000-215500   00     185.93 1009.6    182.11     4.45    -9999
NAIN       240510 300  215500-220000   00     185.13 1009.6    181.35     4.02    -9999
NAIN       240510 300  220000-220500   00     184.70 1009.6    180.95     3.79    -9999
NAIN       240510 300  220500-221000   00     184.19 1009.6    180.49     3.52    -9999
NAIN       240510 300  221000-221500   00     186.01 1009.7    182.27     4.54    -9999
NAIN       240510 300  221500-222000   00     184.68 1009.7    181.00     3.81    -9999
NAIN       240510 300  222000-222500   00     183.62 1009.7    180.01     3.25    -9999
NAIN       240510 300  222500-223000   00     183.37 1009.8    179.83     3.15    -9999
NAIN       240510 300  223000-223500   00     183.08 1009.8    179.57     2.99    -9999
NAIN       240510 300  223500-224000   00     182.81 1009.8    179.34     2.86    -9999
NAIN       240510 300  224000-224500   00     180.92 1009.8    177.52     1.82    -9999
NAIN       240510 300  224500-225000   00     180.85 1009.8    177.48     1.80    -9999
NAIN       240510 300  225000-225500   00     180.82 1009.9    177.53     1.82    -9999
NAIN       240510 300  225500-230000   00     179.65 1010.0    176.46     1.21    -9999
NAIN       240510 300  230000-230500   00     181.61 1010.0    178.41     2.33    -9999
NAIN       240510 300  230500-231000   00     176.89 1010.0    173.84    -0.29    -9999
NAIN       240510 300  231000-231500   00     176.87 1010.1    173.89    -0.26    -9999
NAIN       240510 300  231500-232000   00     177.51 1010.1    174.58     0.13    -9999
NAIN       240510 300  232000-232500   00     176.84 1010.1    173.93    -0.24    -9999
NAIN       240510 300  232500-233000   00     177.26 1010.2    174.35     0.00    -9999
NAIN       240510 300  233000-233500   00     176.50 1010.2    173.63    -0.41    -9999
NAIN       240510 300  233500-234000   00     174.87 1010.2    172.08    -1.30    -9999
NAIN       240510 300  234000-234500   00     178.11 1010.3    175.32     0.56    -9999
NAIN       240510 300  234500-235000   00     176.06 1010.3    173.40    -0.55    -9999
NAIN       240510 300  235000-235500   00     177.68 1010.4    175.03     0.39    -9999
NAIN       240510 300  235500-240000   00     175.46 1010.3    172.81    -0.88    -9999
NAIN       240511 300  000000-000500   00     178.59 1010.4    175.93     0.91    -9999
NAIN       240511 300  000500-001000   00     174.92 1010.4    172.39    -1.12    -9999
NAIN       240511 300  001000-001500   00     176.78 1010.5    174.31    -0.02    -9999
NAIN       240511 300  001500-002000   00     175.93 1010.5    173.48    -0.50    -9999
NAIN       240511 300  002000-002500   00     176.18 1010.5    173.70    -0.37    -9999
NAIN       240511 300  002500-003000   00     177.88 1010.4    175.32     0.56    -9999
NAIN       240511 300  003000-003500   00     176.94 1010.4    174.41     0.04    -9999
NAIN       240511 300  003500-004000   00     178.11 1010.5    175.59     0.71    -9999
NAIN       240511 300  004000-004500   00     177.74 1010.4    175.22     0.50    -9999
NAIN       240511 300  004500-005000   00     176.23 1010.5    173.76    -0.34    -9999
NAIN       240511 300  005000-005500   00     175.80 1010.5    173.43    -0.53    -9999
NAIN       240511 300  005500-010000   00     176.31 1010.6    173.95    -0.23    -9999
NAIN       240511 300  010000-010500   00     176.76 1010.6    174.42     0.04     0.08
NAIN       240511 300  010500-011000   00     177.45 1010.6    175.14     0.45     0.48
NAIN       240511 300  011000-011500   00     177.80 1010.6    175.44     0.63     0.64
NAIN       240511 300  011500-012000   00     176.29 1010.5    173.85    -0.29    -0.29
NAIN       240511 300  012000-012500   00     177.87 1010.4    175.33     0.56     0.54
NAIN       240511 300  012500-013000   00     179.01 1010.4    176.43     1.19     1.15
NAIN       240511 300  013000-013500   00     177.17 1010.4    174.53     0.10     0.05
NAIN       240511 300  013500-014000   00     178.84 1010.3    176.15     1.03     0.96
NAIN       240511 300  014000-014500   00     179.89 1010.3    177.17     1.62     1.53
NAIN       240511 300  014500-015000   00     179.36 1010.4    176.73     1.37     1.26
NAIN       240511 300  015000-015500   00     176.75 1010.4    174.17    -0.10    -0.23
NAIN       240511 300  015500-020000   00     179.77 1010.4    177.14     1.60     1.46
