SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    231.08      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 240510 3600 000000-010000   00     280.42  674.2    268.44    16.17    -9999
SOUTH-POLE 240510 3600 010000-020000   00     281.46  674.1    269.45    16.60    -9999
SOUTH-POLE 240510 3600 020000-030000   00     280.80  673.9    268.27    16.09    -9999
SOUTH-POLE 240510 3600 030000-040000   00     281.48  673.9    268.87    16.35    -9999
SOUTH-POLE 240510 3600 040000-050000   00     282.64  673.8    269.78    16.75    -9999
SOUTH-POLE 240510 3600 050000-060000   00     282.79  673.6    269.70    16.71    -9999
SOUTH-POLE 240510 3600 060000-070000   00     282.45  673.4    268.83    16.34    -9999
SOUTH-POLE 240510 3600 070000-080000   00     281.52  673.3    267.78    15.88    -9999
SOUTH-POLE 240510 3600 080000-090000   00     281.57  673.4    268.06    16.00    -9999
SOUTH-POLE 240510 3600 090000-100000   00     282.47  673.4    268.84    16.34    -9999
SOUTH-POLE 240510 3600 100000-110000   00     282.30  673.2    268.31    16.11    -9999
SOUTH-POLE 240510 3600 110000-120000   00     283.64  673.1    269.46    16.61    -9999
SOUTH-POLE 240510 3600 120000-130000   00     283.85  672.9    269.23    16.51    -9999
SOUTH-POLE 240510 3600 130000-140000   00     285.15  672.8    270.13    16.90    -9999
SOUTH-POLE 240510 3600 140000-150000   00     286.46  672.4    270.65    17.13    -9999
SOUTH-POLE 240510 3600 150000-160000   00     287.61  672.5    271.89    17.66    -9999
SOUTH-POLE 240510 3600 160000-170000   00     288.02  672.3    271.82    17.63    -9999
SOUTH-POLE 240510 3600 170000-180000   00     286.48  672.3    270.38    17.01    -9999
SOUTH-POLE 240510 3600 180000-190000   00     278.64  671.9    262.21    13.47    -9999
SOUTH-POLE 240510 3600 190000-200000   00     277.06  671.9    260.85    12.88    -9999
SOUTH-POLE 240510 3600 200000-210000   00     267.59  671.8    251.70     8.93    -9999
SOUTH-POLE 240510 300  210000-210500   00     261.53  671.5    245.47     6.23    -9999
SOUTH-POLE 240510 300  210500-211000   00     257.65  671.5    241.76     4.62    -9999
SOUTH-POLE 240510 300  211000-211500   00     258.27  671.5    242.32     4.86    -9999
SOUTH-POLE 240510 300  211500-212000   00     258.13  671.5    242.21     4.82    -9999
SOUTH-POLE 240510 300  212000-212500   00     259.02  671.5    243.04     5.18    -9999
SOUTH-POLE 240510 300  212500-213000   00     258.05  671.5    242.08     4.76    -9999
SOUTH-POLE 240510 300  213000-213500   00     259.11  671.5    243.01     5.16    -9999
SOUTH-POLE 240510 300  213500-214000   00     259.52  671.5    243.47     5.36    -9999
SOUTH-POLE 240510 300  214000-214500   00     256.48  671.5    240.66     4.15    -9999
SOUTH-POLE 240510 300  214500-215000   00     256.71  671.6    241.01     4.30    -9999
SOUTH-POLE 240510 300  215000-215500   00     257.05  671.6    241.34     4.44    -9999
SOUTH-POLE 240510 300  215500-220000   00     253.50  671.6    237.95     2.97    -9999
SOUTH-POLE 240510 300  220000-220500   00     256.83  671.6    241.10     4.34    -9999
SOUTH-POLE 240510 300  220500-221000   00     256.74  671.6    241.03     4.30    -9999
SOUTH-POLE 240510 300  221000-221500   00     256.78  671.6    241.16     4.36    -9999
SOUTH-POLE 240510 300  221500-222000   00     256.23  671.7    240.76     4.19    -9999
SOUTH-POLE 240510 300  222000-222500   00     254.34  671.7    239.08     3.46    -9999
SOUTH-POLE 240510 300  222500-223000   00     252.70  671.8    237.58     2.81    -9999
SOUTH-POLE 240510 300  223000-223500   00     254.46  671.7    239.15     3.49    -9999
SOUTH-POLE 240510 300  223500-224000   00     254.52  671.7    239.15     3.49    -9999
SOUTH-POLE 240510 300  224000-224500   00     251.77  671.7    236.55     2.37    -9999
SOUTH-POLE 240510 300  224500-225000   00     254.18  671.7    238.85     3.36    -9999
SOUTH-POLE 240510 300  225000-225500   00     256.07  671.7    240.59     4.12    -9999
SOUTH-POLE 240510 300  225500-230000   00     256.28  671.6    240.64     4.14    -9999
SOUTH-POLE 240510 300  230000-230500   00     252.83  671.5    237.28     2.68    -9999
