YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    183.29      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    240510 3600 000000-010000   00     207.96 1000.5    204.18    11.39    -9999
YAKUTSK    240510 3600 010000-020000   00     206.38 1001.2    203.59    11.07    -9999
YAKUTSK    240510 3600 020000-030000   00     205.16 1002.0    203.56    11.06    -9999
YAKUTSK    240510 3600 030000-040000   00     205.43 1002.2    204.20    11.41    -9999
YAKUTSK    240510 3600 040000-050000   00     205.33 1002.2    204.13    11.37    -9999
YAKUTSK    240510 3600 050000-060000   00     205.54 1002.6    204.81    11.74    -9999
YAKUTSK    240510 3600 060000-070000   00     204.32 1003.2    204.51    11.57    -9999
YAKUTSK    240510 3600 070000-080000   00     203.42 1003.9    204.65    11.65    -9999
YAKUTSK    240510 3600 080000-090000   00     202.11 1004.5    204.30    11.46    -9999
YAKUTSK    240510 3600 090000-100000   00     201.53 1005.1    204.49    11.56    -9999
YAKUTSK    240510 3600 100000-110000   00     200.52 1005.7    204.47    11.55    -9999
YAKUTSK    240510 3600 110000-120000   00     199.46 1006.4    204.38    11.51    -9999
YAKUTSK    240510 3600 120000-130000   00     198.62 1006.9    204.20    11.41    -9999
YAKUTSK    240510 3600 130000-140000   00     198.68 1007.2    204.77    11.72    -9999
YAKUTSK    240510 3600 140000-150000   00     197.93 1007.3    204.13    11.37    -9999
YAKUTSK    240510 3600 150000-160000   00     198.15 1007.6    204.84    11.76    -9999
YAKUTSK    240510 3600 160000-170000   00     196.77 1008.0    203.88    11.23    -9999
YAKUTSK    240510 3600 170000-180000   00     195.82 1008.0    203.02    10.77    -9999
YAKUTSK    240510 3600 180000-190000   00     197.07 1008.2    204.48    11.56    -9999
YAKUTSK    240510 3600 190000-200000   00     194.10 1008.3    201.56     9.97    -9999
YAKUTSK    240510 3600 200000-210000   00     192.32 1008.5    200.00     9.11    -9999
YAKUTSK    240510 300  210000-210500   00     193.01 1008.6    200.88     9.60    -9999
YAKUTSK    240510 300  210500-211000   00     190.03 1008.6    197.84     7.94    -9999
YAKUTSK    240510 300  211000-211500   00     189.68 1008.6    197.49     7.75    -9999
YAKUTSK    240510 300  211500-212000   00     190.35 1008.6    198.19     8.13    -9999
YAKUTSK    240510 300  212000-212500   00     190.85 1008.6    198.67     8.39    -9999
YAKUTSK    240510 300  212500-213000   00     188.99 1008.5    196.64     7.28    -9999
YAKUTSK    240510 300  213000-213500   00     188.80 1008.5    196.35     7.12    -9999
YAKUTSK    240510 300  213500-214000   00     185.25 1008.4    192.61     5.09    -9999
YAKUTSK    240510 300  214000-214500   00     182.77 1008.5    190.05     3.69    -9999
YAKUTSK    240510 300  214500-215000   00     182.91 1008.5    190.29     3.82    -9999
YAKUTSK    240510 300  215000-215500   00     183.57 1008.5    190.93     4.17    -9999
YAKUTSK    240510 300  215500-220000   00     182.45 1008.5    189.76     3.53    -9999
YAKUTSK    240510 300  220000-220500   00     182.51 1008.5    189.81     3.56    -9999
YAKUTSK    240510 300  220500-221000   00     184.91 1008.5    192.27     4.90    -9999
YAKUTSK    240510 300  221000-221500   00     182.75 1008.5    190.08     3.70    -9999
YAKUTSK    240510 300  221500-222000   00     182.32 1008.5    189.65     3.47    -9999
YAKUTSK    240510 300  222000-222500   00     180.99 1008.5    188.24     2.70    -9999
YAKUTSK    240510 300  222500-223000   00     180.61 1008.5    187.87     2.50    -9999
YAKUTSK    240510 300  223000-223500   00     181.20 1008.5    188.43     2.80    -9999
YAKUTSK    240510 300  223500-224000   00     179.81 1008.4    186.91     1.97    -9999
YAKUTSK    240510 300  224000-224500   00     177.44 1008.4    184.45     0.63    -9999
YAKUTSK    240510 300  224500-225000   00     176.37 1008.4    183.33     0.02    -9999
YAKUTSK    240510 300  225000-225500   00     176.85 1008.4    183.81     0.28    -9999
YAKUTSK    240510 300  225500-230000   00     176.64 1008.3    183.55     0.14    -9999
YAKUTSK    240510 300  230000-230500   00     174.99 1008.3    181.81    -0.81    -9999
YAKUTSK    240510 300  230500-231000   00     175.47 1008.3    182.29    -0.55    -9999
YAKUTSK    240510 300  231000-231500   00     174.85 1008.3    181.57    -0.94    -9999
YAKUTSK    240510 300  231500-232000   00     175.15 1008.3    181.87    -0.78    -9999
YAKUTSK    240510 300  232000-232500   00     176.96 1008.3    183.79     0.27    -9999
YAKUTSK    240510 300  232500-233000   00     176.67 1008.3    183.49     0.11    -9999
YAKUTSK    240510 300  233000-233500   00     177.47 1008.3    184.35     0.58    -9999
YAKUTSK    240510 300  233500-234000   00     175.17 1008.3    181.92    -0.75    -9999
YAKUTSK    240510 300  234000-234500   00     175.73 1008.3    182.51    -0.43    -9999
YAKUTSK    240510 300  234500-235000   00     175.09 1008.3    181.81    -0.81    -9999
YAKUTSK    240510 300  235000-235500   00     177.44 1008.2    184.24     0.52    -9999
YAKUTSK    240510 300  235500-240000   00     176.56 1008.2    183.31     0.01    -9999
YAKUTSK    240511 300  000000-000500   00     176.96 1008.2    183.71     0.23    -9999
YAKUTSK    240511 300  000500-001000   00     176.51 1008.2    183.15    -0.08    -9999
YAKUTSK    240511 300  001000-001500   00     177.71 1008.1    184.32     0.56    -9999
YAKUTSK    240511 300  001500-002000   00     175.76 1008.1    182.27    -0.56    -9999
YAKUTSK    240511 300  002000-002500   00     178.67 1008.0    185.23     1.06    -9999
YAKUTSK    240511 300  002500-003000   00     175.68 1008.1    182.19    -0.60    -9999
YAKUTSK    240511 300  003000-003500   00     176.77 1008.1    183.31     0.01    -9999
YAKUTSK    240511 300  003500-004000   00     177.87 1008.1    184.40     0.60    -9999
YAKUTSK    240511 300  004000-004500   00     176.85 1008.1    183.39     0.05    -9999
YAKUTSK    240511 300  004500-005000   00     178.19 1008.0    184.75     0.79    -9999
YAKUTSK    240511 300  005000-005500   00     178.37 1008.0    184.85     0.85    -9999
YAKUTSK    240511 300  005500-010000   00     178.13 1007.9    184.51     0.66    -9999
YAKUTSK    240511 300  010000-010500   00     177.79 1007.9    184.08     0.43    -0.53
YAKUTSK    240511 300  010500-011000   00     179.84 1007.9    186.19     1.58     0.59
YAKUTSK    240511 300  011000-011500   00     180.35 1007.8    186.72     1.87     0.86
YAKUTSK    240511 300  011500-012000   00     181.33 1007.8    187.65     2.38     1.34
YAKUTSK    240511 300  012000-012500   00     183.84 1007.8    190.19     3.76     2.70
YAKUTSK    240511 300  012500-013000   00     181.63 1007.7    187.81     2.47     1.39
YAKUTSK    240511 300  013000-013500   00     182.93 1007.6    189.09     3.16     2.06
YAKUTSK    240511 300  013500-014000   00     182.83 1007.6    189.01     3.12     2.00
YAKUTSK    240511 300  014000-014500   00     182.88 1007.6    189.09     3.16     2.03
YAKUTSK    240511 300  014500-015000   00     179.68 1007.6    185.71     1.32     0.17
YAKUTSK    240511 300  015000-015500   00     180.83 1007.6    186.88     1.96     0.79
YAKUTSK    240511 300  015500-020000   00     183.17 1007.6    189.28     3.27     2.07
YAKUTSK    240511 300  020000-020500   00     181.09 1007.6    187.12     2.09     0.88
YAKUTSK    240511 300  020500-021000   00     181.15 1007.5    187.09     2.07     0.85
YAKUTSK    240511 300  021000-021500   00     182.96 1007.5    188.93     3.08     1.83
YAKUTSK    240511 300  021500-022000   00     181.81 1007.4    187.68     2.39     1.14
YAKUTSK    240511 300  022000-022500   00     183.04 1007.4    188.85     3.03     1.76
YAKUTSK    240511 300  022500-023000   00     184.64 1007.3    190.43     3.89     2.60
YAKUTSK    240511 300  023000-023500   00     186.77 1007.3    192.64     5.10     3.78
YAKUTSK    240511 300  023500-024000   00     184.00 1007.3    189.73     3.51     2.19
YAKUTSK    240511 300  024000-024500   00     183.09 1007.3    188.85     3.03     1.70
YAKUTSK    240511 300  024500-025000   00     186.91 1007.2    192.64     5.10     3.74
YAKUTSK    240511 300  025000-025500   00     187.97 1007.2    193.68     5.67     4.29
YAKUTSK    240511 300  025500-030000   00     186.91 1007.1    192.45     5.00     3.61
YAKUTSK    240511 300  030000-030500   00     186.99 1007.1    192.53     5.04     3.64
YAKUTSK    240511 300  030500-031000   00     187.25 1007.0    192.72     5.14     3.73
YAKUTSK    240511 300  031000-031500   00     185.36 1007.0    190.77     4.08     2.66
YAKUTSK    240511 300  031500-032000   00     186.16 1007.0    191.55     4.50     3.07
YAKUTSK    240511 300  032000-032500   00     186.05 1007.0    191.44     4.45     3.00
