APATITY LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY STANDARD PRESSURE    1010    MB     COEFFICIENT   -0.73     % / MB
APATITY PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
APATITY PRE-INCREASE AVERAGE COUNTING RATE    158.86      COUNTS PER SECOND
APATITY TIME INTERVALS    300         3600     
APATITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY 240607 3600 000000-010000   00     168.56  991.2    158.20    -0.41    -9999
APATITY 240607 3600 010000-020000   00     168.11  991.3    157.94    -0.58    -9999
APATITY 240607 3600 020000-030000   00     168.18  991.2    157.88    -0.61    -9999
APATITY 240607 3600 030000-040000   00     168.53  990.8    157.78    -0.68    -9999
APATITY 240607 3600 040000-050000   00     168.79  990.5    157.63    -0.77    -9999
APATITY 240607 3600 050000-060000   00     169.72  990.2    158.20    -0.41    -9999
APATITY 240607 3600 060000-070000   00     170.39  990.1    158.61    -0.15    -9999
APATITY 240607 3600 070000-080000   00     170.95  989.8    158.89     0.02    -9999
APATITY 240607 3600 080000-090000   00     171.04  989.6    158.75    -0.07    -9999
APATITY 240607 3600 090000-100000   00     171.36  989.4    158.75    -0.07    -9999
APATITY 240607 3600 100000-110000   00     171.78  989.1    158.84    -0.01    -9999
APATITY 240607 3600 110000-120000   00     171.98  988.8    158.67    -0.12    -9999
APATITY 240607 3600 120000-130000   00     171.58  988.7    158.21    -0.41    -9999
APATITY 240607 3600 130000-140000   00     172.10  988.5    158.44    -0.27    -9999
APATITY 240607 3600 140000-150000   00     171.86  988.3    158.02    -0.53    -9999
APATITY 240607 3600 150000-160000   00     171.34  988.3    157.51    -0.85    -9999
APATITY 240607 3600 160000-170000   00     171.03  988.5    157.48    -0.87    -9999
APATITY 240607 3600 170000-180000   00     172.03  988.4    158.26    -0.38    -9999
APATITY 240607 3600 180000-190000   00     172.83  988.1    158.63    -0.14    -9999
APATITY 240607 3600 190000-200000   00     172.89  987.8    158.34    -0.32    -9999
APATITY 240607 3600 200000-210000   00     173.63  987.9    159.10     0.15    -9999
APATITY 240607 3600 210000-220000   00     172.32  988.3    158.40    -0.29    -9999
APATITY 240607 3600 220000-230000   00     172.29  988.5    158.62    -0.15    -9999
APATITY 240607 3600 230000-240000   00     172.67  988.6    159.00     0.09    -9999
APATITY 240608 300  000000-000500   00     172.68  988.6    159.10     0.15     0.23
APATITY 240608 300  000500-001000   00     170.71  988.6    157.27    -1.00    -0.93
APATITY 240608 300  001000-001500   00     171.03  988.6    157.60    -0.79    -0.73
APATITY 240608 300  001500-002000   00     170.66  988.6    157.25    -1.01    -0.95
APATITY 240608 300  002000-002500   00     172.37  988.6    158.79    -0.05     0.01
APATITY 240608 300  002500-003000   00     172.81  988.6    159.15     0.18     0.23
APATITY 240608 300  003000-003500   00     172.79  988.5    159.10     0.15     0.19
APATITY 240608 300  003500-004000   00     171.87  988.5    158.18    -0.43    -0.39
APATITY 240608 300  004000-004500   00     172.59  988.4    158.76    -0.06    -0.03
APATITY 240608 300  004500-005000   00     174.48  988.3    160.43     0.99     1.01
APATITY 240608 300  005000-005500   00     173.95  988.3    159.91     0.66     0.68
APATITY 240608 300  005500-010000   00     172.10  988.4    158.27    -0.37    -0.36
APATITY 240608 300  010000-010500   00     172.24  988.4    158.39    -0.30    -0.29
APATITY 240608 300  010500-011000   00     173.61  988.3    159.60     0.47     0.47
APATITY 240608 300  011000-011500   00     174.47  988.2    160.29     0.90     0.89
APATITY 240608 300  011500-012000   00     175.47  988.3    161.24     1.50     1.49
APATITY 240608 300  012000-012500   00     171.77  988.3    157.86    -0.63    -0.65
APATITY 240608 300  012500-013000   00     173.84  988.2    159.71     0.54     0.51
APATITY 240608 300  013000-013500   00     172.71  988.2    158.62    -0.15    -0.18
APATITY 240608 300  013500-014000   00     171.37  988.1    157.33    -0.96    -1.00
APATITY 240608 300  014000-014500   00     172.40  988.1    158.27    -0.37    -0.42
APATITY 240608 300  014500-015000   00     173.78  988.2    159.62     0.48     0.43
APATITY 240608 300  015000-015500   00     171.84  988.2    157.87    -0.62    -0.68
APATITY 240608 300  015500-020000   00     174.08  988.3    159.98     0.71     0.64
