Fort-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort-SMITH STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
Fort-SMITH PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
Fort-SMITH PRE-INCREASE AVERAGE COUNTING RATE    196.03      COUNTS PER SECOND
Fort-SMITH TIME INTERVALS    300         3600     
Fort-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
Fort-SMITH 240607 3600 000000-010000   00     235.83  988.2    195.89    -0.07    -9999
Fort-SMITH 240607 3600 010000-020000   00     234.75  988.3    195.21    -0.42    -9999
Fort-SMITH 240607 3600 020000-030000   00     234.62  988.2    194.97    -0.54    -9999
Fort-SMITH 240607 3600 030000-040000   00     234.75  988.3    195.13    -0.46    -9999
Fort-SMITH 240607 3600 040000-050000   00     235.09  988.2    195.34    -0.35    -9999
Fort-SMITH 240607 3600 050000-060000   00     236.12  987.9    195.74    -0.15    -9999
Fort-SMITH 240607 3600 060000-070000   00     237.04  987.3    195.66    -0.19    -9999
Fort-SMITH 240607 3600 070000-080000   00     237.68  986.8    195.42    -0.31    -9999
Fort-SMITH 240607 3600 080000-090000   00     238.92  986.3    195.64    -0.20    -9999
Fort-SMITH 240607 3600 090000-100000   00     238.73  986.1    195.24    -0.40    -9999
Fort-SMITH 240607 3600 100000-110000   00     240.38  985.5    195.75    -0.14    -9999
Fort-SMITH 240607 3600 110000-120000   00     241.34  985.0    195.84    -0.10    -9999
Fort-SMITH 240607 3600 120000-130000   00     242.14  984.7    196.00    -0.02    -9999
Fort-SMITH 240607 3600 130000-140000   00     242.68  984.5    196.09     0.03    -9999
Fort-SMITH 240607 3600 140000-150000   00     243.39  984.3    196.47     0.22    -9999
Fort-SMITH 240607 3600 150000-160000   00     241.65  984.6    195.45    -0.30    -9999
Fort-SMITH 240607 3600 160000-170000   00     241.94  985.0    196.23     0.10    -9999
Fort-SMITH 240607 3600 170000-180000   00     240.62  985.2    195.58    -0.23    -9999
Fort-SMITH 240607 3600 180000-190000   00     240.48  985.8    196.27     0.13    -9999
Fort-SMITH 240607 3600 190000-200000   00     239.15  986.2    195.83    -0.10    -9999
Fort-SMITH 240607 3600 200000-210000   00     238.05  987.0    196.07     0.02    -9999
Fort-SMITH 240607 3600 210000-220000   00     236.48  987.8    195.90    -0.07    -9999
Fort-SMITH 240607 3600 220000-230000   00     236.12  988.5    196.62     0.30    -9999
Fort-SMITH 240607 3600 230000-240000   00     234.34  989.2    196.21     0.09    -9999
Fort-SMITH 240608 300  000000-000500   00     232.69  989.3    195.01    -0.52    -0.53
Fort-SMITH 240608 300  000500-001000   00     230.40  989.5    193.29    -1.40    -1.41
Fort-SMITH 240608 300  001000-001500   00     233.02  989.6    195.65    -0.19    -0.21
Fort-SMITH 240608 300  001500-002000   00     233.85  989.7    196.62     0.30     0.29
Fort-SMITH 240608 300  002000-002500   00     233.40  989.9    196.40     0.19     0.18
Fort-SMITH 240608 300  002500-003000   00     233.48  989.9    196.55     0.27     0.26
Fort-SMITH 240608 300  003000-003500   00     232.82  990.0    196.07     0.02     0.01
Fort-SMITH 240608 300  003500-004000   00     232.43  990.0    195.78    -0.13    -0.13
Fort-SMITH 240608 300  004000-004500   00     231.10  990.1    194.79    -0.63    -0.64
Fort-SMITH 240608 300  004500-005000   00     232.19  990.2    195.85    -0.09    -0.10
Fort-SMITH 240608 300  005000-005500   00     234.22  990.3    197.73     0.87     0.86
Fort-SMITH 240608 300  005500-010000   00     232.84  990.4    196.75     0.37     0.37
Fort-SMITH 240608 300  010000-010500   00     233.54  990.6    197.60     0.80     0.80
Fort-SMITH 240608 300  010500-011000   00     232.96  990.7    197.23     0.62     0.62
Fort-SMITH 240608 300  011000-011500   00     233.59  990.8    197.98     1.00     1.00
Fort-SMITH 240608 300  011500-012000   00     233.87  990.9    198.35     1.19     1.19
Fort-SMITH 240608 300  012000-012500   00     230.26  991.1    195.55    -0.25    -0.24
Fort-SMITH 240608 300  012500-013000   00     231.38  991.1    196.57     0.28     0.28
Fort-SMITH 240608 300  013000-013500   00     230.51  991.0    195.67    -0.18    -0.17
Fort-SMITH 240608 300  013500-014000   00     228.18  991.1    193.77    -1.15    -1.14
Fort-SMITH 240608 300  014000-014500   00     229.96  991.1    195.28    -0.38    -0.37
Fort-SMITH 240608 300  014500-015000   00     230.17  991.2    195.57    -0.23    -0.22
Fort-SMITH 240608 300  015000-015500   00     229.91  991.2    195.49    -0.28    -0.26
Fort-SMITH 240608 300  015500-020000   00     229.35  991.3    195.14    -0.45    -0.43
Fort-SMITH 240608 300  020000-020500   00     231.83  991.4    197.34     0.67     0.69
Fort-SMITH 240608 300  020500-021000   00     229.29  991.4    195.21    -0.42    -0.39
Fort-SMITH 240608 300  021000-021500   00     231.74  991.5    197.32     0.66     0.69
Fort-SMITH 240608 300  021500-022000   00     228.87  991.4    194.83    -0.61    -0.58
Fort-SMITH 240608 300  022000-022500   00     230.56  991.4    196.26     0.12     0.15
Fort-SMITH 240608 300  022500-023000   00     227.19  991.5    193.47    -1.30    -1.27
Fort-SMITH 240608 300  023000-023500   00     230.31  991.5    196.17     0.07     0.11
Fort-SMITH 240608 300  023500-024000   00     226.87  991.6    193.32    -1.38    -1.34
Fort-SMITH 240608 300  024000-024500   00     230.73  991.6    196.67     0.33     0.37
Fort-SMITH 240608 300  024500-025000   00     229.40  991.6    195.58    -0.23    -0.19
