INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    174.81      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     240607 3600 000000-010000   00     180.57 1008.5    173.74    -0.61    -9999
INUVIK     240607 3600 010000-020000   00     181.77 1007.8    173.98    -0.48    -9999
INUVIK     240607 3600 020000-030000   00     181.40 1008.2    174.20    -0.35    -9999
INUVIK     240607 3600 030000-040000   00     180.94 1008.5    174.06    -0.43    -9999
INUVIK     240607 3600 040000-050000   00     180.06 1008.9    173.82    -0.57    -9999
INUVIK     240607 3600 050000-060000   00     179.56 1009.8    174.44    -0.21    -9999
INUVIK     240607 3600 060000-070000   00     177.38 1010.7    173.50    -0.75    -9999
INUVIK     240607 3600 070000-080000   00     176.54 1011.3    173.54    -0.73    -9999
INUVIK     240607 3600 080000-090000   00     175.98 1012.0    173.82    -0.56    -9999
INUVIK     240607 3600 090000-100000   00     175.46 1012.7    174.19    -0.36    -9999
INUVIK     240607 3600 100000-110000   00     175.35 1013.1    174.71    -0.06    -9999
INUVIK     240607 3600 110000-120000   00     175.37 1013.9    175.66     0.49    -9999
INUVIK     240607 3600 120000-130000   00     174.36 1014.6    175.56     0.43    -9999
INUVIK     240607 3600 130000-140000   00     172.97 1014.8    174.50    -0.18    -9999
INUVIK     240607 3600 140000-150000   00     172.64 1015.1    174.56    -0.14    -9999
INUVIK     240607 3600 150000-160000   00     172.84 1015.5    175.21     0.23    -9999
INUVIK     240607 3600 160000-170000   00     171.27 1016.1    174.45    -0.21    -9999
INUVIK     240607 3600 170000-180000   00     170.95 1016.8    174.99     0.10    -9999
INUVIK     240607 3600 180000-190000   00     170.75 1017.1    175.28     0.26    -9999
INUVIK     240607 3600 190000-200000   00     170.07 1017.5    175.04     0.13    -9999
INUVIK     240607 3600 200000-210000   00     169.90 1017.8    175.27     0.26    -9999
INUVIK     240607 3600 210000-220000   00     169.48 1018.1    175.26     0.26    -9999
INUVIK     240607 3600 220000-230000   00     168.85 1018.4    175.02     0.12    -9999
INUVIK     240607 3600 230000-240000   00     168.75 1018.7    175.18     0.21    -9999
INUVIK     240608 300  000000-000500   00     164.88 1020.3    173.33    -0.85    -0.85
INUVIK     240608 300  000500-001000   00     168.26 1018.9    174.92     0.06     0.06
INUVIK     240608 300  001000-001500   00     168.36 1018.9    175.04     0.13     0.13
INUVIK     240608 300  001500-002000   00     168.44 1018.8    175.11     0.17     0.17
INUVIK     240608 300  002000-002500   00     169.69 1018.8    176.39     0.90     0.90
INUVIK     240608 300  002500-003000   00     168.49 1019.0    175.31     0.28     0.28
INUVIK     240608 300  003000-003500   00     166.50 1019.3    173.64    -0.67    -0.67
INUVIK     240608 300  003500-004000   00     168.31 1019.4    175.72     0.52     0.52
INUVIK     240608 300  004000-004500   00     166.75 1019.7    174.40    -0.23    -0.23
INUVIK     240608 300  004500-005000   00     169.55 1019.6    177.31     1.43     1.43
INUVIK     240608 300  005000-005500   00     170.42 1019.6    178.21     1.94     1.94
INUVIK     240608 300  005500-010000   00     166.78 1019.7    174.50    -0.18    -0.18
INUVIK     240608 300  010000-010500   00     168.02 1019.9    176.01     0.68     0.68
INUVIK     240608 300  010500-011000   00     167.08 1019.9    175.10     0.17     0.17
INUVIK     240608 300  011000-011500   00     167.00 1020.0    175.07     0.15     0.15
INUVIK     240608 300  011500-012000   00     166.20 1020.1    174.42    -0.22    -0.22
INUVIK     240608 300  012000-012500   00     165.55 1020.2    173.90    -0.52    -0.52
INUVIK     240608 300  012500-013000   00     166.19 1020.3    174.67    -0.08    -0.08
INUVIK     240608 300  013000-013500   00     164.20 1020.3    172.62    -1.25    -1.25
INUVIK     240608 300  013500-014000   00     164.49 1020.4    173.01    -1.03    -1.03
INUVIK     240608 300  014000-014500   00     167.82 1020.4    176.51     0.97     0.97
INUVIK     240608 300  014500-015000   00     165.21 1020.4    173.74    -0.61    -0.61
INUVIK     240608 300  015000-015500   00     164.37 1020.3    172.76    -1.17    -1.17
INUVIK     240608 300  015500-020000   00     165.32 1020.3    173.77    -0.59    -0.59
INUVIK     240608 300  020000-020500   00     165.09 1020.3    173.50    -0.75    -0.75
INUVIK     240608 300  020500-021000   00     170.06 1020.3    178.68     2.21     2.21
INUVIK     240608 300  021000-021500   00     166.19 1020.3    174.69    -0.07    -0.07
INUVIK     240608 300  021500-022000   00     167.25 1020.3    175.79     0.56     0.56
INUVIK     240608 300  022000-022500   00     166.46 1020.3    174.98     0.10     0.10
INUVIK     240608 300  022500-023000   00     167.16 1020.4    175.73     0.53     0.53
INUVIK     240608 300  023000-023500   00     166.26 1020.4    174.82     0.01     0.01
INUVIK     240608 300  023500-024000   00     167.44 1020.3    175.97     0.66     0.66
INUVIK     240608 300  024000-024500   00     165.76 1020.2    174.12    -0.39    -0.39
INUVIK     240608 300  024500-025000   00     166.92 1020.2    175.29     0.27     0.27
INUVIK     240608 300  025000-025500   00     167.48 1020.2    175.83     0.58     0.58
INUVIK     240608 300  025500-030000   00     166.58 1020.1    174.82     0.01     0.01
INUVIK     240608 300  030000-030500   00     166.26 1020.1    174.46    -0.20    -0.20
INUVIK     240608 300  030500-031000   00     166.84 1020.1    175.09     0.16     0.16
INUVIK     240608 300  031000-031500   00     167.02 1020.1    175.26     0.25     0.25
INUVIK     240608 300  031500-032000   00     169.10 1020.1    177.44     1.50     1.50
INUVIK     240608 300  032000-032500   00     168.65 1020.1    176.94     1.22     1.22
INUVIK     240608 300  032500-033000   00     167.68 1020.1    175.90     0.62     0.62
INUVIK     240608 300  033000-033500   00     166.36 1020.0    174.49    -0.19    -0.19
INUVIK     240608 300  033500-034000   00     168.11 1020.0    176.30     0.85     0.85
INUVIK     240608 300  034000-034500   00     169.49 1020.0    177.78     1.70     1.70
INUVIK     240608 300  034500-035000   00     167.79 1020.1    176.08     0.73     0.73
INUVIK     240608 300  035000-035500   00     167.30 1020.2    175.62     0.46     0.46
INUVIK     240608 300  035500-040000   00     166.38 1020.1    174.64    -0.10    -0.10
INUVIK     240608 300  040000-040500   00     167.44 1020.1    175.73     0.52     0.52
