PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.75     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    197.90      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  240607 3600 000000-010000   00     236.75  989.1    197.48    -0.21    -9999
PEAWANUCK  240607 3600 010000-020000   00     237.39  989.3    198.28     0.19    -9999
PEAWANUCK  240607 3600 020000-030000   00     236.27  989.5    197.72    -0.09    -9999
PEAWANUCK  240607 3600 030000-040000   00     236.47  989.4    197.75    -0.08    -9999
PEAWANUCK  240607 3600 040000-050000   00     235.89  989.7    197.67    -0.12    -9999
PEAWANUCK  240607 3600 050000-060000   00     236.66  989.6    198.15     0.13    -9999
PEAWANUCK  240607 3600 060000-070000   00     236.33  989.7    197.97     0.03    -9999
PEAWANUCK  240607 3600 070000-080000   00     234.87  989.6    196.67    -0.62    -9999
PEAWANUCK  240607 3600 080000-090000   00     235.92  989.7    197.56    -0.17    -9999
PEAWANUCK  240607 3600 090000-100000   00     236.55  989.7    198.17     0.13    -9999
PEAWANUCK  240607 3600 100000-110000   00     235.86  989.9    197.91     0.00    -9999
PEAWANUCK  240607 3600 110000-120000   00     237.53  990.1    199.55     0.83    -9999
PEAWANUCK  240607 3600 120000-130000   00     236.14  990.2    198.63     0.37    -9999
PEAWANUCK  240607 3600 130000-140000   00     234.66  990.6    197.92     0.01    -9999
PEAWANUCK  240607 3600 140000-150000   00     234.88  990.8    198.47     0.29    -9999
PEAWANUCK  240607 3600 150000-160000   00     235.02  990.6    198.20     0.15    -9999
PEAWANUCK  240607 3600 160000-170000   00     235.82  990.4    198.57     0.34    -9999
PEAWANUCK  240607 3600 170000-180000   00     236.28  990.2    198.77     0.44    -9999
PEAWANUCK  240607 3600 180000-190000   00     234.85  990.2    197.55    -0.18    -9999
PEAWANUCK  240607 3600 190000-200000   00     235.20  990.6    198.42     0.26    -9999
PEAWANUCK  240607 3600 200000-210000   00     234.19  991.0    198.13     0.12    -9999
PEAWANUCK  240607 3600 210000-220000   00     233.60  991.5    198.43     0.27    -9999
PEAWANUCK  240607 3600 220000-230000   00     233.41  991.9    198.94     0.52    -9999
PEAWANUCK  240607 3600 230000-240000   00     232.34  992.4    198.65     0.38    -9999
PEAWANUCK  240608 300  000000-000500   00     228.67  992.5    195.75    -1.09    -0.98
PEAWANUCK  240608 300  000500-001000   00     230.72  992.6    197.63    -0.13    -0.04
PEAWANUCK  240608 300  001000-001500   00     228.91  992.7    196.19    -0.86    -0.78
PEAWANUCK  240608 300  001500-002000   00     232.12  992.7    198.95     0.53     0.61
PEAWANUCK  240608 300  002000-002500   00     234.13  992.8    200.83     1.48     1.55
PEAWANUCK  240608 300  002500-003000   00     230.43  992.8    197.69    -0.11    -0.05
PEAWANUCK  240608 300  003000-003500   00     228.06  992.8    195.65    -1.14    -1.08
PEAWANUCK  240608 300  003500-004000   00     231.47  992.9    198.77     0.44     0.48
PEAWANUCK  240608 300  004000-004500   00     231.42  993.2    199.06     0.59     0.62
PEAWANUCK  240608 300  004500-005000   00     232.52  993.0    199.78     0.95     0.98
PEAWANUCK  240608 300  005000-005500   00     230.62  992.9    198.06     0.08     0.10
PEAWANUCK  240608 300  005500-010000   00     227.53  993.1    195.59    -1.17    -1.16
PEAWANUCK  240608 300  010000-010500   00     229.91  993.2    197.83    -0.04    -0.03
PEAWANUCK  240608 300  010500-011000   00     228.39  993.2    196.50    -0.71    -0.71
PEAWANUCK  240608 300  011000-011500   00     228.82  993.4    197.15    -0.38    -0.39
PEAWANUCK  240608 300  011500-012000   00     229.22  993.3    197.42    -0.24    -0.26
PEAWANUCK  240608 300  012000-012500   00     227.85  993.7    196.86    -0.53    -0.55
PEAWANUCK  240608 300  012500-013000   00     232.99  993.7    201.21     1.67     1.64
PEAWANUCK  240608 300  013000-013500   00     229.58  993.8    198.44     0.27     0.23
PEAWANUCK  240608 300  013500-014000   00     227.66  993.4    196.19    -0.86    -0.91
PEAWANUCK  240608 300  014000-014500   00     231.79  993.4    199.67     0.89     0.84
PEAWANUCK  240608 300  014500-015000   00     229.22  993.5    197.65    -0.12    -0.19
PEAWANUCK  240608 300  015000-015500   00     227.38  993.7    196.45    -0.73    -0.80
PEAWANUCK  240608 300  015500-020000   00     231.78  993.8    200.29     1.21     1.13
PEAWANUCK  240608 300  020000-020500   00     229.35  993.8    198.21     0.16     0.08
PEAWANUCK  240608 300  020500-021000   00     232.57  993.8    200.95     1.54     1.46
PEAWANUCK  240608 300  021000-021500   00     229.63  993.8    198.54     0.32     0.23
PEAWANUCK  240608 300  021500-022000   00     226.69  993.8    195.92    -1.00    -1.10
PEAWANUCK  240608 300  022000-022500   00     230.95  993.7    199.52     0.82     0.72
PEAWANUCK  240608 300  022500-023000   00     230.67  993.6    199.14     0.63     0.52
PEAWANUCK  240608 300  023000-023500   00     233.10  993.7    201.29     1.71     1.60
PEAWANUCK  240608 300  023500-024000   00     229.12  993.8    197.99     0.05    -0.07
PEAWANUCK  240608 300  024000-024500   00     231.79  993.9    200.50     1.31     1.19
PEAWANUCK  240608 300  024500-025000   00     235.16  993.8    203.24     2.70     2.57
PEAWANUCK  240608 300  025000-025500   00     231.07  993.8    199.71     0.91     0.78
PEAWANUCK  240608 300  025500-030000   00     231.31  993.9    200.14     1.13     0.99
PEAWANUCK  240608 300  030000-030500   00     230.84  994.0    199.84     0.98     0.84
PEAWANUCK  240608 300  030500-031000   00     231.25  994.2    200.43     1.28     1.13
PEAWANUCK  240608 300  031000-031500   00     229.99  994.4    199.61     0.86     0.71
PEAWANUCK  240608 300  031500-032000   00     232.02  994.5    201.60     1.87     1.72
PEAWANUCK  240608 300  032000-032500   00     231.62  994.7    201.58     1.86     1.70
PEAWANUCK  240608 300  032500-033000   00     227.28  995.0    198.21     0.16    -0.01
PEAWANUCK  240608 300  033000-033500   00     226.48  996.1    199.14     0.62     0.46
PEAWANUCK  240608 300  033500-034000   00     226.98  995.6    198.91     0.51     0.34
PEAWANUCK  240608 300  034000-034500   00     227.47  995.5    199.17     0.64     0.47
PEAWANUCK  240608 300  034500-035000   00     229.68  995.4    200.86     1.49     1.32
PEAWANUCK  240608 300  035000-035500   00     225.80  995.3    197.41    -0.25    -0.42
PEAWANUCK  240608 300  035500-040000   00     230.95  995.3    201.86     2.00     1.82
PEAWANUCK  240608 300  040000-040500   00     229.76  995.3    200.90     1.52     1.33
PEAWANUCK  240608 300  040500-041000   00     225.45  995.4    197.21    -0.35    -0.53
PEAWANUCK  240608 300  041000-041500   00     227.80  995.3    199.06     0.59     0.40
PEAWANUCK  240608 300  041500-042000   00     227.70  995.3    199.06     0.59     0.40
PEAWANUCK  240608 300  042000-042500   00     230.17  995.3    201.18     1.66     1.46
PEAWANUCK  240608 300  042500-043000   00     225.68  995.3    197.26    -0.32    -0.52
PEAWANUCK  240608 300  043000-043500   00     230.01  995.1    200.84     1.48     1.29
PEAWANUCK  240608 300  043500-044000   00     225.81  995.0    196.99    -0.46    -0.66
PEAWANUCK  240608 300  044000-044500   00     228.18  995.0    199.00     0.56     0.36
PEAWANUCK  240608 300  044500-045000   00     231.80  994.9    202.06     2.10     1.90
PEAWANUCK  240608 300  045000-045500   00     231.62  995.0    201.99     2.07     1.87
PEAWANUCK  240608 300  045500-050000   00     225.83  994.9    196.81    -0.55    -0.75
PEAWANUCK  240608 300  050000-050500   00     227.95  994.8    198.50     0.30     0.10
PEAWANUCK  240608 300  050500-051000   00     226.65  994.7    197.29    -0.31    -0.51
PEAWANUCK  240608 300  051000-051500   00     230.38  994.7    200.41     1.27     1.07
PEAWANUCK  240608 300  051500-052000   00     227.07  994.7    197.53    -0.19    -0.39
PEAWANUCK  240608 300  052000-052500   00     225.66  994.8    196.49    -0.71    -0.91
PEAWANUCK  240608 300  052500-053000   00     230.61  994.8    200.75     1.44     1.24
PEAWANUCK  240608 300  053000-053500   00     227.04  994.8    197.72    -0.09    -0.30
PEAWANUCK  240608 300  053500-054000   00     229.07  994.8    199.45     0.78     0.58
PEAWANUCK  240608 300  054000-054500   00     224.96  994.8    195.88    -1.02    -1.22
PEAWANUCK  240608 300  054500-055000   00     229.55  994.7    199.82     0.97     0.77
PEAWANUCK  240608 300  055000-055500   00     229.18  994.6    199.30     0.70     0.50
PEAWANUCK  240608 300  055500-060000   00     226.79  994.5    197.03    -0.44    -0.64
PEAWANUCK  240608 300  060000-060500   00     228.31  994.5    198.37     0.24     0.04
PEAWANUCK  240608 300  060500-061000   00     224.83  994.5    195.32    -1.30    -1.50
PEAWANUCK  240608 300  061000-061500   00     225.86  994.5    196.17    -0.87    -1.07
PEAWANUCK  240608 300  061500-062000   00     229.52  994.4    199.30     0.71     0.51
