SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    880     MB     COEFFICIENT   0.73      % / MB
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE     69.71      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SANAE      240607 3600 000000-010000   00    -999.00 -999.0     69.27    -0.63    -9999
SANAE      240607 3600 010000-020000   00    -999.00 -999.0     69.33    -0.55    -9999
SANAE      240607 3600 020000-030000   00    -999.00 -999.0     69.54    -0.25    -9999
SANAE      240607 3600 030000-040000   00    -999.00 -999.0     69.49    -0.32    -9999
SANAE      240607 3600 040000-050000   00    -999.00 -999.0     69.10    -0.88    -9999
SANAE      240607 3600 050000-060000   00    -999.00 -999.0     69.09    -0.89    -9999
SANAE      240607 3600 060000-070000   00    -999.00 -999.0     68.81    -1.29    -9999
SANAE      240607 3600 070000-080000   00    -999.00 -999.0     69.20    -0.74    -9999
SANAE      240607 3600 080000-090000   00    -999.00 -999.0     69.20    -0.74    -9999
SANAE      240607 3600 090000-100000   00    -999.00 -999.0     69.18    -0.76    -9999
SANAE      240607 3600 100000-110000   00    -999.00 -999.0     69.10    -0.88    -9999
SANAE      240607 3600 110000-120000   00    -999.00 -999.0     69.26    -0.65    -9999
SANAE      240607 3600 120000-130000   00    -999.00 -999.0     69.51    -0.29    -9999
SANAE      240607 3600 130000-140000   00    -999.00 -999.0     69.36    -0.50    -9999
SANAE      240607 3600 140000-150000   00    -999.00 -999.0     69.01    -1.01    -9999
SANAE      240607 3600 150000-160000   00    -999.00 -999.0     68.68    -1.49    -9999
SANAE      240607 3600 160000-170000   00    -999.00 -999.0     68.92    -1.13    -9999
SANAE      240607 3600 170000-180000   00    -999.00 -999.0     68.87    -1.21    -9999
SANAE      240607 3600 180000-190000   00    -999.00 -999.0     68.90    -1.17    -9999
SANAE      240607 3600 190000-200000   00    -999.00 -999.0     68.53    -1.69    -9999
SANAE      240607 3600 200000-210000   00    -999.00 -999.0     69.21    -0.72    -9999
SANAE      240607 3600 210000-220000   00    -999.00 -999.0     69.18    -0.77    -9999
SANAE      240607 3600 220000-230000   00    -999.00 -999.0     69.22    -0.71    -9999
SANAE      240607 3600 230000-240000   00    -999.00 -999.0     69.31    -0.58    -9999
SANAE      240608 300  000000-000500   00    -999.00 -999.0     69.39    -0.47    -0.29
SANAE      240608 300  000500-001000   00    -999.00 -999.0     69.77     0.08     0.25
SANAE      240608 300  001000-001500   00    -999.00 -999.0     69.86     0.21     0.37
SANAE      240608 300  001500-002000   00    -999.00 -999.0     68.70    -1.46    -1.32
SANAE      240608 300  002000-002500   00    -999.00 -999.0     69.32    -0.57    -0.44
SANAE      240608 300  002500-003000   00    -999.00 -999.0     70.01     0.43     0.54
SANAE      240608 300  003000-003500   00    -999.00 -999.0     69.32    -0.56    -0.47
SANAE      240608 300  003500-004000   00    -999.00 -999.0     69.90     0.26     0.34
SANAE      240608 300  004000-004500   00    -999.00 -999.0     70.10     0.55     0.62
SANAE      240608 300  004500-005000   00    -999.00 -999.0     70.81     1.57     1.62
SANAE      240608 300  005000-005500   00    -999.00 -999.0     68.70    -1.45    -1.41
SANAE      240608 300  005500-010000   00    -999.00 -999.0     68.82    -1.28    -1.25
SANAE      240608 300  010000-010500   00    -999.00 -999.0     70.08     0.53     0.54
SANAE      240608 300  010500-011000   00    -999.00 -999.0     69.80     0.12     0.12
SANAE      240608 300  011000-011500   00    -999.00 -999.0     68.90    -1.17    -1.18
SANAE      240608 300  011500-012000   00    -999.00 -999.0     69.76     0.07     0.05
SANAE      240608 300  012000-012500   00    -999.00 -999.0     69.07    -0.92    -0.95
SANAE      240608 300  012500-013000   00    -999.00 -999.0     69.79     0.11     0.06
SANAE      240608 300  013000-013500   00    -999.00 -999.0     71.06     1.94     1.87
SANAE      240608 300  013500-014000   00    -999.00 -999.0     69.52    -0.27    -0.35
SANAE      240608 300  014000-014500   00    -999.00 -999.0     69.94     0.32     0.23
SANAE      240608 300  014500-015000   00    -999.00 -999.0     71.11     2.01     1.91
SANAE      240608 300  015000-015500   00    -999.00 -999.0     69.94     0.32     0.21
SANAE      240608 300  015500-020000   00    -999.00 -999.0     69.47    -0.35    -0.48
SANAE      240608 300  020000-020500   00    -999.00 -999.0     68.45    -1.81    -1.95
SANAE      240608 300  020500-021000   00    -999.00 -999.0     70.39     0.98     0.83
SANAE      240608 300  021000-021500   00    -999.00 -999.0     69.84     0.18     0.02
SANAE      240608 300  021500-022000   00    -999.00 -999.0     70.23     0.74     0.57
SANAE      240608 300  022000-022500   00    -999.00 -999.0     69.69    -0.03    -0.21
SANAE      240608 300  022500-023000   00    -999.00 -999.0     70.02     0.43     0.24
SANAE      240608 300  023000-023500   00    -999.00 -999.0     70.17     0.65     0.45
SANAE      240608 300  023500-024000   00    -999.00 -999.0     69.89     0.26     0.05
SANAE      240608 300  024000-024500   00    -999.00 -999.0     70.94     1.76     1.54
SANAE      240608 300  024500-025000   00    -999.00 -999.0     69.24    -0.67    -0.90
SANAE      240608 300  025000-025500   00    -999.00 -999.0     70.75     1.49     1.25
SANAE      240608 300  025500-030000   00    -999.00 -999.0     68.52    -1.72    -1.97
SANAE      240608 300  030000-030500   00    -999.00 -999.0     71.55     2.64     2.38
SANAE      240608 300  030500-031000   00    -999.00 -999.0     70.73     1.46     1.19
SANAE      240608 300  031000-031500   00    -999.00 -999.0     69.89     0.25    -0.03
SANAE      240608 300  031500-032000   00    -999.00 -999.0     70.37     0.94     0.65
SANAE      240608 300  032000-032500   00    -999.00 -999.0     71.33     2.32     2.02
SANAE      240608 300  032500-033000   00    -999.00 -999.0     70.74     1.47     1.17
SANAE      240608 300  033000-033500   00    -999.00 -999.0     70.92     1.73     1.41
SANAE      240608 300  033500-034000   00    -999.00 -999.0     69.90     0.27    -0.05
SANAE      240608 300  034000-034500   00    -999.00 -999.0     70.43     1.03     0.70
SANAE      240608 300  034500-035000   00    -999.00 -999.0     70.51     1.14     0.80
SANAE      240608 300  035000-035500   00    -999.00 -999.0     69.65    -0.09    -0.44
SANAE      240608 300  035500-040000   00    -999.00 -999.0     71.36     2.36     2.01
SANAE      240608 300  040000-040500   00    -999.00 -999.0     70.46     1.07     0.71
SANAE      240608 300  040500-041000   00    -999.00 -999.0     70.19     0.68     0.31
SANAE      240608 300  041000-041500   00    -999.00 -999.0     70.12     0.58     0.20
SANAE      240608 300  041500-042000   00    -999.00 -999.0     70.00     0.40     0.02
SANAE      240608 300  042000-042500   00    -999.00 -999.0     69.94     0.33    -0.07
SANAE      240608 300  042500-043000   00    -999.00 -999.0     70.09     0.54     0.14
SANAE      240608 300  043000-043500   00    -999.00 -999.0     68.76    -1.36    -1.77
SANAE      240608 300  043500-044000   00    -999.00 -999.0     69.42    -0.42    -0.83
SANAE      240608 300  044000-044500   00    -999.00 -999.0     70.84     1.62     1.20
SANAE      240608 300  044500-045000   00    -999.00 -999.0     70.07     0.50     0.08
SANAE      240608 300  045000-045500   00    -999.00 -999.0     68.23    -2.13    -2.57
SANAE      240608 300  045500-050000   00    -999.00 -999.0     70.03     0.45     0.01
SANAE      240608 300  050000-050500   00    -999.00 -999.0     70.04     0.47     0.02
SANAE      240608 300  050500-051000   00    -999.00 -999.0     69.34    -0.53    -0.99
SANAE      240608 300  051000-051500   00    -999.00 -999.0     69.78     0.09    -0.36
SANAE      240608 300  051500-052000   00    -999.00 -999.0     68.89    -1.18    -1.65
SANAE      240608 300  052000-052500   00    -999.00 -999.0     70.47     1.08     0.61
SANAE      240608 300  052500-053000   00    -999.00 -999.0     71.43     2.46     1.98
SANAE      240608 300  053000-053500   00    -999.00 -999.0     70.36     0.92     0.44
SANAE      240608 300  053500-054000   00    -999.00 -999.0     69.87     0.22    -0.27
SANAE      240608 300  054000-054500   00    -999.00 -999.0     70.10     0.55     0.06
SANAE      240608 300  054500-055000   00    -999.00 -999.0     70.46     1.07     0.57
SANAE      240608 300  055000-055500   00    -999.00 -999.0     69.78     0.10    -0.40
SANAE      240608 300  055500-060000   00    -999.00 -999.0     70.63     1.31     0.80
SANAE      240608 300  060000-060500   00    -999.00 -999.0     69.35    -0.52    -1.03
SANAE      240608 300  060500-061000   00    -999.00 -999.0     70.86     1.65     1.13
SANAE      240608 300  061000-061500   00    -999.00 -999.0     70.10     0.55     0.04
SANAE      240608 300  061500-062000   00    -999.00 -999.0     69.19    -0.75    -1.27
SANAE      240608 300  062000-062500   00    -999.00 -999.0     70.34     0.90     0.37
SANAE      240608 300  062500-063000   00    -999.00 -999.0     71.17     2.09     1.56
SANAE      240608 300  063000-063500   00    -999.00 -999.0     69.46    -0.37    -0.90
SANAE      240608 300  063500-064000   00    -999.00 -999.0     68.69    -1.48    -2.01
SANAE      240608 300  064000-064500   00    -999.00 -999.0     68.93    -1.12    -1.66
SANAE      240608 300  064500-065000   00    -999.00 -999.0     69.38    -0.48    -1.02
SANAE      240608 300  065000-065500   00    -999.00 -999.0     70.36     0.93     0.38
SANAE      240608 300  065500-070000   00    -999.00 -999.0     70.00     0.41    -0.14
SANAE      240608 300  070000-070500   00    -999.00 -999.0     70.81     1.57     1.02
SANAE      240608 300  070500-071000   00    -999.00 -999.0     70.39     0.97     0.42
SANAE      240608 300  071000-071500   00    -999.00 -999.0     69.75     0.05    -0.51
SANAE      240608 300  071500-072000   00    -999.00 -999.0     69.92     0.30    -0.26
SANAE      240608 300  072000-072500   00    -999.00 -999.0     70.45     1.06     0.50
SANAE      240608 300  072500-073000   00    -999.00 -999.0     70.13     0.60     0.04
SANAE      240608 300  073000-073500   00    -999.00 -999.0     70.86     1.64     1.08
SANAE      240608 300  073500-074000   00    -999.00 -999.0     69.99     0.39    -0.17
SANAE      240608 300  074000-074500   00    -999.00 -999.0     69.71    -0.01    -0.57
SANAE      240608 300  074500-075000   00    -999.00 -999.0     71.69     2.83     2.27
SANAE      240608 300  075000-075500   00    -999.00 -999.0     70.40     0.98     0.41
SANAE      240608 300  075500-080000   00    -999.00 -999.0     69.64    -0.10    -0.67
SANAE      240608 300  080000-080500   00    -999.00 -999.0     70.23     0.73     0.17
SANAE      240608 300  080500-081000   00    -999.00 -999.0     70.46     1.07     0.50
SANAE      240608 300  081000-081500   00    -999.00 -999.0     68.96    -1.08    -1.65
SANAE      240608 300  081500-082000   00    -999.00 -999.0     70.82     1.59     1.02
SANAE      240608 300  082000-082500   00    -999.00 -999.0     70.03     0.45    -0.12
SANAE      240608 300  082500-083000   00    -999.00 -999.0     71.40     2.42     1.85
SANAE      240608 300  083000-083500   00    -999.00 -999.0     70.84     1.62     1.05
SANAE      240608 300  083500-084000   00    -999.00 -999.0     70.19     0.69     0.12
SANAE      240608 300  084000-084500   00    -999.00 -999.0     69.30    -0.60    -1.16
SANAE      240608 300  084500-085000   00    -999.00 -999.0     68.74    -1.40    -1.97
SANAE      240608 300  085000-085500   00    -999.00 -999.0     71.00     1.84     1.28
SANAE      240608 300  085500-090000   00    -999.00 -999.0     69.41    -0.43    -0.99
SANAE      240608 300  090000-090500   00    -999.00 -999.0     70.95     1.77     1.21
SANAE      240608 300  090500-091000   00    -999.00 -999.0     70.83     1.60     1.03
SANAE      240608 300  091000-091500   00    -999.00 -999.0     69.30    -0.59    -1.15
SANAE      240608 300  091500-092000   00    -999.00 -999.0     69.90     0.27    -0.29
SANAE      240608 300  092000-092500   00    -999.00 -999.0     69.96     0.36    -0.20
SANAE      240608 300  092500-093000   00    -999.00 -999.0     71.67     2.81     2.25
SANAE      240608 300  093000-093500   00    -999.00 -999.0     69.52    -0.28    -0.83
SANAE      240608 300  093500-094000   00    -999.00 -999.0     70.11     0.57     0.01
SANAE      240608 300  094000-094500   00    -999.00 -999.0     68.60    -1.59    -2.14
SANAE      240608 300  094500-095000   00    -999.00 -999.0     69.93     0.31    -0.24
SANAE      240608 300  095000-095500   00    -999.00 -999.0     69.45    -0.38    -0.93
SANAE      240608 300  095500-100000   00    -999.00 -999.0     70.68     1.38     0.84
SANAE      240608 300  100000-100500   00    -999.00 -999.0     69.85     0.19    -0.34
SANAE      240608 300  100500-101000   00    -999.00 -999.0     70.02     0.44    -0.09
SANAE      240608 300  101000-101500   00    -999.00 -999.0     70.96     1.78     1.25
SANAE      240608 300  101500-102000   00    -999.00 -999.0     69.14    -0.83    -1.36
SANAE      240608 300  102000-102500   00    -999.00 -999.0     70.81     1.57     1.04
SANAE      240608 300  102500-103000   00    -999.00 -999.0     70.64     1.33     0.81
SANAE      240608 300  103000-103500   00    -999.00 -999.0     71.49     2.55     2.03
SANAE      240608 300  103500-104000   00    -999.00 -999.0     70.45     1.06     0.55
SANAE      240608 300  104000-104500   00    -999.00 -999.0     70.47     1.09     0.58
SANAE      240608 300  104500-105000   00    -999.00 -999.0     69.69    -0.04    -0.54
SANAE      240608 300  105000-105500   00    -999.00 -999.0     69.79     0.12    -0.39
SANAE      240608 300  105500-110000   00    -999.00 -999.0     70.64     1.33     0.83
SANAE      240608 300  110000-110500   00    -999.00 -999.0     70.23     0.75     0.25
SANAE      240608 300  110500-111000   00    -999.00 -999.0     70.63     1.31     0.83
SANAE      240608 300  111000-111500   00    -999.00 -999.0     69.87     0.23    -0.25
SANAE      240608 300  111500-112000   00    -999.00 -999.0     69.00    -1.02    -1.50
SANAE      240608 300  112000-112500   00    -999.00 -999.0     70.41     1.01    -9999
SANAE      240608 300  112500-113000   00    -999.00 -999.0     70.65     1.35    -9999
SANAE      240608 300  113000-113500   00    -999.00 -999.0     70.50     1.12    -9999
