SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    680     MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    124.67      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 240607 3600 000000-010000   00     137.23  666.0    123.77    -0.73    -9999
SOPO-6NM64 240607 3600 010000-020000   00     137.59  665.5    123.61    -0.85    -9999
SOPO-6NM64 240607 3600 020000-030000   00     137.77  665.1    123.44    -0.99    -9999
SOPO-6NM64 240607 3600 030000-040000   00     137.83  664.8    123.17    -1.20    -9999
SOPO-6NM64 240607 3600 040000-050000   00     138.18  664.6    123.36    -1.06    -9999
SOPO-6NM64 240607 3600 050000-060000   00     138.41  664.5    123.41    -1.01    -9999
SOPO-6NM64 240607 3600 060000-070000   00     138.98  664.3    123.77    -0.72    -9999
SOPO-6NM64 240607 3600 070000-080000   00     139.46  664.1    124.05    -0.50    -9999
SOPO-6NM64 240607 3600 080000-090000   00     139.75  664.0    124.15    -0.42    -9999
SOPO-6NM64 240607 3600 090000-100000   00     139.69  663.9    124.00    -0.54    -9999
SOPO-6NM64 240607 3600 100000-110000   00     139.56  663.9    123.97    -0.57    -9999
SOPO-6NM64 240607 3600 110000-120000   00     140.10  664.2    124.66    -0.01    -9999
SOPO-6NM64 240607 3600 120000-130000   00     139.51  664.3    124.23    -0.36    -9999
SOPO-6NM64 240607 3600 130000-140000   00     139.45  664.5    124.37    -0.24    -9999
SOPO-6NM64 240607 3600 140000-150000   00     138.77  664.8    124.04    -0.51    -9999
SOPO-6NM64 240607 3600 150000-160000   00     138.60  665.0    124.11    -0.45    -9999
SOPO-6NM64 240607 3600 160000-170000   00     138.54  665.1    124.10    -0.46    -9999
SOPO-6NM64 240607 3600 170000-180000   00     138.37  665.6    124.39    -0.23    -9999
SOPO-6NM64 240607 3600 180000-190000   00     138.03  666.0    124.48    -0.16    -9999
SOPO-6NM64 240607 3600 190000-200000   00     137.03  666.5    124.06    -0.49    -9999
SOPO-6NM64 240607 3600 200000-210000   00     136.90  667.0    124.40    -0.22    -9999
SOPO-6NM64 240607 3600 210000-220000   00     136.93  667.0    124.44    -0.19    -9999
SOPO-6NM64 240607 3600 220000-230000   00     136.03  667.9    124.38    -0.23    -9999
SOPO-6NM64 240607 3600 230000-240000   00     135.56  668.4    124.50    -0.14    -9999
SOPO-6NM64 240608 300  000000-000500   00     135.09  668.3    123.96    -0.57    -0.37
SOPO-6NM64 240608 300  000500-001000   00     136.34  668.3    125.07     0.32     0.51
SOPO-6NM64 240608 300  001000-001500   00     135.86  668.2    124.58    -0.07     0.11
SOPO-6NM64 240608 300  001500-002000   00     136.16  668.2    124.83     0.13     0.29
SOPO-6NM64 240608 300  002000-002500   00     135.95  668.3    124.68     0.00     0.15
SOPO-6NM64 240608 300  002500-003000   00     135.49  668.3    124.26    -0.33    -0.20
SOPO-6NM64 240608 300  003000-003500   00     135.97  668.3    124.71     0.03     0.15
SOPO-6NM64 240608 300  003500-004000   00     135.02  668.3    123.88    -0.63    -0.53
SOPO-6NM64 240608 300  004000-004500   00     135.72  668.4    124.59    -0.07     0.02
SOPO-6NM64 240608 300  004500-005000   00     135.57  668.6    124.61    -0.05     0.03
SOPO-6NM64 240608 300  005000-005500   00     136.06  668.6    125.14     0.37     0.44
SOPO-6NM64 240608 300  005500-010000   00     135.59  668.7    124.77     0.08     0.13
