TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    986.42  MB     COEFFICIENT   -0.74     % / MB
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    107.55      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TERREADELI 240607 3600 000000-010000   00     104.19  989.1    106.15    -1.30    -9999
TERREADELI 240607 3600 010000-020000   00     104.07  989.3    106.19    -1.27    -9999
TERREADELI 240607 3600 020000-030000   00     104.31  989.4    106.51    -0.97    -9999
TERREADELI 240607 3600 030000-040000   00     104.18  989.5    106.48    -0.99    -9999
TERREADELI 240607 3600 040000-050000   00     104.31  989.3    106.45    -1.02    -9999
TERREADELI 240607 3600 050000-060000   00     104.18  989.1    106.14    -1.31    -9999
TERREADELI 240607 3600 060000-070000   00     104.79  988.8    106.53    -0.95    -9999
TERREADELI 240607 3600 070000-080000   00     105.08  988.3    106.41    -1.06    -9999
TERREADELI 240607 3600 080000-090000   00     104.74  988.2    105.97    -1.46    -9999
TERREADELI 240607 3600 090000-100000   00     105.60  987.9    106.65    -0.84    -9999
TERREADELI 240607 3600 100000-110000   00     105.96  987.2    106.45    -1.02    -9999
TERREADELI 240607 3600 110000-120000   00     105.86  986.7    105.97    -1.47    -9999
TERREADELI 240607 3600 120000-130000   00     106.46  986.5    106.40    -1.06    -9999
TERREADELI 240607 3600 130000-140000   00     107.02  985.6    106.21    -1.24    -9999
TERREADELI 240607 3600 140000-150000   00     107.46  984.6    105.92    -1.52    -9999
TERREADELI 240607 3600 150000-160000   00     108.99  983.5    106.53    -0.94    -9999
TERREADELI 240607 3600 160000-170000   00     110.41  982.3    106.94    -0.56    -9999
TERREADELI 240607 3600 170000-180000   00     111.29  981.0    106.81    -0.69    -9999
TERREADELI 240607 3600 180000-190000   00     111.95  980.2    106.78    -0.72    -9999
TERREADELI 240607 3600 190000-200000   00     112.25  979.6    106.54    -0.93    -9999
TERREADELI 240607 3600 200000-210000   00     113.74  978.3    106.93    -0.57    -9999
TERREADELI 240607 3600 210000-220000   00     114.60  977.2    106.85    -0.65    -9999
TERREADELI 240607 3600 220000-230000   00     115.39  976.4    106.97    -0.53    -9999
TERREADELI 240607 3600 230000-240000   00     116.15  975.4    106.91    -0.59    -9999
TERREADELI 240608 300  000000-000500   00     117.93  974.9    108.14     0.55     0.54
TERREADELI 240608 300  000500-001000   00     117.87  974.6    107.84     0.27     0.27
TERREADELI 240608 300  001000-001500   00     116.60  974.6    106.64    -0.84    -0.85
TERREADELI 240608 300  001500-002000   00     115.40  974.5    105.52    -1.89    -1.89
TERREADELI 240608 300  002000-002500   00     120.07  974.3    109.61     1.92     1.91
TERREADELI 240608 300  002500-003000   00     117.67  974.3    107.44    -0.10    -0.11
TERREADELI 240608 300  003000-003500   00     117.93  974.4    107.75     0.19     0.18
TERREADELI 240608 300  003500-004000   00     117.87  974.5    107.73     0.17     0.16
TERREADELI 240608 300  004000-004500   00     117.53  974.6    107.49    -0.05    -0.07
TERREADELI 240608 300  004500-005000   00     117.53  974.4    107.34    -0.19    -0.21
TERREADELI 240608 300  005000-005500   00     119.07  974.3    108.68     1.05     1.03
TERREADELI 240608 300  005500-010000   00     116.87  974.3    106.65    -0.83    -0.85
TERREADELI 240608 300  010000-010500   00     117.60  974.2    107.26    -0.27    -0.29
TERREADELI 240608 300  010500-011000   00     118.67  974.1    108.19     0.59     0.57
TERREADELI 240608 300  011000-011500   00     117.47  974.1    107.07    -0.44    -0.46
TERREADELI 240608 300  011500-012000   00     119.00  974.0    108.36     0.76     0.73
TERREADELI 240608 300  012000-012500   00     118.13  973.9    107.55     0.00    -0.02
TERREADELI 240608 300  012500-013000   00     117.20  973.9    106.66    -0.83    -0.85
TERREADELI 240608 300  013000-013500   00     117.33  973.9    106.76    -0.73    -0.75
TERREADELI 240608 300  013500-014000   00     117.33  973.9    106.76    -0.73    -0.76
TERREADELI 240608 300  014000-014500   00     118.27  973.7    107.50    -0.04    -0.06
TERREADELI 240608 300  014500-015000   00     118.80  973.8    108.01     0.43     0.41
TERREADELI 240608 300  015000-015500   00     118.80  973.7    107.94     0.37     0.35
TERREADELI 240608 300  015500-020000   00     119.00  973.8    108.23     0.64     0.62
TERREADELI 240608 300  020000-020500   00     118.13  973.8    107.42    -0.12    -0.14
TERREADELI 240608 300  020500-021000   00     119.67  973.7    108.73     1.10     1.08
TERREADELI 240608 300  021000-021500   00     119.13  973.5    108.14     0.55     0.53
TERREADELI 240608 300  021500-022000   00     118.80  973.7    107.94     0.37     0.35
TERREADELI 240608 300  022000-022500   00     117.87  973.6    107.05    -0.46    -0.47
TERREADELI 240608 300  022500-023000   00     119.20  973.5    108.16     0.57     0.55
TERREADELI 240608 300  023000-023500   00     117.87  973.4    106.91    -0.60    -0.61
TERREADELI 240608 300  023500-024000   00     120.00  973.4    108.78     1.14     1.13
TERREADELI 240608 300  024000-024500   00     119.00  973.4    107.89     0.32     0.31
TERREADELI 240608 300  024500-025000   00     117.87  973.3    106.78    -0.72    -0.72
TERREADELI 240608 300  025000-025500   00     117.60  973.3    106.54    -0.94    -0.95
TERREADELI 240608 300  025500-030000   00     120.13  973.1    108.72     1.09     1.09
TERREADELI 240608 300  030000-030500   00     118.60  973.1    107.27    -0.25    -0.26
TERREADELI 240608 300  030500-031000   00     118.27  973.1    106.97    -0.54    -0.54
TERREADELI 240608 300  031000-031500   00     119.67  972.8    108.05     0.46     0.47
TERREADELI 240608 300  031500-032000   00     119.73  972.7    107.98     0.40     0.40
TERREADELI 240608 300  032000-032500   00     118.67  972.6    106.93    -0.57    -0.57
TERREADELI 240608 300  032500-033000   00     121.27  972.5    109.23     1.56     1.58
TERREADELI 240608 300  033000-033500   00     118.60  972.4    106.74    -0.75    -0.73
TERREADELI 240608 300  033500-034000   00     119.53  972.4    107.60     0.05     0.07
TERREADELI 240608 300  034000-034500   00     120.67  972.3    108.56     0.94     0.96
TERREADELI 240608 300  034500-035000   00     120.53  972.3    108.42     0.81     0.84
TERREADELI 240608 300  035000-035500   00     118.93  972.2    106.92    -0.59    -0.56
