THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1005    MB     COEFFICIENT   -0.742    % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    112.22      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      240607 3600 000000-010000   00     110.05 1007.5    112.23     0.01    -9999
THULE      240607 3600 010000-020000   00     110.18 1007.0    111.92    -0.27    -9999
THULE      240607 3600 020000-030000   00     110.33 1006.4    111.55    -0.60    -9999
THULE      240607 3600 030000-040000   00     111.17 1005.9    112.02    -0.18    -9999
THULE      240607 3600 040000-050000   00     111.60 1005.4    111.99    -0.21    -9999
THULE      240607 3600 050000-060000   00     111.58 1004.9    111.61    -0.55    -9999
THULE      240607 3600 060000-070000   00     112.33 1004.8    112.24     0.02    -9999
THULE      240607 3600 070000-080000   00     111.88 1005.1    112.03    -0.17    -9999
THULE      240607 3600 080000-090000   00     111.68 1005.2    111.92    -0.27    -9999
THULE      240607 3600 090000-100000   00     111.26 1005.4    111.67    -0.49    -9999
THULE      240607 3600 100000-110000   00     111.32 1005.6    111.92    -0.27    -9999
THULE      240607 3600 110000-120000   00     111.92 1005.9    112.76     0.48    -9999
THULE      240607 3600 120000-130000   00     111.54 1006.3    112.67     0.40    -9999
THULE      240607 3600 130000-140000   00     110.76 1006.5    112.11    -0.10    -9999
THULE      240607 3600 140000-150000   00     110.74 1006.8    112.35     0.11    -9999
THULE      240607 3600 150000-160000   00     109.93 1007.3    111.92    -0.27    -9999
THULE      240607 3600 160000-170000   00     109.72 1007.6    111.97    -0.23    -9999
THULE      240607 3600 170000-180000   00     109.72 1008.0    112.31     0.08    -9999
THULE      240607 3600 180000-190000   00     109.16 1008.5    112.15    -0.07    -9999
THULE      240607 3600 190000-200000   00     108.38 1009.2    111.93    -0.26    -9999
THULE      240607 3600 200000-210000   00     108.33 1009.7    112.27     0.05    -9999
THULE      240607 3600 210000-220000   00     107.62 1010.1    111.89    -0.30    -9999
THULE      240607 3600 220000-230000   00     107.55 1010.4    112.06    -0.14    -9999
THULE      240607 3600 230000-240000   00     107.40 1010.8    112.19    -0.03    -9999
THULE      240608 300  000000-000500   00     107.60 1010.9    112.53     0.27     0.29
THULE      240608 300  000500-001000   00     108.09 1010.9    113.05     0.74     0.75
THULE      240608 300  001000-001500   00     107.43 1011.0    112.38     0.14     0.15
THULE      240608 300  001500-002000   00     107.13 1010.9    112.05    -0.16    -0.15
THULE      240608 300  002000-002500   00     107.45 1011.0    112.41     0.17     0.18
THULE      240608 300  002500-003000   00     108.36 1011.0    113.37     1.02     1.03
THULE      240608 300  003000-003500   00     107.78 1011.0    112.75     0.47     0.48
THULE      240608 300  003500-004000   00     107.03 1011.0    111.98    -0.21    -0.21
THULE      240608 300  004000-004500   00     106.92 1011.0    111.91    -0.28    -0.28
THULE      240608 300  004500-005000   00     106.88 1011.1    111.89    -0.29    -0.29
THULE      240608 300  005000-005500   00     105.84 1011.1    110.84    -1.23    -1.23
THULE      240608 300  005500-010000   00     106.74 1011.1    111.79    -0.38    -0.39
THULE      240608 300  010000-010500   00     107.67 1011.1    112.76     0.48     0.47
THULE      240608 300  010500-011000   00     107.12 1011.1    112.15    -0.07    -0.07
THULE      240608 300  011000-011500   00     106.95 1011.0    111.93    -0.26    -0.26
THULE      240608 300  011500-012000   00     108.66 1011.1    113.75     1.36     1.35
THULE      240608 300  012000-012500   00     106.42 1011.1    111.43    -0.71    -0.72
THULE      240608 300  012500-013000   00     108.32 1011.1    113.44     1.09     1.08
THULE      240608 300  013000-013500   00     106.71 1011.2    111.80    -0.38    -0.39
THULE      240608 300  013500-014000   00     106.21 1011.2    111.29    -0.84    -0.84
THULE      240608 300  014000-014500   00     107.27 1011.2    112.42     0.17     0.16
THULE      240608 300  014500-015000   00     105.38 1011.2    110.44    -1.59    -1.59
THULE      240608 300  015000-015500   00     106.90 1011.2    112.03    -0.17    -0.18
THULE      240608 300  015500-020000   00     107.78 1011.2    112.96     0.66     0.65
THULE      240608 300  020000-020500   00     107.01 1011.2    112.11    -0.10    -0.11
THULE      240608 300  020500-021000   00     108.18 1011.1    113.30     0.96     0.95
THULE      240608 300  021000-021500   00     107.41 1011.1    112.51     0.26     0.25
THULE      240608 300  021500-022000   00     108.15 1011.2    113.31     0.97     0.96
THULE      240608 300  022000-022500   00     107.14 1011.2    112.24     0.01     0.00
THULE      240608 300  022500-023000   00     107.88 1011.2    113.05     0.74     0.73
THULE      240608 300  023000-023500   00     108.49 1011.2    113.73     1.35     1.34
THULE      240608 300  023500-024000   00     107.59 1011.2    112.79     0.50     0.50
THULE      240608 300  024000-024500   00     108.04 1011.2    113.25     0.91     0.91
THULE      240608 300  024500-025000   00     107.62 1011.3    112.82     0.53     0.53
THULE      240608 300  025000-025500   00     107.16 1011.2    112.34     0.10     0.10
THULE      240608 300  025500-030000   00     107.68 1011.2    112.89     0.59     0.59
THULE      240608 300  030000-030500   00     106.41 1011.3    111.61    -0.55    -0.55
THULE      240608 300  030500-031000   00     106.50 1011.3    111.71    -0.45    -0.45
THULE      240608 300  031000-031500   00     107.29 1011.3    112.53     0.27     0.27
THULE      240608 300  031500-032000   00     107.69 1011.3    112.94     0.64     0.64
THULE      240608 300  032000-032500   00     107.38 1011.3    112.60     0.34     0.34
THULE      240608 300  032500-033000   00     108.37 1011.3    113.61     1.24     1.24
THULE      240608 300  033000-033500   00     108.30 1011.3    113.53     1.17     1.17
THULE      240608 300  033500-034000   00     107.69 1011.2    112.87     0.58     0.59
