ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,217.52      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 241120 3600 000000-010000   00    1178.82  676.6   1227.89     0.85    -9999
ALMA-ATA-B 241120 3600 010000-020000   00    1182.73  676.7   1233.17     1.29    -9999
ALMA-ATA-B 241120 3600 020000-030000   00    1180.52  677.0   1233.53     1.31    -9999
ALMA-ATA-B 241120 3600 030000-040000   00    1183.96  677.1   1238.09     1.69    -9999
ALMA-ATA-B 241120 3600 040000-050000   00    1190.78  676.8   1242.60     2.06    -9999
ALMA-ATA-B 241120 3600 050000-060000   00    1194.77  676.6   1244.21     2.19    -9999
ALMA-ATA-B 241120 3600 060000-070000   00    1194.37  676.3   1241.46     1.97    -9999
ALMA-ATA-B 241120 3600 070000-080000   00    1196.97  676.4   1245.14     2.27    -9999
ALMA-ATA-B 241120 3600 080000-090000   00    1193.97  676.6   1243.87     2.16    -9999
ALMA-ATA-B 241120 3600 090000-100000   00    1197.57  676.9   1250.13     2.68    -9999
ALMA-ATA-B 241120 3600 100000-110000   00    1189.78  677.4   1246.18     2.35    -9999
ALMA-ATA-B 241120 3600 110000-120000   00    1183.81  677.3   1239.74     1.83    -9999
ALMA-ATA-B 241120 3600 120000-130000   00    1181.78  677.2   1236.43     1.55    -9999
ALMA-ATA-B 241120 3600 130000-140000   00    1182.40  677.4   1238.95     1.76    -9999
ALMA-ATA-B 241120 3600 140000-150000   00    1174.81  677.6   1232.24     1.21    -9999
ALMA-ATA-B 241120 3600 150000-160000   00    1176.87  677.8   1236.43     1.55    -9999
ALMA-ATA-B 241120 3600 160000-170000   00    1170.91  678.0   1232.25     1.21    -9999
ALMA-ATA-B 241120 3600 170000-180000   00    1170.59  678.4   1235.25     1.46    -9999
ALMA-ATA-B 241120 3600 180000-190000   00    1173.38  678.5   1238.97     1.76    -9999
ALMA-ATA-B 241120 3600 190000-200000   00    1173.05  678.5   1238.23     1.70    -9999
ALMA-ATA-B 241120 3600 200000-210000   00    1168.97  678.5   1233.83     1.34    -9999
ALMA-ATA-B 241120 3600 210000-220000   00    1170.97  678.4   1235.82     1.50    -9999
ALMA-ATA-B 241120 3600 220000-230000   00    1169.35  678.4   1233.54     1.32    -9999
ALMA-ATA-B 241120 3600 230000-240000   00    1173.37  678.3   1237.60     1.65    -9999
ALMA-ATA-B 241121 3600 000000-010000   00    1174.02  678.2   1237.26     1.62    -9999
ALMA-ATA-B 241121 3600 010000-020000   00    1171.50  678.5   1237.38     1.63    -9999
ALMA-ATA-B 241121 3600 020000-030000   00    1168.16  678.8   1236.23     1.54    -9999
ALMA-ATA-B 241121 3600 030000-040000   00    1168.18  679.1   1239.13     1.78    -9999
ALMA-ATA-B 241121 3600 040000-050000   00    1166.33  679.3   1238.33     1.71    -9999
ALMA-ATA-B 241121 3600 050000-060000   00    1169.00  679.3   1241.11     1.94    -9999
ALMA-ATA-B 241121 3600 060000-070000   00    1169.77  679.2   1240.88     1.92    -9999
ALMA-ATA-B 241121 3600 070000-080000   00    1173.07  679.1   1244.12     2.18    -9999
ALMA-ATA-B 241121 3600 080000-090000   00    1170.63  679.1   1241.71     1.99    -9999
ALMA-ATA-B 241121 3600 090000-100000   00    1166.29  679.3   1238.33     1.71    -9999
ALMA-ATA-B 241121 3600 100000-110000   00    1160.66  679.6   1235.50     1.48    -9999
ALMA-ATA-B 241121 3600 110000-120000   00    1156.04  679.7   1231.35     1.14    -9999
ALMA-ATA-B 241121 3600 120000-130000   00    1149.51  679.7   1223.72     0.51    -9999
ALMA-ATA-B 241121 3600 130000-140000   00    1146.31  679.6   1219.69     0.18    -9999
ALMA-ATA-B 241121 3600 140000-150000   00    1146.75  679.5   1219.92     0.20    -9999
ALMA-ATA-B 241121 3600 150000-160000   00    1146.59  679.5   1219.00     0.12    -9999
ALMA-ATA-B 241121 300  160000-160500   00    1149.22  679.5   1222.06     0.37     0.36
ALMA-ATA-B 241121 300  160500-161000   00    1146.74  679.5   1219.22     0.14     0.09
ALMA-ATA-B 241121 300  161000-161500   00    1147.50  679.5   1220.48     0.24     0.21
ALMA-ATA-B 241121 300  161500-162000   00    1141.94  679.6   1214.92    -0.21    -0.24
ALMA-ATA-B 241121 300  162000-162500   00    1144.18  679.6   1217.48     0.00    -0.03
ALMA-ATA-B 241121 300  162500-163000   00    1142.94  679.6   1216.30    -0.10    -0.12
ALMA-ATA-B 241121 300  163000-163500   00    1136.80  679.6   1210.02    -0.62    -0.63
ALMA-ATA-B 241121 300  163500-164000   00    1138.98  679.6   1212.42    -0.42    -0.42
ALMA-ATA-B 241121 300  164000-164500   00    1137.44  679.6   1210.64    -0.57    -0.56
ALMA-ATA-B 241121 300  164500-165000   00    1143.32  679.7   1217.22    -0.02    -0.02
ALMA-ATA-B 241121 300  165000-165500   00    1142.74  679.7   1216.70    -0.07    -0.05
ALMA-ATA-B 241121 300  165500-170000   00    1145.90  679.7   1220.16     0.22     0.24
ALMA-ATA-B 241121 300  170000-170500   00    1146.80  679.7   1221.30     0.31     0.33
ALMA-ATA-B 241121 300  170500-171000   00    1147.54  679.7   1222.08     0.37     0.40
ALMA-ATA-B 241121 300  171000-171500   00    1138.82  679.7   1212.76    -0.39    -0.36
ALMA-ATA-B 241121 300  171500-172000   00    1146.98  679.7   1221.20     0.30     0.34
ALMA-ATA-B 241121 300  172000-172500   00    1148.12  679.7   1222.22     0.39     0.43
ALMA-ATA-B 241121 300  172500-173000   00    1149.84  679.7   1224.10     0.54     0.59
ALMA-ATA-B 241121 300  173000-173500   00    1134.34  679.7   1207.64    -0.81    -0.76
ALMA-ATA-B 241121 300  173500-174000   00    1147.44  679.7   1221.54     0.33     0.38
