ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     MB     COEFFICIENT   -0.7      % / MB
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     50.95      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ATHENS     241120 3600 000000-010000   00      51.85  978.8     51.02     0.12    -9999
ATHENS     241120 3600 010000-020000   00      52.05  978.5     51.23     0.54    -9999
ATHENS     241120 3600 020000-030000   00      52.00  978.0     51.12     0.33    -9999
ATHENS     241120 3600 030000-040000   00      52.44  977.5     51.44     0.95    -9999
ATHENS     241120 3600 040000-050000   00      52.61  977.2     51.29     0.65    -9999
ATHENS     241120 3600 050000-060000   00      52.72  976.9     50.87    -0.17    -9999
ATHENS     241120 3600 060000-070000   00      52.80  977.1     51.75     1.56    -9999
ATHENS     241120 3600 070000-080000   00      52.90  977.2     51.77     1.60    -9999
ATHENS     241120 3600 080000-090000   00      52.69  977.2     50.51    -0.86    -9999
ATHENS     241120 3600 090000-100000   00      53.36  976.3     51.41     0.90    -9999
ATHENS     241120 3600 100000-110000   00      53.61  975.3     51.55     1.17    -9999
ATHENS     241120 3600 110000-120000   00      53.77  974.8     51.50     1.08    -9999
ATHENS     241120 3600 120000-130000   00      54.08  974.2     51.78     1.62    -9999
ATHENS     241120 3600 130000-140000   00      54.33  973.7     51.60     1.27    -9999
ATHENS     241120 3600 140000-150000   00      53.91  973.5     51.33     0.74    -9999
ATHENS     241120 3600 150000-160000   00      54.01  973.3     51.18     0.44    -9999
ATHENS     241120 3600 160000-170000   00      54.00  973.1     51.21     0.50    -9999
ATHENS     241120 3600 170000-180000   00      53.97  972.9     50.85    -0.20    -9999
ATHENS     241120 3600 180000-190000   00      54.40  972.6     51.45     0.98    -9999
ATHENS     241120 3600 190000-200000   00      54.26  972.3     51.26     0.60    -9999
ATHENS     241120 3600 200000-210000   00      54.51  971.8     51.16     0.41    -9999
ATHENS     241120 3600 210000-220000   00      54.18  971.0     50.43    -1.03    -9999
ATHENS     241120 3600 220000-230000   00      54.78  970.1     50.92    -0.06    -9999
ATHENS     241120 3600 230000-240000   00      55.25  969.6     51.26     0.60    -9999
ATHENS     241121 3600 000000-010000   00      55.49  968.7     51.37     0.82    -9999
ATHENS     241121 3600 010000-020000   00      55.65  968.5     51.14     0.36    -9999
ATHENS     241121 3600 020000-030000   00      55.92  967.8     50.97     0.03    -9999
ATHENS     241121 3600 030000-040000   00      56.73  967.6     51.50     1.07    -9999
ATHENS     241121 3600 040000-050000   00      56.24  968.0     51.98     2.02    -9999
ATHENS     241121 3600 050000-060000   00      55.66  968.6     50.80    -0.30    -9999
ATHENS     241121 3600 060000-070000   00      55.76  969.1     51.46     0.99    -9999
ATHENS     241121 3600 070000-080000   00      55.31  969.7     51.54     1.15    -9999
ATHENS     241121 3600 080000-090000   00      55.75  970.1     51.84     1.73    -9999
ATHENS     241121 3600 090000-100000   00      55.69  970.5     51.87     1.79    -9999
ATHENS     241121 3600 100000-110000   00      55.50  970.3     51.29     0.65    -9999
ATHENS     241121 3600 110000-120000   00      55.64  970.4     52.03     2.11    -9999
ATHENS     241121 3600 120000-130000   00      55.57  970.6     51.69     1.44    -9999
ATHENS     241121 3600 130000-140000   00      54.67  971.4     51.47     1.01    -9999
ATHENS     241121 3600 140000-150000   00      54.26  972.0     50.98     0.05    -9999
ATHENS     241121 3600 150000-160000   00      54.32  972.8     51.29     0.66    -9999
ATHENS     241121 300  160000-160500   00      52.15  973.9     49.66    -2.55    -2.69
ATHENS     241121 300  160500-161000   00      53.42  973.7     49.92    -2.02    -2.15
ATHENS     241121 300  161000-161500   00      53.26  973.7     50.38    -1.14    -1.26
ATHENS     241121 300  161500-162000   00      54.16  974.0     51.39     0.85     0.73
ATHENS     241121 300  162000-162500   00      52.38  974.2     49.03    -3.78    -3.90
ATHENS     241121 300  162500-163000   00      52.13  974.3     50.44    -1.01    -1.13
ATHENS     241121 300  163000-163500   00      53.36  974.4     51.11     0.31     0.21
ATHENS     241121 300  163500-164000   00      52.95  974.5     50.31    -1.27    -1.37
ATHENS     241121 300  164000-164500   00      53.72  974.4     51.67     1.41     1.31
ATHENS     241121 300  164500-165000   00      53.59  974.4     52.12     2.30     2.20
ATHENS     241121 300  165000-165500   00      53.78  974.6     50.74    -0.42    -0.51
ATHENS     241121 300  165500-170000   00      53.57  974.9     51.92     1.90     1.82
ATHENS     241121 300  170000-170500   00      52.44  975.1     51.55     1.16     1.09
ATHENS     241121 300  170500-171000   00      51.98  975.3     49.57    -2.71    -2.78
ATHENS     241121 300  171000-171500   00      52.10  975.3     49.67    -2.52    -2.59
ATHENS     241121 300  171500-172000   00      53.00  975.2     49.72    -2.43    -2.49
ATHENS     241121 300  172000-172500   00      53.73  975.2     53.11     4.23     4.17
ATHENS     241121 300  172500-173000   00      52.84  975.3     51.86     1.78     1.73
ATHENS     241121 300  173000-173500   00      53.72  975.4     53.24     4.49     4.45
ATHENS     241121 300  173500-174000   00      52.10  975.8     51.53     1.13     1.09
ATHENS     241121 300  174000-174500   00      52.78  975.9     50.00    -1.87    -1.91
ATHENS     241121 300  174500-175000   00      51.43  975.9     49.47    -2.92    -2.95
ATHENS     241121 300  175000-175500   00      54.77  975.8     53.23     4.46     4.43
ATHENS     241121 300  175500-180000   00      52.41  975.9     51.27     0.62     0.59
ATHENS     241121 300  180000-180500   00      51.87  975.9     49.42    -3.00    -3.02
ATHENS     241121 300  180500-181000   00      53.42  976.0     51.95     1.95     1.94
ATHENS     241121 300  181000-181500   00      53.04  976.0     51.60     1.26     1.25
ATHENS     241121 300  181500-182000   00      52.80  975.9     52.31     2.66     2.65
ATHENS     241121 300  182000-182500   00      52.95  975.9     51.51     1.09     1.09
ATHENS     241121 300  182500-183000   00      52.34  976.0     50.84    -0.23    -0.23
ATHENS     241121 300  183000-183500   00      51.76  976.0     49.87    -2.13    -2.11
ATHENS     241121 300  183500-184000   00      53.77  976.0     52.00     2.06     2.07
ATHENS     241121 300  184000-184500   00      53.10  976.0     51.86     1.77     1.79
ATHENS     241121 300  184500-185000   00      52.75  976.0     51.17     0.42     0.44
