CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.772    % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    260.21      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    241120 3600 000000-010000   00     275.38  891.8    264.01     1.46    -9999
CALGARY    241120 3600 010000-020000   00     274.41  892.3    264.10     1.50    -9999
CALGARY    241120 3600 020000-030000   00     274.03  892.6    264.37     1.60    -9999
CALGARY    241120 3600 030000-040000   00     273.11  892.8    264.01     1.46    -9999
CALGARY    241120 3600 040000-050000   00     273.52  892.9    264.43     1.62    -9999
CALGARY    241120 3600 050000-060000   00     270.96  893.7    263.71     1.35    -9999
CALGARY    241120 3600 060000-070000   00     269.12  893.9    262.36     0.83    -9999
CALGARY    241120 3600 070000-080000   00     268.85  893.8    261.72     0.58    -9999
CALGARY    241120 3600 080000-090000   00     269.27  893.6    261.80     0.61    -9999
CALGARY    241120 3600 090000-100000   00     269.39  893.7    262.15     0.74    -9999
CALGARY    241120 3600 100000-110000   00     269.87  893.5    262.19     0.76    -9999
CALGARY    241120 3600 110000-120000   00     271.45  893.0    262.69     0.95    -9999
CALGARY    241120 3600 120000-130000   00     271.65  893.1    263.11     1.11    -9999
CALGARY    241120 3600 130000-140000   00     271.23  892.8    262.17     0.75    -9999
CALGARY    241120 3600 140000-150000   00     272.22  892.5    262.39     0.84    -9999
CALGARY    241120 3600 150000-160000   00     272.94  892.5    263.22     1.16    -9999
CALGARY    241120 3600 160000-170000   00     274.99  892.2    264.58     1.68    -9999
CALGARY    241120 3600 170000-180000   00     275.36  892.4    265.18     1.91    -9999
CALGARY    241120 3600 180000-190000   00     275.86  892.2    265.32     1.96    -9999
CALGARY    241120 3600 190000-200000   00     276.18  892.0    265.25     1.94    -9999
CALGARY    241120 3600 200000-210000   00     276.43  891.7    264.83     1.78    -9999
CALGARY    241120 3600 210000-220000   00     277.24  891.0    264.27     1.56    -9999
CALGARY    241120 3600 220000-230000   00     277.71  890.8    264.18     1.53    -9999
CALGARY    241120 3600 230000-240000   00     278.03  890.8    264.52     1.66    -9999
CALGARY    241121 3600 000000-010000   00     277.67  890.2    263.06     1.09    -9999
CALGARY    241121 3600 010000-020000   00     278.56  890.1    263.67     1.33    -9999
CALGARY    241121 3600 020000-030000   00     276.89  889.8    261.48     0.49    -9999
CALGARY    241121 3600 030000-040000   00     278.74  889.2    261.99     0.68    -9999
CALGARY    241121 3600 040000-050000   00     278.76  889.0    261.57     0.52    -9999
CALGARY    241121 3600 050000-060000   00     278.96  888.6    260.91     0.27    -9999
CALGARY    241121 3600 060000-070000   00     278.10  888.9    260.75     0.21    -9999
CALGARY    241121 3600 070000-080000   00     278.23  889.2    261.39     0.45    -9999
CALGARY    241121 3600 080000-090000   00     276.84  889.3    260.31     0.04    -9999
CALGARY    241121 3600 090000-100000   00     276.77  889.7    261.07     0.33    -9999
CALGARY    241121 3600 100000-110000   00     277.37  889.6    261.40     0.46    -9999
CALGARY    241121 3600 110000-120000   00     276.50  889.6    260.65     0.17    -9999
CALGARY    241121 3600 120000-130000   00     275.54  889.5    259.62    -0.22    -9999
CALGARY    241121 3600 130000-140000   00     274.18  889.6    258.55    -0.64    -9999
CALGARY    241121 3600 140000-150000   00     275.02  889.8    259.64    -0.22    -9999
CALGARY    241121 3600 150000-160000   00     274.02  890.0    259.16    -0.40    -9999
CALGARY    241121 300  160000-160500   00     274.48  890.3    260.17    -0.01     0.26
CALGARY    241121 300  160500-161000   00     271.79  890.5    257.99    -0.85    -0.60
CALGARY    241121 300  161000-161500   00     274.18  890.4    260.13    -0.03     0.20
CALGARY    241121 300  161500-162000   00     273.72  890.5    259.84    -0.14     0.07
