CALMA      LATITUDE    40.64     LONGITUDE     -3.16     ALTITUDE    708 M
CALMA      INSTRUMENT   15NM64    NEUTRON MONITOR
CALMA      STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.67     % / MB
CALMA      PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
CALMA      PRE-INCREASE AVERAGE COUNTING RATE     68.88      COUNTS PER SECOND
CALMA      TIME INTERVALS    300         3600     
CALMA      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALMA      241120 3600 000000-010000   00      68.11  938.6     68.83    -0.07    -9999
CALMA      241120 3600 010000-020000   00      68.51  938.3     69.05     0.25    -9999
CALMA      241120 3600 020000-030000   00      68.75  938.1     69.23     0.51    -9999
CALMA      241120 3600 030000-040000   00      68.69  937.8     69.03     0.23    -9999
CALMA      241120 3600 040000-050000   00      68.64  937.9     69.03     0.23    -9999
CALMA      241120 3600 050000-060000   00      68.54  938.1     69.00     0.18    -9999
CALMA      241120 3600 060000-070000   00      68.13  938.4     68.74    -0.20    -9999
CALMA      241120 3600 070000-080000   00      68.09  938.7     68.83    -0.06    -9999
CALMA      241120 3600 080000-090000   00      67.77  939.1     68.70    -0.25    -9999
CALMA      241120 3600 090000-100000   00      67.62  939.4     68.70    -0.25    -9999
CALMA      241120 3600 100000-110000   00      67.66  939.6     68.80    -0.11    -9999
CALMA      241120 3600 110000-120000   00      69.00  939.2     70.00     1.63    -9999
CALMA      241120 3600 120000-130000   00      68.93  938.6     69.66     1.13    -9999
CALMA      241120 3600 130000-140000   00      69.09  938.2     69.62     1.08    -9999
CALMA      241120 3600 140000-150000   00      68.81  937.9     69.18     0.44    -9999
CALMA      241120 3600 150000-160000   00      68.98  937.7     69.29     0.60    -9999
CALMA      241120 3600 160000-170000   00      68.94  937.9     69.30     0.62    -9999
CALMA      241120 3600 170000-180000   00      69.03  938.1     69.49     0.89    -9999
CALMA      241120 3600 180000-190000   00      68.52  938.4     69.15     0.40    -9999
CALMA      241120 3600 190000-200000   00      68.66  938.5     69.30     0.62    -9999
CALMA      241120 3600 200000-210000   00      68.22  938.5     68.86    -0.03    -9999
CALMA      241120 3600 210000-220000   00      68.38  938.5     69.03     0.22    -9999
CALMA      241120 3600 220000-230000   00      68.78  938.2     69.30     0.62    -9999
CALMA      241120 3600 230000-240000   00      68.64  938.0     69.07     0.28    -9999
CALMA      241121 3600 000000-010000   00      69.18  937.8     69.50     0.91    -9999
CALMA      241121 3600 010000-020000   00      69.33  937.3     69.43     0.81    -9999
CALMA      241121 3600 020000-030000   00      69.36  937.1     69.38     0.73    -9999
CALMA      241121 3600 030000-040000   00      69.33  936.7     69.16     0.41    -9999
CALMA      241121 3600 040000-050000   00      69.52  936.2     69.11     0.34    -9999
CALMA      241121 3600 050000-060000   00      69.62  935.8     69.04     0.24    -9999
CALMA      241121 3600 060000-070000   00      69.29  936.1     68.85    -0.03    -9999
CALMA      241121 3600 070000-080000   00      69.21  936.0     68.73    -0.21    -9999
CALMA      241121 3600 080000-090000   00      69.13  936.1     68.66    -0.31    -9999
CALMA      241121 3600 090000-100000   00      70.31  935.9     69.75     1.27    -9999
CALMA      241121 3600 100000-110000   00      70.09  935.4     69.31     0.63    -9999
CALMA      241121 3600 110000-120000   00      70.47  934.7     69.34     0.68    -9999
CALMA      241121 3600 120000-130000   00      70.69  934.0     69.23     0.51    -9999
CALMA      241121 3600 130000-140000   00      70.63  933.4     68.91     0.05    -9999
CALMA      241121 3600 140000-150000   00      70.92  932.6     68.83    -0.06    -9999
CALMA      241121 3600 150000-160000   00      70.99  932.4     68.79    -0.12    -9999
CALMA      241121 300  160000-160500   00      71.83  932.6     69.73     1.24     1.32
CALMA      241121 300  160500-161000   00      69.52  932.6     67.48    -2.03    -1.95
CALMA      241121 300  161000-161500   00      73.66  932.7     71.53     3.85     3.93
CALMA      241121 300  161500-162000   00      69.09  932.6     67.06    -2.64    -2.55
CALMA      241121 300  162000-162500   00      71.58  932.5     69.40     0.76     0.86
CALMA      241121 300  162500-163000   00      69.96  932.5     67.86    -1.48    -1.37
