JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978     MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    237.53      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  241120 3600 000000-010000   00     249.85  971.9    237.78     0.11    -9999
JANG-BOGO  241120 3600 010000-020000   00     250.90  971.8    238.65     0.47    -9999
JANG-BOGO  241120 3600 020000-030000   00     249.78  971.8    237.49    -0.02    -9999
JANG-BOGO  241120 3600 030000-040000   00     250.45  971.8    238.11     0.25    -9999
JANG-BOGO  241120 3600 040000-050000   00     252.50  971.6    239.76     0.94    -9999
JANG-BOGO  241120 3600 050000-060000   00     252.03  971.7    239.59     0.87    -9999
JANG-BOGO  241120 3600 060000-070000   00     251.00  972.3    239.63     0.89    -9999
JANG-BOGO  241120 3600 070000-080000   00     248.81  973.0    238.67     0.48    -9999
JANG-BOGO  241120 3600 080000-090000   00     247.40  973.5    238.24     0.30    -9999
JANG-BOGO  241120 3600 090000-100000   00     247.81  973.4    238.52     0.42    -9999
JANG-BOGO  241120 3600 100000-110000   00     249.27  973.0    239.20     0.70    -9999
JANG-BOGO  241120 3600 110000-120000   00     246.81  972.8    236.43    -0.46    -9999
JANG-BOGO  241120 3600 120000-130000   00     249.78  972.0    237.91     0.16    -9999
JANG-BOGO  241120 3600 130000-140000   00     250.96  971.4    237.87     0.14    -9999
JANG-BOGO  241120 3600 140000-150000   00     250.66  971.1    237.07    -0.19    -9999
JANG-BOGO  241120 3600 150000-160000   00     251.17  971.0    237.39    -0.06    -9999
JANG-BOGO  241120 3600 160000-170000   00     251.79  971.2    238.39     0.36    -9999
JANG-BOGO  241120 3600 170000-180000   00     250.89  971.2    237.63     0.04    -9999
JANG-BOGO  241120 3600 180000-190000   00     251.37  971.4    238.26     0.31    -9999
JANG-BOGO  241120 3600 190000-200000   00     250.51  971.5    237.78     0.10    -9999
JANG-BOGO  241120 3600 200000-210000   00     250.60  972.0    238.66     0.48    -9999
JANG-BOGO  241120 3600 210000-220000   00     249.14  972.5    238.18     0.27    -9999
JANG-BOGO  241120 3600 220000-230000   00     248.48  973.1    238.67     0.48    -9999
JANG-BOGO  241120 3600 230000-240000   00     248.14  973.5    238.87     0.56    -9999
JANG-BOGO  241121 3600 000000-010000   00     248.60  973.5    239.54     0.84    -9999
JANG-BOGO  241121 3600 010000-020000   00     249.60  973.5    240.32     1.17    -9999
JANG-BOGO  241121 3600 020000-030000   00     249.01  973.5    239.84     0.97    -9999
JANG-BOGO  241121 3600 030000-040000   00     249.65  973.3    240.08     1.07    -9999
JANG-BOGO  241121 3600 040000-050000   00     248.69  973.2    239.00     0.62    -9999
JANG-BOGO  241121 3600 050000-060000   00     248.34  973.1    238.47     0.39    -9999
JANG-BOGO  241121 3600 060000-070000   00     250.17  972.9    239.79     0.95    -9999
JANG-BOGO  241121 3600 070000-080000   00     248.78  972.6    238.12     0.25    -9999
JANG-BOGO  241121 3600 080000-090000   00     249.07  972.5    238.03     0.21    -9999
JANG-BOGO  241121 3600 090000-100000   00     251.14  972.3    239.79     0.95    -9999
JANG-BOGO  241121 3600 100000-110000   00     249.47  972.1    237.78     0.11    -9999
JANG-BOGO  241121 3600 110000-120000   00     249.92  972.0    237.98     0.19    -9999
JANG-BOGO  241121 3600 120000-130000   00     248.82  972.1    237.12    -0.17    -9999
JANG-BOGO  241121 3600 130000-140000   00     246.47  972.3    235.32    -0.93    -9999
JANG-BOGO  241121 3600 140000-150000   00     246.69  972.8    236.33    -0.50    -9999
JANG-BOGO  241121 3600 150000-160000   00     246.56  973.0    236.54    -0.42    -9999
JANG-BOGO  241121 300  160000-160500   00     247.05  972.9    236.90    -0.27    -0.27
JANG-BOGO  241121 300  160500-161000   00     251.27  972.9    240.93     1.43     1.43
JANG-BOGO  241121 300  161000-161500   00     248.40  972.9    238.20     0.28     0.28
JANG-BOGO  241121 300  161500-162000   00     246.10  972.9    235.93    -0.67    -0.67
JANG-BOGO  241121 300  162000-162500   00     244.40  972.9    234.20    -1.40    -1.40
JANG-BOGO  241121 300  162500-163000   00     249.10  972.7    238.55     0.43     0.43
JANG-BOGO  241121 300  163000-163500   00     246.45  972.7    236.05    -0.62    -0.62
JANG-BOGO  241121 300  163500-164000   00     248.40  972.7    237.80     0.11     0.11
JANG-BOGO  241121 300  164000-164500   00     246.45  972.7    235.90    -0.69    -0.69
JANG-BOGO  241121 300  164500-165000   00     247.50  972.7    236.97    -0.24    -0.24
JANG-BOGO  241121 300  165000-165500   00     251.45  972.7    240.65     1.31     1.31
JANG-BOGO  241121 300  165500-170000   00     248.17  972.7    237.50    -0.01    -0.01
JANG-BOGO  241121 300  170000-170500   00     242.50  972.7    232.10    -2.29    -2.29
JANG-BOGO  241121 300  170500-171000   00     244.70  972.7    234.20    -1.40    -1.40
JANG-BOGO  241121 300  171000-171500   00     248.10  972.6    237.43    -0.04    -0.04
JANG-BOGO  241121 300  171500-172000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  172000-172500   00     247.30  972.6    236.60    -0.39    -0.39
JANG-BOGO  241121 300  172500-173000   00     246.20  972.6    235.53    -0.84    -0.84
JANG-BOGO  241121 300  173000-173500   00     250.55  972.6    239.70     0.91     0.91
JANG-BOGO  241121 300  173500-174000   00     252.20  972.6    241.30     1.59     1.59
JANG-BOGO  241121 300  174000-174500   00     252.70  972.6    241.75     1.78     1.78
JANG-BOGO  241121 300  174500-175000   00     251.00  972.6    240.00     1.04     1.04
JANG-BOGO  241121 300  175000-175500   00     252.10  972.5    240.90     1.42     1.42
JANG-BOGO  241121 300  175500-180000   00     245.00  972.5    234.10    -1.44    -1.44
JANG-BOGO  241121 300  180000-180500   00     244.10  972.5    233.20    -1.82    -1.82
JANG-BOGO  241121 300  180500-181000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  181000-181500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  181500-182000   00     250.20  972.5    239.00     0.62     0.62
JANG-BOGO  241121 300  182000-182500   00     246.53  972.5    235.53    -0.84    -0.84
JANG-BOGO  241121 300  182500-183000   00     248.65  972.5    237.60     0.03     0.03
JANG-BOGO  241121 300  183000-183500   00     254.75  972.5    243.55     2.53     2.53
JANG-BOGO  241121 300  183500-184000   00     249.90  972.5    238.80     0.53     0.53
JANG-BOGO  241121 300  184000-184500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  184500-185000   00     255.50  972.3    244.00     2.72     2.72
JANG-BOGO  241121 300  185000-185500   00     253.65  972.3    242.15     1.94     1.94
JANG-BOGO  241121 300  185500-190000   00     250.35  972.3    239.10     0.66     0.66
JANG-BOGO  241121 300  190000-190500   00     246.40  972.5    235.40    -0.90    -0.90
JANG-BOGO  241121 300  190500-191000   00     251.67  972.3    240.30     1.17     1.17
JANG-BOGO  241121 300  191000-191500   00     253.20  972.3    241.80     1.80     1.80
