JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    143.59      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   241120 3600 000000-010000   00     171.28  638.7    143.65     0.05    -9999
JUNGFRAU   241120 3600 010000-020000   00     171.87  638.6    144.15     0.39    -9999
JUNGFRAU   241120 3600 020000-030000   00     171.77  638.7    144.19     0.42    -9999
JUNGFRAU   241120 3600 030000-040000   00     171.69  638.7    144.03     0.31    -9999
JUNGFRAU   241120 3600 040000-050000   00     172.57  638.1    144.13     0.38    -9999
JUNGFRAU   241120 3600 050000-060000   00     173.92  637.8    145.11     1.06    -9999
JUNGFRAU   241120 3600 060000-070000   00     247.48  637.9    144.36     0.54    -9999
JUNGFRAU   241120 3600 070000-080000   00     320.55  637.7    145.52     1.34    -9999
JUNGFRAU   241120 3600 080000-090000   00     175.78  637.7    146.46     2.00    -9999
JUNGFRAU   241120 3600 090000-100000   00     175.34  637.8    146.16     1.80    -9999
JUNGFRAU   241120 3600 100000-110000   00     175.02  637.9    145.98     1.67    -9999
JUNGFRAU   241120 3600 110000-120000   00     176.00  637.9    146.82     2.25    -9999
JUNGFRAU   241120 3600 120000-130000   00     175.76  637.7    146.50     2.03    -9999
JUNGFRAU   241120 3600 130000-140000   00     176.08  637.6    146.59     2.09    -9999
JUNGFRAU   241120 3600 140000-150000   00     175.19  637.4    145.60     1.40    -9999
JUNGFRAU   241120 3600 150000-160000   00    -999.00  637.5    146.02     1.70    -9999
JUNGFRAU   241120 3600 160000-170000   00    -999.00  637.7    146.12     1.77    -9999
JUNGFRAU   241120 3600 170000-180000   00    -999.00  637.8    145.22     1.14    -9999
JUNGFRAU   241120 3600 180000-190000   00    -999.00  637.7    145.30     1.19    -9999
JUNGFRAU   241120 3600 190000-200000   00     174.62  637.4    145.21     1.13    -9999
JUNGFRAU   241120 3600 200000-210000   00     173.60  637.5    144.44     0.59    -9999
JUNGFRAU   241120 3600 210000-220000   00     172.97  637.7    144.04     0.32    -9999
JUNGFRAU   241120 3600 220000-230000   00    -999.00  637.9    144.90     0.91    -9999
JUNGFRAU   241120 3600 230000-240000   00    -999.00  638.1    143.99     0.28    -9999
JUNGFRAU   241121 3600 000000-010000   00    -999.00  638.1    143.88     0.20    -9999
JUNGFRAU   241121 3600 010000-020000   00     172.57  638.2    144.33     0.52    -9999
JUNGFRAU   241121 3600 020000-030000   00     172.87  638.0    144.30     0.50    -9999
JUNGFRAU   241121 3600 030000-040000   00     173.09  638.2    144.71     0.78    -9999
JUNGFRAU   241121 3600 040000-050000   00     173.78  638.0    145.05     1.02    -9999
JUNGFRAU   241121 3600 050000-060000   00     174.21  637.8    145.28     1.18    -9999
JUNGFRAU   241121 3600 060000-070000   00     174.70  637.5    145.41     1.27    -9999
JUNGFRAU   241121 3600 070000-080000   00     191.66  638.1    146.17     1.80    -9999
JUNGFRAU   241121 3600 080000-090000   00     176.04  638.0    146.95     2.34    -9999
JUNGFRAU   241121 3600 090000-100000   00     176.46  637.7    147.03     2.40    -9999
JUNGFRAU   241121 3600 100000-110000   00     178.28  636.3    147.01     2.38    -9999
JUNGFRAU   241121 3600 110000-120000   00     179.61  634.4    146.04     1.71    -9999
JUNGFRAU   241121 3600 120000-130000   00     180.99  632.2    144.89     0.91    -9999
JUNGFRAU   241121 3600 130000-140000   00     181.36  631.3    144.29     0.49    -9999
JUNGFRAU   241121 3600 140000-150000   00     181.90  631.0    144.42     0.58    -9999
