NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    191.91      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       241120 3600 000000-010000   00     167.27 1030.2    191.43    -0.25    -9999
NAIN       241120 3600 010000-020000   00     167.13 1030.6    191.76    -0.08    -9999
NAIN       241120 3600 020000-030000   00     166.08 1031.1    191.31    -0.32    -9999
NAIN       241120 3600 030000-040000   00     165.08 1031.9    191.32    -0.31    -9999
NAIN       241120 3600 040000-050000   00     164.52 1032.4    191.37    -0.28    -9999
NAIN       241120 3600 050000-060000   00     162.72 1032.6    189.64    -1.19    -9999
NAIN       241120 3600 060000-070000   00     163.31 1033.0    190.88    -0.54    -9999
NAIN       241120 3600 070000-080000   00     163.10 1033.4    191.13    -0.41    -9999
NAIN       241120 3600 080000-090000   00     162.65 1033.8    191.19    -0.38    -9999
NAIN       241120 3600 090000-100000   00     162.90 1034.2    192.02     0.05    -9999
NAIN       241120 3600 100000-110000   00     162.44 1034.8    192.44     0.27    -9999
NAIN       241120 3600 110000-120000   00     161.70 1035.6    192.65     0.38    -9999
NAIN       241120 3600 120000-130000   00     160.91 1036.1    192.47     0.29    -9999
NAIN       241120 3600 130000-140000   00     161.68 1036.3    193.67     0.92    -9999
NAIN       241120 3600 140000-150000   00     162.23 1036.2    194.17     1.18    -9999
NAIN       241120 3600 150000-160000   00     161.10 1035.9    192.44     0.27    -9999
NAIN       241120 3600 160000-170000   00     162.15 1035.8    193.46     0.80    -9999
NAIN       241120 3600 170000-180000   00     162.10 1035.8    193.40     0.77    -9999
NAIN       241120 3600 180000-190000   00     161.19 1035.7    192.25     0.18    -9999
NAIN       241120 3600 190000-200000   00     161.58 1035.9    193.02     0.57    -9999
NAIN       241120 3600 200000-210000   00     161.09 1036.4    193.07     0.60    -9999
NAIN       241120 3600 210000-220000   00     160.26 1036.7    192.57     0.34    -9999
NAIN       241120 3600 220000-230000   00     159.57 1036.9    191.98     0.03    -9999
NAIN       241120 3600 230000-240000   00     159.26 1036.9    191.65    -0.14    -9999
NAIN       241121 3600 000000-010000   00     159.72 1036.8    192.00     0.05    -9999
NAIN       241121 3600 010000-020000   00     160.11 1036.4    191.92     0.00    -9999
NAIN       241121 3600 020000-030000   00     160.71 1035.9    191.96     0.02    -9999
NAIN       241121 3600 030000-040000   00     160.38 1035.6    191.09    -0.43    -9999
NAIN       241121 3600 040000-050000   00     161.49 1035.2    191.78    -0.07    -9999
NAIN       241121 3600 050000-060000   00     161.14 1034.9    191.03    -0.46    -9999
NAIN       241121 3600 060000-070000   00     162.05 1034.8    191.94     0.01    -9999
NAIN       241121 3600 070000-080000   00     161.48 1034.6    191.02    -0.47    -9999
NAIN       241121 3600 080000-090000   00     162.03 1034.6    191.61    -0.16    -9999
NAIN       241121 3600 090000-100000   00     162.42 1034.5    191.96     0.02    -9999
NAIN       241121 3600 100000-110000   00     162.59 1034.1    191.60    -0.16    -9999
NAIN       241121 3600 110000-120000   00     163.03 1034.0    191.90    -0.01    -9999
NAIN       241121 3600 120000-130000   00     164.21 1033.8    192.98     0.55    -9999
NAIN       241121 3600 130000-140000   00     163.85 1033.5    192.17     0.13    -9999
NAIN       241121 3600 140000-150000   00     164.40 1033.2    192.39     0.25    -9999
NAIN       241121 3600 150000-160000   00     164.29 1032.6    191.32    -0.31    -9999
NAIN       241121 300  160000-160500   00     164.72 1032.3    191.37    -0.28    -0.28
NAIN       241121 300  160500-161000   00     164.12 1032.2    190.66    -0.66    -0.66
NAIN       241121 300  161000-161500   00     165.30 1032.2    191.94     0.01     0.01
NAIN       241121 300  161500-162000   00     167.22 1032.2    194.16     1.17     1.17
NAIN       241121 300  162000-162500   00     162.93 1032.2    189.16    -1.44    -1.44
NAIN       241121 300  162500-163000   00     168.29 1032.1    195.37     1.80     1.80
NAIN       241121 300  163000-163500   00     164.81 1032.1    191.28    -0.33    -0.33
NAIN       241121 300  163500-164000   00     165.28 1032.1    191.84    -0.04    -0.04
NAIN       241121 300  164000-164500   00     166.77 1032.0    193.46     0.81     0.81
NAIN       241121 300  164500-165000   00     165.29 1032.0    191.62    -0.16    -0.16
NAIN       241121 300  165000-165500   00     164.43 1032.0    190.64    -0.66    -0.66
NAIN       241121 300  165500-170000   00     163.27 1032.0    189.27    -1.38    -1.38
NAIN       241121 300  170000-170500   00     165.00 1031.9    191.22    -0.36    -0.36
NAIN       241121 300  170500-171000   00     167.10 1031.9    193.58     0.87     0.87
NAIN       241121 300  171000-171500   00     164.79 1031.8    190.87    -0.54    -0.54
NAIN       241121 300  171500-172000   00     165.64 1031.8    191.78    -0.07    -0.07
NAIN       241121 300  172000-172500   00     164.25 1031.7    190.08    -0.96    -0.96
NAIN       241121 300  172500-173000   00     164.62 1031.7    190.47    -0.75    -0.75
NAIN       241121 300  173000-173500   00     165.27 1031.6    191.11    -0.42    -0.42
NAIN       241121 300  173500-174000   00     167.16 1031.6    193.22     0.68     0.68
NAIN       241121 300  174000-174500   00     169.09 1031.5    195.40     1.81     1.81
NAIN       241121 300  174500-175000   00     165.99 1031.5    191.76    -0.08    -0.08
NAIN       241121 300  175000-175500   00     167.25 1031.5    193.14     0.64     0.64
