OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     95.08      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       241120 3600 000000-010000   00      94.63 1000.5     95.15     0.07    -9999
OULU       241120 3600 010000-020000   00      94.33 1000.7     95.03    -0.05    -9999
OULU       241120 3600 020000-030000   00      94.28 1001.0     95.15     0.07    -9999
OULU       241120 3600 030000-040000   00      94.25 1001.1     95.17     0.09    -9999
OULU       241120 3600 040000-050000   00      94.17 1001.0     95.07    -0.02    -9999
OULU       241120 3600 050000-060000   00      94.02 1001.2     95.07    -0.02    -9999
OULU       241120 3600 060000-070000   00      93.97 1001.5     95.22     0.14    -9999
OULU       241120 3600 070000-080000   00      94.05 1001.8     95.47     0.40    -9999
OULU       241120 3600 080000-090000   00      94.32 1002.0     95.92     0.88    -9999
OULU       241120 3600 090000-100000   00      94.73 1001.8     96.18     1.16    -9999
OULU       241120 3600 100000-110000   00      95.03 1001.9     96.53     1.52    -9999
OULU       241120 3600 110000-120000   00      94.80 1001.9     96.32     1.30    -9999
OULU       241120 3600 120000-130000   00      94.98 1001.9     96.48     1.47    -9999
OULU       241120 3600 130000-140000   00      94.95 1001.5     96.23     1.21    -9999
OULU       241120 3600 140000-150000   00      94.18 1001.5     95.42     0.35    -9999
OULU       241120 3600 150000-160000   00      94.78 1001.3     95.87     0.82    -9999
OULU       241120 3600 160000-170000   00      95.10 1000.9     95.90     0.86    -9999
OULU       241120 3600 170000-180000   00      95.45 1000.7     96.13     1.10    -9999
OULU       241120 3600 180000-190000   00      94.65 1000.8     95.40     0.33    -9999
OULU       241120 3600 190000-200000   00      94.98 1000.2     95.33     0.26    -9999
OULU       241120 3600 200000-210000   00      96.00  999.5     95.87     0.82    -9999
OULU       241120 3600 210000-220000   00      96.27  998.7     95.53     0.47    -9999
OULU       241120 3600 220000-230000   00      97.48  997.4     95.82     0.77    -9999
OULU       241120 3600 230000-240000   00      97.83  996.5     95.48     0.42    -9999
OULU       241121 3600 000000-010000   00      98.33  995.9     95.58     0.53    -9999
OULU       241121 3600 010000-020000   00      99.28  994.7     95.65     0.60    -9999
OULU       241121 3600 020000-030000   00     100.33  993.6     95.88     0.84    -9999
OULU       241121 3600 030000-040000   00     100.98  992.5     95.70     0.65    -9999
OULU       241121 3600 040000-050000   00     101.92  991.0     95.55     0.49    -9999
OULU       241121 3600 050000-060000   00     103.33  989.5     95.80     0.75    -9999
OULU       241121 3600 060000-070000   00     104.57  988.0     95.85     0.81    -9999
OULU       241121 3600 070000-080000   00     105.82  986.5     95.93     0.89    -9999
OULU       241121 3600 080000-090000   00     106.15  986.3     96.08     1.05    -9999
OULU       241121 3600 090000-100000   00     106.80  985.4     96.02     0.98    -9999
OULU       241121 3600 100000-110000   00     107.22  984.4     95.68     0.63    -9999
OULU       241121 3600 110000-120000   00     108.45  983.5     96.13     1.10    -9999
OULU       241121 3600 120000-130000   00     109.10  982.8     96.22     1.19    -9999
OULU       241121 3600 130000-140000   00     109.27  982.1     95.93     0.89    -9999
OULU       241121 3600 140000-150000   00     109.35  981.6     95.63     0.58    -9999
OULU       241121 3600 150000-160000   00     109.60  981.3     95.63     0.58    -9999
OULU       241121 300  160000-160500   00     108.50  981.1     94.53    -0.58    -0.58
OULU       241121 300  160500-161000   00     110.22  981.1     96.02     0.98     0.97
OULU       241121 300  161000-161500   00     109.25  981.1     95.17     0.09     0.07
OULU       241121 300  161500-162000   00     107.57  981.1     93.68    -1.47    -1.49
OULU       241121 300  162000-162500   00     108.32  981.0     94.28    -0.84    -0.86
OULU       241121 300  162500-163000   00     108.78  981.0     94.68    -0.42    -0.45
OULU       241121 300  163000-163500   00     109.43  981.0     95.25     0.18     0.15
OULU       241121 300  163500-164000   00     111.42  980.9     96.93     1.95     1.91
OULU       241121 300  164000-164500   00     111.10  980.8     96.60     1.60     1.56
OULU       241121 300  164500-165000   00     109.77  980.8     95.40     0.33     0.29
OULU       241121 300  165000-165500   00     110.28  980.7     95.82     0.77     0.73
OULU       241121 300  165500-170000   00     108.43  980.8     94.25    -0.88    -0.92
OULU       241121 300  170000-170500   00     108.43  980.8     94.28    -0.84    -0.89
OULU       241121 300  170500-171000   00     109.42  980.8     95.10     0.02    -0.04
OULU       241121 300  171000-171500   00     110.32  980.8     95.87     0.82     0.77
OULU       241121 300  171500-172000   00     111.03  980.7     96.47     1.45     1.40
OULU       241121 300  172000-172500   00     107.80  980.8     93.67    -1.49    -1.55
OULU       241121 300  172500-173000   00     109.33  980.8     95.00    -0.09    -0.15
OULU       241121 300  173000-173500   00     107.92  980.6     93.67    -1.49    -1.56
OULU       241121 300  173500-174000   00     108.75  980.7     94.43    -0.68    -0.75
OULU       241121 300  174000-174500   00     110.47  980.7     95.93     0.89     0.83
OULU       241121 300  174500-175000   00     109.03  980.7     94.68    -0.42    -0.49
OULU       241121 300  175000-175500   00     109.38  980.6     94.95    -0.14    -0.21
OULU       241121 300  175500-180000   00     109.88  980.5     95.33     0.26     0.19
OULU       241121 300  180000-180500   00     110.48  980.5     95.85     0.81     0.73
OULU       241121 300  180500-181000   00     110.23  980.5     95.60     0.54     0.47
OULU       241121 300  181000-181500   00     109.95  980.4     95.30     0.23     0.15
OULU       241121 300  181500-182000   00     108.33  980.4     93.87    -1.28    -1.36
OULU       241121 300  182000-182500   00     110.22  980.4     95.48     0.42     0.34
OULU       241121 300  182500-183000   00     111.70  980.3     96.77     1.77     1.69
OULU       241121 300  183000-183500   00     110.30  980.3     95.55     0.49     0.41
OULU       241121 300  183500-184000   00     109.93  980.3     95.20     0.12     0.05
OULU       241121 300  184000-184500   00     111.67  980.3     96.70     1.70     1.62
OULU       241121 300  184500-185000   00     110.07  980.3     95.30     0.23     0.15
OULU       241121 300  185000-185500   00     111.52  980.3     96.60     1.60     1.52
OULU       241121 300  185500-190000   00     111.78  980.3     96.83     1.84     1.77
OULU       241121 300  190000-190500   00     109.32  980.3     94.65    -0.46    -0.53
OULU       241121 300  190500-191000   00     109.52  980.3     94.80    -0.30    -0.37
OULU       241121 300  191000-191500   00     109.03  980.2     94.38    -0.74    -0.81
OULU       241121 300  191500-192000   00     109.85  980.2     95.08     0.00    -0.07
OULU       241121 300  192000-192500   00     108.30  980.2     93.73    -1.42    -1.49
OULU       241121 300  192500-193000   00     110.10  980.2     95.30     0.23     0.16
OULU       241121 300  193000-193500   00     110.47  980.3     95.63     0.58     0.51
OULU       241121 300  193500-194000   00     111.35  980.3     96.42     1.40     1.34
OULU       241121 300  194000-194500   00     109.18  980.3     94.55    -0.56    -0.62
OULU       241121 300  194500-195000   00     110.63  980.3     95.82     0.77     0.71
OULU       241121 300  195000-195500   00     110.15  980.3     95.38     0.32     0.26
OULU       241121 300  195500-200000   00     110.33  980.3     95.55     0.49     0.44
OULU       241121 300  200000-200500   00     110.27  980.2     95.43     0.37     0.32
OULU       241121 300  200500-201000   00     111.88  980.1     96.77     1.77     1.72
OULU       241121 300  201000-201500   00     110.38  980.1     95.48     0.42     0.38
OULU       241121 300  201500-202000   00     108.97  980.1     94.23    -0.89    -0.93
OULU       241121 300  202000-202500   00     110.97  980.0     95.92     0.88     0.84
OULU       241121 300  202500-203000   00     109.07  980.0     94.25    -0.88    -0.91
OULU       241121 300  203000-203500   00     110.73  980.1     95.77     0.72     0.69
OULU       241121 300  203500-204000   00     110.78  980.2     95.87     0.82     0.80
OULU       241121 300  204000-204500   00     109.80  980.1     94.98    -0.11    -0.13
OULU       241121 300  204500-205000   00     109.70  980.1     94.85    -0.25    -0.26
OULU       241121 300  205000-205500   00     110.53  980.1     95.55     0.49     0.48
OULU       241121 300  205500-210000   00     108.88  980.0     94.10    -1.03    -1.04
OULU       241121 300  210000-210500   00     109.25  979.9     94.35    -0.77    -0.77
OULU       241121 300  210500-211000   00     109.12  980.0     94.27    -0.86    -0.86
OULU       241121 300  211000-211500   00     110.07  980.0     95.12     0.04     0.04
OULU       241121 300  211500-212000   00     110.10  980.0     95.13     0.05     0.07
OULU       241121 300  212000-212500   00     111.37  979.9     96.15     1.12     1.14
OULU       241121 300  212500-213000   00     112.90  979.9     97.50     2.54     2.57
OULU       241121 300  213000-213500   00     109.38  980.0     94.50    -0.61    -0.58
OULU       241121 300  213500-214000   00     111.10  979.9     95.97     0.93     0.96
OULU       241121 300  214000-214500   00     109.95  979.9     94.92    -0.18    -0.13
OULU       241121 300  214500-215000   00     109.77  979.8     94.73    -0.37    -0.32
